Bien jurídico afectado;(Todas);;;;;;;;;;;;
Tipo de delito;(Todas);;;;;;;;;;;;
Subtipo de delito;(Todas);;;;;;;;;;;;
Modalidad;(Todas);;;;;;;;;;;;
;;;;;;;;;;;;;
Suma de Total;;;Etiquetas de columna;;;;;;;;;;
Etiquetas de fila;Cve# Municipio;Municipio;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Chiapas;7039;Huitiupán;24;12;6;10;11;8;3;10;8;3;11
Chiapas;7040;Huixtla;421;477;517;649;477;377;455;492;222;140;189
Chiapas;7041;La Independencia;16;17;23;23;17;32;8;9;9;13;11
Chiapas;7042;Ixhuatán;10;11;3;4;11;10;13;14;14;16;12
Chiapas;7043;Ixtacomitán;39;21;10;21;25;15;25;52;49;45;16
Chiapas;7044;Ixtapa;35;43;42;53;35;37;29;26;42;22;18
Chiapas;7045;Ixtapangajoya;15;7;3;1;3;3;10;13;4;18;14
Chiapas;7046;Jiquipilas;97;51;76;100;134;97;77;62;79;119;44
Chiapas;7047;Jitotol;54;46;8;16;18;10;12;12;14;19;26
Chiapas;7048;Juárez;92;80;41;51;63;48;43;138;171;164;49
Chiapas;7049;Larráinzar;21;15;13;13;18;15;8;7;3;4;4
Chiapas;7050;La Libertad;3;5;15;11;2;9;9;13;22;17;8
Chiapas;7051;Mapastepec;239;174;178;294;280;270;276;257;118;143;135
Chiapas;7052;Las Margaritas;143;127;118;108;122;71;136;146;96;95;109
Chiapas;7053;Mazapa de Madero;6;2;2;28;3;2;2;1;7;2;8
Chiapas;7054;Mazatán;123;110;201;268;128;109;119;83;73;71;102
Chiapas;7055;Metapa;31;27;29;50;39;28;20;29;17;25;18
Chiapas;7056;Mitontic;11;1;1;2;2;7;7;3;3;1;2
Chiapas;7057;Motozintla;110;103;77;89;59;53;158;190;79;80;110
Chiapas;7058;Nicolás Ruíz;1;2;6;17;1;0;0;2;1;1;2
Chiapas;7059;Ocosingo;517;375;377;324;299;274;293;345;300;241;265
Chiapas;7060;Ocotepec;3;7;13;12;15;8;8;8;8;11;10
Chiapas;7061;Ocozocoautla de Espinosa;258;239;295;348;329;233;238;306;301;281;141
Chiapas;7062;Ostuacán;50;57;18;21;26;28;30;51;49;40;24
Chiapas;7063;Osumacinta;3;5;6;3;7;1;4;2;1;9;4
Chiapas;7064;Oxchuc;96;126;89;55;58;35;40;27;28;14;18
Chiapas;7065;Palenque;691;442;491;502;615;652;803;897;609;503;326
Chiapas;7066;Pantelhó;23;26;24;16;17;11;21;4;17;27;11
Chiapas;7067;Pantepec;14;10;5;0;4;5;2;7;11;8;16
Chiapas;7068;Pichucalco;199;187;71;79;86;73;134;168;181;195;82
Chiapas;7069;Pijijiapan;173;162;187;297;261;233;280;217;136;124;75
Chiapas;7070;El Porvenir;8;6;5;12;13;4;3;1;9;2;2
Chiapas;7071;Villa Comaltitlán;142;94;74;100;144;141;134;98;87;88;64
Chiapas;7072;Pueblo Nuevo Solistahuacán;107;69;85;26;36;28;21;21;19;26;29
Chiapas;7073;Rayón;25;14;3;6;11;10;4;18;13;12;12
Chiapas;7074;Reforma;518;557;211;262;259;241;318;458;447;533;256
Chiapas;7075;Las Rosas;11;23;44;34;37;36;17;16;35;19;17
Chiapas;7076;Sabanilla;24;12;19;11;7;15;11;14;13;15;19
Chiapas;7077;Salto de Agua;53;18;25;38;30;33;83;70;76;43;35
Chiapas;7078;San Cristóbal de las Casas;1243;1232;1459;1476;1158;992;1000;961;1016;940;843
Chiapas;7079;San Fernando;64;79;90;81;107;75;94;40;82;77;39
Chiapas;7080;Siltepec;32;11;12;16;25;23;10;8;7;4;16
Chiapas;7081;Simojovel;77;71;14;33;30;23;35;50;26;21;33
Chiapas;7082;Sitalá;10;4;13;4;11;11;7;2;5;6;6
Chiapas;7083;Socoltenango;12;12;31;18;26;27;20;15;9;7;11
Chiapas;7084;Solosuchiapa;25;13;5;10;15;8;8;13;13;12;15
Chiapas;7085;Soyaló;23;19;17;21;33;20;10;13;18;17;13
Chiapas;7086;Suchiapa;67;45;60;76;113;81;80;86;136;131;50
Chiapas;7087;Suchiate;243;551;385;397;344;333;266;224;164;169;159
Chiapas;7088;Sunuapa;8;5;2;0;0;0;7;8;6;7;2
