Bien jurídico afectado;(Todas);;;;;;;;;;;;
Tipo de delito;(Todas);;;;;;;;;;;;
Subtipo de delito;(Todas);;;;;;;;;;;;
Modalidad;(Todas);;;;;;;;;;;;
;;;;;;;;;;;;;
Suma de Total;;;Etiquetas de columna;;;;;;;;;;
Etiquetas de fila;Cve# Municipio;Municipio;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Durango;10029;San Luis del Cordero;0;0;0;0;5;6;0;4;3;2;3
Durango;10030;San Pedro del Gallo;0;0;0;0;0;3;0;4;1;2;1
Durango;10031;Santa Clara;9;25;17;26;25;31;26;16;16;22;10
Durango;10032;Santiago Papasquiaro;510;442;350;572;642;636;622;774;659;692;622
Durango;10033;Súchil;34;39;30;102;57;38;48;41;49;41;32
Durango;10034;Tamazula;54;73;118;64;40;52;39;26;32;33;30
Durango;10035;Tepehuanes;95;74;107;97;72;67;81;58;102;90;54
Durango;10036;Tlahualilo;10;29;63;27;33;35;73;63;67;99;88
Durango;10037;Topia;7;7;5;25;10;1;12;5;5;2;7
Durango;10038;Vicente Guerrero;218;232;232;253;227;260;248;301;330;319;283
Durango;10039;Nuevo Ideal;189;182;133;168;153;118;120;161;282;204;208
Guanajuato;11001;Abasolo;1373;1202;1396;1200;1203;811;922;986;1067;1112;1204
Guanajuato;11002;Acámbaro;849;1067;926;982;1177;1302;1616;1775;2314;2293;2273
Guanajuato;11003;San Miguel de Allende;3246;3621;3709;4798;4974;3448;4172;4815;5279;5855;6813
Guanajuato;11004;Apaseo el Alto;722;694;782;852;987;1109;1135;1210;1253;1174;1258
Guanajuato;11005;Apaseo el Grande;1198;1562;2049;2105;2351;2506;2421;2729;3099;2849;3268
Guanajuato;11006;Atarjea;22;22;43;20;37;22;32;60;31;30;60
Guanajuato;11007;Celaya;10927;12894;14548;18183;19826;16014;14211;14189;15208;14757;16922
Guanajuato;11008;Manuel Doblado;347;388;366;304;279;215;223;230;233;209;224
Guanajuato;11009;Comonfort;933;1014;1145;959;1102;1138;1133;1240;1198;1409;1646
Guanajuato;11010;Coroneo;93;96;80;101;160;136;131;150;133;156;168
Guanajuato;11011;Cortazar;1340;1679;1585;2130;2363;2310;2576;2720;2766;2407;2318
Guanajuato;11012;Cuerámaro;375;518;521;408;453;409;397;377;407;399;315
Guanajuato;11013;Doctor Mora;213;190;266;201;281;198;249;253;257;299;320
Guanajuato;11014;Dolores Hidalgo Cuna de la Independencia Nacional;2055;1917;1922;2292;2431;2122;2223;2396;2769;3067;3547
Guanajuato;11015;Guanajuato;5109;5881;5990;7403;7681;5226;5758;7100;8612;9253;9637
Guanajuato;11016;Huanímaro;176;178;208;267;214;143;189;184;215;220;241
Guanajuato;11017;Irapuato;12899;14720;16485;17112;16308;14074;14555;15635;15873;18287;19988
Guanajuato;11018;Jaral del Progreso;331;450;489;493;577;431;619;508;622;648;610
Guanajuato;11019;Jerécuaro;212;302;343;290;358;365;335;324;360;288;312
Guanajuato;11020;León;26962;28411;33220;39617;39129;40275;49199;49633;48845;50207;51968
Guanajuato;11021;Moroleón;814;911;622;743;814;616;698;819;949;906;994
Guanajuato;11022;Ocampo;227;229;229;261;273;224;236;258;388;439;518
Guanajuato;11023;Pénjamo;1850;2386;2290;2227;2364;1882;2007;2301;2503;2462;2735
Guanajuato;11024;Pueblo Nuevo;159;214;237;221;202;118;174;181;186;165;232
Guanajuato;11025;Purísima del Rincón;1101;1068;1406;1517;1528;1183;980;1177;1130;1288;1365
Guanajuato;11026;Romita;548;763;777;715;804;653;702;683;721;613;739
Guanajuato;11027;Salamanca;5623;6432;6392;7385;6949;5630;5527;5795;6128;6917;7939
Guanajuato;11028;Salvatierra;1450;1482;1722;1880;1991;1755;2345;2476;2854;2747;2759
Guanajuato;11029;San Diego de la Unión;286;294;339;381;516;327;393;428;358;434;484
Guanajuato;11030;San Felipe;1106;969;1071;1256;1447;1262;1352;1528;1690;1960;2018
Guanajuato;11031;San Francisco del Rincón;1934;2080;2203;2411;2808;2530;2030;2117;1953;2240;2220
Guanajuato;11032;San José Iturbide;870;880;1162;1421;1370;1120;1222;1496;1936;2159;2313
Guanajuato;11033;San Luis de la Paz;1308;1260;1462;1221;1703;1322;1396;1657;1992;2330;2860
Guanajuato;11034;Santa Catarina;62;51;61;47;52;49;61;63;85;103;123
Guanajuato;11035;Santa Cruz de Juventino Rosas;792;1026;853;885;1005;1090;1347;1442;1257;1372;1385
Guanajuato;11036;Santiago Maravatío;79;73;95;90;92;80;93;104;113;115;90
Guanajuato;11037;Silao de la Victoria;3925;3991;4858;5128;4848;4232;4697;5120;5488;5587;6303
Guanajuato;11038;Tarandacuao;98;134;125;114;186;213;189;134;216;225;272
Guanajuato;11039;Tarimoro;364;479;626;678;702;747;903;815;793;692;780
Guanajuato;11040;Tierra Blanca;89;92;122;141;168;162;170;164;166;252;267
Guanajuato;11041;Uriangato;718;738;646;809;947;1000;1018;1047;791;856;1146
Guanajuato;11042;Valle de Santiago;1365;1983;2315;2428;2502;1786;2026;2024;2285;2659;2910
Guanajuato;11043;Victoria;122;102;124;151;223;153;173;197;162;192;217
Guanajuato;11044;Villagrán;846;1039;1139;1020;1212;1470;1639;1719;1509;1314;1468
Guanajuato;11045;Xichú;38;33;78;60;68;58;46;64;78;66;94
Guanajuato;11046;Yuriria;626;750;830;842;993;954;1106;1017;1039;1096;1158
Guerrero;12001;Acapulco de Juárez;16516;17221;14564;11762;11276;9188;10168;10997;10540;10352;9235
Guerrero;12002;Ahuacuotzingo;9;24;30;20;27;24;17;26;18;23;17
Guerrero;12003;Ajuchitlán del Progreso;94;79;46;41;36;23;24;30;52;14;35
Guerrero;12004;Alcozauca de Guerrero;37;39;47;33;38;53;44;60;61;53;60
Guerrero;12005;Alpoyeca;23;26;25;34;38;22;26;33;30;28;30
Guerrero;12006;Apaxtla;12;21;10;15;10;13;14;15;43;12;22
Guerrero;12007;Arcelia;309;274;155;111;89;60;46;75;47;40;23
Guerrero;12008;Atenango del Río;17;17;25;19;18;31;33;37;27;37;41
Guerrero;12009;Atlamajalcingo del Monte;9;13;12;10;17;9;18;8;6;9;27
Guerrero;12010;Atlixtac;16;27;35;54;30;34;16;26;29;37;26
Guerrero;12011;Atoyac de Álvarez;453;574;539;398;368;344;379;466;307;328;235
Guerrero;12012;Ayutla de los Libres;194;172;156;202;210;205;154;201;154;243;220
Guerrero;12013;Azoyú;61;31;27;40;48;49;41;67;69;77;59
Guerrero;12014;Benito Juárez;93;71;71;65;73;94;94;105;78;65;66
Guerrero;12015;Buenavista de Cuéllar;33;24;44;52;53;46;50;86;96;57;67
Guerrero;12016;Coahuayutla de José María Izazaga;33;15;15;35;19;12;1;6;7;2;1
Guerrero;12017;Cocula;27;34;50;58;49;77;45;50;57;41;39
Guerrero;12018;Copala;57;66;36;45;44;64;105;60;75;107;93
Guerrero;12019;Copalillo;7;14;22;11;23;9;33;32;29;25;23
Guerrero;12020;Copanatoyac;29;36;41;30;37;31;27;55;36;35;36
Guerrero;12021;Coyuca de Benítez;603;668;543;394;361;360;286;363;328;398;406
Guerrero;12022;Coyuca de Catalán;356;335;385;363;238;142;131;119;118;74;76
Guerrero;12023;Cuajinicuilapa;62;98;111;86;101;87;103;118;110;159;135
Guerrero;12024;Cualác;21;18;20;11;26;14;10;21;18;18;6
Guerrero;12025;Cuautepec;35;25;28;22;38;28;32;30;33;40;45
Guerrero;12026;Cuetzala del Progreso;7;9;1;0;16;15;4;10;20;8;10
Guerrero;12027;Cutzamala de Pinzón;42;56;64;48;52;36;32;47;32;17;25
Guerrero;12028;Chilapa de Álvarez;736;542;534;411;375;288;241;245;209;174;138
Guerrero;12029;Chilpancingo de los Bravo;6615;4559;4856;4154;3858;3545;3738;3984;4185;3902;4150
Guerrero;12030;Florencio Villarreal;121;126;80;159;132;155;129;121;150;170;127
Guerrero;12031;General Canuto A. Neri;8;8;8;1;6;3;5;4;3;5;6
Guerrero;12032;General Heliodoro Castillo;55;22;22;13;15;6;10;22;28;11;11
Guerrero;12033;Huamuxtitlán;50;49;65;44;64;89;87;92;112;66;76
Guerrero;12034;Huitzuco de los Figueroa;105;101;197;236;182;261;229;243;229;202;198
Guerrero;12035;Iguala de la Independencia;2343;2955;2713;2357;2149;1697;1561;1807;2021;1850;2031
Guerrero;12036;Igualapa;41;44;35;45;30;35;59;46;74;76;88
Guerrero;12037;Ixcateopan de Cuauhtémoc;15;10;24;10;21;10;18;16;15;21;19
Guerrero;12038;Zihuatanejo de Azueta;1849;1920;1625;1132;1453;1216;1455;1762;1604;1247;1437
Guerrero;12039;Juan R. Escudero;119;113;112;128;123;116;130;204;209;167;184
Guerrero;12040;Leonardo Bravo;33;13;21;28;39;56;30;32;44;46;42
Guerrero;12041;Malinaltepec;34;34;37;28;37;93;49;52;45;52;51
Guerrero;12042;Mártir de Cuilapan;53;57;37;50;47;27;27;58;47;23;23
Guerrero;12043;Metlatónoc;33;41;38;40;41;45;75;69;91;63;68
Guerrero;12044;Mochitlán;6;13;9;12;14;9;21;29;19;22;21
Guerrero;12045;Olinalá;93;55;52;58;78;52;52;55;50;61;60
Guerrero;12046;Ometepec;629;568;527;523;500;453;433;436;671;733;794
Guerrero;12047;Pedro Ascencio Alquisiras;15;18;6;11;3;1;6;3;3;1;1
Guerrero;12048;Petatlán;124;140;102;143;196;167;165;153;136;152;148
Guerrero;12049;Pilcaya;28;51;43;52;92;90;74;76;161;108;63
Guerrero;12050;Pungarabato;334;351;369;326;307;210;182;206;173;154;126
Guerrero;12051;Quechultenango;11;12;18;13;33;15;19;39;36;23;15
Guerrero;12052;San Luis Acatlán;203;194;97;98;164;132;97;146;179;188;165
Guerrero;12053;San Marcos;160;137;181;236;140;139;193;230;254;213;210
Guerrero;12054;San Miguel Totolapan;56;68;34;22;12;18;15;26;37;17;4
Guerrero;12055;Taxco de Alarcón;729;1049;773;695;1036;1026;908;834;824;638;848
Guerrero;12056;Tecoanapa;85;59;57;47;68;109;76;97;119;104;112
Guerrero;12057;Técpan de Galeana;543;447;484;346;503;471;388;392;287;286;370
Guerrero;12058;Teloloapan;262;393;192;145;133;100;104;164;192;257;301
Guerrero;12059;Tepecoacuilco de Trujano;74;95;129;178;169;190;142;187;249;173;192
Guerrero;12060;Tetipac;27;35;66;46;38;41;24;17;10;13;5
Guerrero;12061;Tixtla de Guerrero;368;468;371;316;231;142;186;272;281;285;199
Guerrero;12062;Tlacoachistlahuaca;27;17;26;52;60;54;50;64;96;70;80
Guerrero;12063;Tlacoapa;10;3;12;12;17;9;14;15;10;5;14
Guerrero;12064;Tlalchapa;33;20;16;20;10;15;2;9;4;5;7
Guerrero;12065;Tlalixtaquilla de Maldonado;8;15;12;10;13;14;11;17;11;20;13
Guerrero;12066;Tlapa de Comonfort;768;826;747;637;724;812;821;789;857;773;850
Guerrero;12067;Tlapehuala;67;46;56;33;36;30;46;41;38;33;46
Guerrero;12068;La Unión de Isidoro Montes de Oca;220;270;255;217;142;171;96;94;110;84;128
Guerrero;12069;Xalpatláhuac;30;21;30;37;47;46;50;56;44;43;39
Guerrero;12070;Xochihuehuetlán;20;13;19;17;19;16;11;16;20;27;29
Guerrero;12071;Xochistlahuaca;34;28;21;35;60;68;48;83;83;54;88
Guerrero;12072;Zapotitlán Tablas;8;8;11;25;17;11;14;15;16;14;15
Guerrero;12073;Zirándaro;42;41;35;30;24;63;18;23;16;9;17
Guerrero;12074;Zitlala;20;64;49;25;45;25;29;23;12;14;5
Guerrero;12075;Eduardo Neri;214;266;312;328;256;242;328;285;346;320;297
Guerrero;12076;Acatepec;31;33;18;22;33;20;32;48;29;29;22
Guerrero;12077;Marquelia;68;63;78;66;106;89;70;93;132;141;117
Guerrero;12078;Cochoapa el Grande;30;32;35;30;48;50;64;95;102;98;114
Guerrero;12079;José Joaquín de Herrera;2;1;7;11;19;17;20;15;17;17;16
Guerrero;12080;Juchitán;27;47;27;23;32;40;34;55;64;53;67
Guerrero;12081;Iliatenco;12;13;15;4;12;5;10;20;27;24;26
Guerrero;12082;Las Vigas;;;;;;;;;0;1;1
Guerrero;12083;Ñuu Savi;;;;;;;;;0;2;4
Guerrero;12084;Santa Cruz del Rincón;;;;;;;;;0;3;4
Guerrero;12085;San Nicolás;;;;;;;;;0;3;2
Hidalgo;13001;Acatlán;63;98;160;218;189;156;153;143;160;141;172
Hidalgo;13002;Acaxochitlán;128;104;258;334;292;306;311;350;326;286;457
Hidalgo;13003;Actopan;788;958;1234;1345;1143;1223;1540;1242;1340;1361;1467
Hidalgo;13004;Agua Blanca de Iturbide;5;26;43;59;46;37;51;52;50;63;107
Hidalgo;13005;Ajacuba;75;112;139;149;125;145;106;106;81;94;135
Hidalgo;13006;Alfajayucan;66;84;100;166;120;122;159;193;99;89;136
Hidalgo;13007;Almoloya;52;50;108;93;190;149;168;121;184;188;209
Hidalgo;13008;Apan;737;537;897;1012;1379;989;1246;1166;1075;1074;1309
Hidalgo;13009;El Arenal;89;107;204;248;195;175;208;179;226;191;206
Hidalgo;13010;Atitalaquia;267;351;331;352;425;394;307;194;221;317;634
Hidalgo;13011;Atlapexco;53;57;95;92;136;108;120;148;152;128;115
Hidalgo;13012;Atotonilco el Grande;174;269;539;585;494;495;436;404;528;457;509
Hidalgo;13013;Atotonilco de Tula;395;326;508;577;558;634;580;659;598;698;1043
Hidalgo;13014;Calnali;18;23;52;58;70;76;88;77;95;104;114
Hidalgo;13015;Cardonal;64;77;100;116;87;82;128;150;119;69;116
Hidalgo;13016;Cuautepec de Hinojosa;170;222;451;628;584;522;565;708;653;507;572
Hidalgo;13017;Chapantongo;47;23;41;67;113;112;108;92;94;93;107
Hidalgo;13018;Chapulhuacán;39;59;105;94;89;100;162;142;180;154;172
Hidalgo;13019;Chilcuautla;61;65;96;150;99;129;155;174;124;112;126
Hidalgo;13020;Eloxochitlán;11;5;14;17;9;7;23;18;17;30;25
Hidalgo;13021;Emiliano Zapata;101;86;177;206;351;300;198;219;259;285;311
Hidalgo;13022;Epazoyucan;140;155;226;299;230;184;322;585;302;364;318
Hidalgo;13023;Francisco I. Madero;143;152;291;380;256;308;355;336;348;326;401
Hidalgo;13024;Huasca de Ocampo;63;125;313;312;224;107;220;226;259;279;349
Hidalgo;13025;Huautla;26;29;54;61;75;75;101;109;88;98;90
Hidalgo;13026;Huazalingo;27;18;34;36;28;45;48;62;37;54;67
Hidalgo;13027;Huehuetla;17;21;86;87;76;60;66;65;76;110;165
Hidalgo;13028;Huejutla de Reyes;616;662;1110;1152;1271;1215;1322;1229;1378;1443;1154
Hidalgo;13029;Huichapan;417;767;640;719;787;642;774;675;840;992;778
Hidalgo;13030;Ixmiquilpan;913;1052;1307;1788;1299;1353;1525;1221;1282;1456;1549
Hidalgo;13031;Jacala de Ledezma;61;70;113;88;103;98;148;135;123;134;142
Hidalgo;13032;Jaltocán;20;18;34;52;41;45;56;59;84;60;48
Hidalgo;13033;Juárez Hidalgo;11;4;15;18;14;17;21;25;49;15;26
Hidalgo;13034;Lolotla;24;19;55;72;103;47;85;70;64;67;56
Hidalgo;13035;Metepec;39;31;102;113;91;90;120;84;102;105;132
Hidalgo;13036;San Agustín Metzquititlán;33;21;101;121;70;72;98;102;84;102;98
Hidalgo;13037;Metztitlán;95;68;242;215;192;238;347;273;251;219;228
Hidalgo;13038;Mineral del Chico;31;40;75;88;110;75;170;406;138;216;137
Hidalgo;13039;Mineral del Monte;89;97;165;161;169;166;257;538;274;300;254
Hidalgo;13040;La Misión;21;21;26;25;36;34;31;40;38;17;36
Hidalgo;13041;Mixquiahuala de Juárez;534;403;653;1169;1000;801;839;702;880;820;1068
Hidalgo;13042;Molango de Escamilla;46;71;104;150;168;176;217;162;156;170;106
Hidalgo;13043;Nicolás Flores;3;7;16;6;22;15;16;29;19;11;8
Hidalgo;13044;Nopala de Villagrán;122;77;67;133;178;192;117;108;140;90;136
Hidalgo;13045;Omitlán de Juárez;38;67;162;123;107;41;77;107;135;127;168
Hidalgo;13046;San Felipe Orizatlán;40;56;117;114;123;150;173;184;190;190;169
Hidalgo;13047;Pacula;7;13;14;11;28;8;18;14;18;16;34
Hidalgo;13048;Pachuca de Soto;8490;11296;12358;13444;12819;9348;10176;13135;16271;14803;12731
Hidalgo;13049;Pisaflores;24;19;37;50;53;41;76;94;59;76;62
Hidalgo;13050;Progreso de Obregón;326;208;280;309;234;370;322;403;366;348;430
Hidalgo;13051;Mineral de la Reforma;2499;2458;2877;3725;3605;2369;2508;3228;3795;2916;4039
Hidalgo;13052;San Agustín Tlaxiaca;160;188;313;414;437;384;417;467;412;331;575
Hidalgo;13053;San Bartolo Tutotepec;16;51;106;83;74;81;106;82;79;117;150
Hidalgo;13054;San Salvador;148;143;276;374;311;260;337;300;311;251;362
Hidalgo;13055;Santiago de Anaya;81;56;118;119;100;109;126;121;109;98;163
Hidalgo;13056;Santiago Tulantepec de Lugo Guerrero;132;202;439;544;637;456;492;611;604;621;663
Hidalgo;13057;Singuilucan;123;121;218;264;210;204;237;338;258;210;292
Hidalgo;13058;Tasquillo;49;67;119;117;123;91;105;134;127;61;132
Hidalgo;13059;Tecozautla;151;92;135;152;238;196;150;184;214;127;203
Hidalgo;13060;Tenango de Doria;20;73;139;133;166;103;187;130;104;161;216
Hidalgo;13061;Tepeapulco;434;772;1427;1748;1940;1360;1179;1385;1374;1507;1165
Hidalgo;13062;Tepehuacán de Guerrero;78;25;70;69;84;85;73;76;127;81;107
Hidalgo;13063;Tepeji del Río de Ocampo;1032;1087;1095;1304;1300;1150;1438;1699;1539;1767;1872
Hidalgo;13064;Tepetitlán;51;48;75;89;67;64;108;101;49;71;109
Hidalgo;13065;Tetepango;42;74;52;74;106;78;92;79;49;58;92
Hidalgo;13066;Villa de Tezontepec;40;59;62;105;88;92;162;217;136;128;265
Hidalgo;13067;Tezontepec de Aldama;278;270;350;503;414;339;401;478;565;308;514
Hidalgo;13068;Tianguistengo;5;8;57;59;44;50;61;51;70;56;71
Hidalgo;13069;Tizayuca;1120;2613;2348;2802;2617;3141;3716;4004;4719;4846;5242
Hidalgo;13070;Tlahuelilpan;186;157;200;202;220;392;266;305;325;359;413
Hidalgo;13071;Tlahuiltepa;10;12;31;27;30;26;23;28;36;16;23
Hidalgo;13072;Tlanalapa;14;28;9;59;33;27;241;164;175;216;180
Hidalgo;13073;Tlanchinol;79;59;130;129;164;193;171;180;229;229;232
Hidalgo;13074;Tlaxcoapan;294;360;460;616;563;325;608;893;908;1022;631
Hidalgo;13075;Tolcayuca;85;96;98;152;100;133;218;242;197;207;395
Hidalgo;13076;Tula de Allende;1952;1780;2248;2984;2720;2380;2260;2470;2777;2976;2834
Hidalgo;13077;Tulancingo de Bravo;1744;2518;4418;4687;4903;3436;3970;4552;4802;4092;4478
Hidalgo;13078;Xochiatipan;27;22;33;35;51;67;53;46;49;62;73
Hidalgo;13079;Xochicoatlán;12;14;29;39;31;30;45;39;54;43;57
Hidalgo;13080;Yahualica;35;35;34;62;52;41;84;77;64;83;69
Hidalgo;13081;Zacualtipán de Ángeles;54;242;496;420;460;342;469;408;485;432;434
Hidalgo;13082;Zapotlán de Juárez;64;84;122;162;146;113;176;230;207;181;517
Hidalgo;13083;Zempoala;484;489;610;833;787;616;763;1215;1192;972;1150
Hidalgo;13084;Zimapán;186;225;320;275;328;253;313;339;452;475;465
Jalisco;14001;Acatic;142;103;177;227;279;205;215;160;142;115;112
Jalisco;14002;Acatlán de Juárez;213;481;528;615;399;469;375;321;324;325;285
Jalisco;14003;Ahualulco de Mercado;215;298;283;217;272;236;235;250;249;285;313
Jalisco;14004;Amacueca;27;42;49;31;37;42;36;38;32;27;32
Jalisco;14005;Amatitán;78;94;147;136;144;141;177;168;164;120;118
Jalisco;14006;Ameca;784;819;1020;903;693;789;766;826;879;825;905
Jalisco;14007;San Juanito de Escobedo;45;80;61;48;49;80;70;62;77;68;81
Jalisco;14008;Arandas;564;634;731;900;665;714;823;794;671;695;671
Jalisco;14009;El Arenal;187;258;274;332;281;357;305;321;295;257;305
Jalisco;14010;Atemajac de Brizuela;30;39;18;22;25;24;36;14;19;26;21
Jalisco;14011;Atengo;16;34;26;15;31;27;19;17;15;21;43
Jalisco;14012;Atenguillo;26;28;31;41;26;30;27;55;50;52;49
Jalisco;14013;Atotonilco el Alto;348;555;362;480;526;452;524;475;465;428;420
Jalisco;14014;Atoyac;39;65;46;44;34;39;42;49;42;28;38
Jalisco;14015;Autlán de Navarro;766;1221;1230;1343;1110;943;867;913;997;878;957
Jalisco;14016;Ayotlán;90;154;139;137;150;159;123;153;180;154;182
Jalisco;14017;Ayutla;86;59;59;83;69;65;61;64;69;56;43
Jalisco;14018;La Barca;391;427;464;544;589;370;384;431;502;475;549
Jalisco;14019;Bolaños;22;23;22;21;21;16;12;22;37;26;24
Jalisco;14020;Cabo Corrientes;67;68;78;105;47;49;75;97;102;82;96
Jalisco;14021;Casimiro Castillo;168;178;107;100;88;124;96;104;105;142;136
Jalisco;14022;Cihuatlán;354;406;527;452;410;386;470;345;453;402;390
Jalisco;14023;Zapotlán el Grande;1861;1663;1587;1561;1424;1286;1269;1340;1452;1497;1517
Jalisco;14024;Cocula;361;355;386;267;392;348;339;358;379;328;322
Jalisco;14025;Colotlán;110;205;246;289;281;134;202;221;243;217;243
Jalisco;14026;Concepción de Buenos Aires;25;26;24;24;30;37;33;16;34;22;24
Jalisco;14027;Cuautitlán de García Barragán;98;99;131;105;98;141;102;107;85;95;80
Jalisco;14028;Cuautla;13;12;8;14;14;14;14;26;10;7;7
Jalisco;14029;Cuquío;60;95;119;93;78;102;124;122;107;111;87
Jalisco;14030;Chapala;676;809;849;970;847;776;929;938;879;878;809
Jalisco;14031;Chimaltitán;9;7;14;14;8;2;2;7;11;8;17
Jalisco;14032;Chiquilistlán;9;26;25;19;18;18;19;20;22;18;16
Jalisco;14033;Degollado;100;100;98;106;83;73;77;86;83;81;104
Jalisco;14034;Ejutla;8;7;9;6;9;16;11;2;16;15;12
Jalisco;14035;Encarnación de Díaz;445;327;397;368;331;433;463;390;474;464;331
Jalisco;14036;Etzatlán;95;120;127;117;130;169;177;132;172;136;162
Jalisco;14037;El Grullo;150;254;278;227;245;253;279;336;344;340;313
Jalisco;14038;Guachinango;19;25;31;39;36;49;39;27;54;37;31
Jalisco;14039;Guadalajara;25656;41293;53153;52658;51075;39698;39337;37780;36011;34712;28864
Jalisco;14040;Hostotipaquillo;36;40;53;51;33;50;64;51;61;51;48
Jalisco;14041;Huejúcar;16;30;25;51;47;15;30;33;40;21;42
Jalisco;14042;Huejuquilla el Alto;73;78;61;45;73;55;38;55;52;36;49
Jalisco;14043;La Huerta;182;166;183;159;185;191;129;164;140;165;179
Jalisco;14044;Ixtlahuacán de los Membrillos;342;660;669;562;577;556;474;750;878;722;644
Jalisco;14045;Ixtlahuacán del Río;163;145;161;140;138;175;199;205;151;168;148
Jalisco;14046;Jalostotitlán;295;282;271;315;294;287;388;315;358;272;196
Jalisco;14047;Jamay;117;114;146;169;232;174;201;215;224;223;201
Jalisco;14048;Jesús María;200;161;159;201;156;123;132;112;123;119;97
Jalisco;14049;Jilotlán de los Dolores;5;12;11;14;9;16;8;6;9;5;7
Jalisco;14050;Jocotepec;249;454;486;522;406;344;560;545;414;472;523
Jalisco;14051;Juanacatlán;126;181;238;218;202;222;289;315;392;364;404
Jalisco;14052;Juchitlán;17;32;26;36;51;30;33;37;40;49;36
Jalisco;14053;Lagos de Moreno;2273;2551;2372;1947;2385;2168;2305;2321;2122;2027;1926
Jalisco;14054;El Limón;31;41;45;48;29;36;38;40;45;38;23
Jalisco;14055;Magdalena;157;150;237;153;162;189;183;185;204;172;199
Jalisco;14056;Santa María del Oro;2;8;4;4;1;2;2;4;5;2;10
Jalisco;14057;La Manzanilla de la Paz;17;12;11;12;9;16;33;21;24;21;20
Jalisco;14058;Mascota;150;91;116;107;150;177;182;144;123;169;148
Jalisco;14059;Mazamitla;110;138;155;165;138;111;217;248;195;132;184
Jalisco;14060;Mexticacán;14;23;11;17;28;19;20;12;17;12;10
Jalisco;14061;Mezquitic;49;45;36;49;49;41;62;52;54;71;85
Jalisco;14062;Mixtlán;16;25;30;33;28;24;20;24;22;22;36
Jalisco;14063;Ocotlán;1101;1130;890;1039;1174;935;1053;860;1008;828;879
Jalisco;14064;Ojuelos de Jalisco;200;160;261;200;237;242;284;229;301;190;202
Jalisco;14065;Pihuamo;43;51;48;43;42;36;34;26;36;40;24
Jalisco;14066;Poncitlán;297;333;326;349;320;369;389;380;491;475;469
Jalisco;14067;Puerto Vallarta;5470;5550;6149;6674;5396;4444;5082;5037;5460;5103;5492
Jalisco;14068;Villa Purificación;112;102;121;87;102;119;31;53;51;56;61
Jalisco;14069;Quitupan;43;39;26;34;21;16;35;14;16;13;9
Jalisco;14070;El Salto;1685;2379;3650;3647;3372;2705;3129;3420;3529;3359;4397
Jalisco;14071;San Cristóbal de la Barranca;12;17;28;20;7;8;16;26;37;8;14
Jalisco;14072;San Diego de Alejandría;42;42;38;19;32;26;20;26;19;27;19
Jalisco;14073;San Juan de los Lagos;689;508;640;472;518;775;656;700;693;629;385
Jalisco;14074;San Julián;94;98;50;51;61;65;62;79;66;54;50
Jalisco;14075;San Marcos;17;34;37;21;26;23;14;25;29;15;55
Jalisco;14076;San Martín de Bolaños;19;19;20;23;13;8;9;10;2;5;6
Jalisco;14077;San Martín Hidalgo;158;185;272;204;165;194;181;169;265;246;263
Jalisco;14078;San Miguel el Alto;367;301;243;219;311;280;200;213;205;159;161
Jalisco;14079;Gómez Farías;107;109;120;110;97;124;106;138;199;192;192
Jalisco;14080;San Sebastián del Oeste;34;24;28;12;17;26;23;22;32;20;27
Jalisco;14081;Santa María de los Ángeles;8;19;12;20;27;12;22;15;20;29;26
Jalisco;14082;Sayula;345;320;329;320;269;310;395;338;328;361;342
Jalisco;14083;Tala;950;876;1021;893;1017;1174;1041;921;776;1064;1264
Jalisco;14084;Talpa de Allende;113;148;161;149;139;106;102;124;115;93;99
Jalisco;14085;Tamazula de Gordiano;419;276;251;222;239;165;212;215;267;242;248
Jalisco;14086;Tapalpa;71;89;96;119;108;105;101;119;127;122;115
Jalisco;14087;Tecalitlán;44;38;29;75;37;62;40;36;54;44;47
Jalisco;14088;Tecolotlán;121;168;182;164;191;131;157;226;191;217;192
Jalisco;14089;Techaluta de Montenegro;12;45;38;29;32;36;23;41;38;36;20
Jalisco;14090;Tenamaxtlán;35;30;37;40;36;22;41;43;48;42;46
Jalisco;14091;Teocaltiche;138;125;171;171;172;187;187;141;191;105;241
Jalisco;14092;Teocuitatlán de Corona;48;29;47;33;86;77;65;64;57;54;34
Jalisco;14093;Tepatitlán de Morelos;2202;2270;1832;1765;1854;1558;1496;1341;1343;1252;1316
Jalisco;14094;Tequila;338;420;424;489;566;580;494;429;404;411;390
Jalisco;14095;Teuchitlán;58;88;80;56;44;49;65;68;40;54;81
Jalisco;14096;Tizapán el Alto;67;132;120;101;172;129;178;213;135;158;173
Jalisco;14097;Tlajomulco de Zúñiga;6806;8451;13459;13496;11662;9148;10537;12363;12622;11698;11285
Jalisco;14098;San Pedro Tlaquepaque;7989;11381;14481;14719;14597;11913;12261;12482;13532;12693;11595
Jalisco;14099;Tolimán;31;21;35;33;20;21;32;31;56;50;33
Jalisco;14100;Tomatlán;278;207;235;203;132;175;259;259;204;180;203
Jalisco;14101;Tonalá;5195;8084;10723;10821;11640;9379;8773;8444;9269;8444;7615
Jalisco;14102;Tonaya;18;25;20;19;29;20;21;17;19;19;25
Jalisco;14103;Tonila;2;40;34;39;22;16;27;30;27;36;27
Jalisco;14104;Totatiche;22;22;25;26;35;17;16;21;6;11;16
Jalisco;14105;Tototlán;136;182;142;186;160;127;96;135;201;179;188
