FOLIO,MES,FECHA,DIA_SEM,INCIDENTE,MUN_INC,TIPLOC_INC,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,EDIF,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1,VIAL_2,VIAL_P,DESTACAMEN,HORA_ROBO,MIN_ROBO,HORARI_ROB,PROCESO,VIOLENCIA,ARMA_1,ARMA_2,PER_SOSP,CARAC_PER,T_VEH_SOS,GIRO_NEG,NOM_NEG,REPARTIDOR,DINERO,CANTIDAD,MONTO,TECNOLOGIA,COMPUTO,PANTALLA,CELULAR,ROPA,BICI_TRIC,JOYERIA,CARTERA,ELECTRODOM,HERRAMIENT,VEHICULO,MEDICAMENT,OTROS,CROQUETAS,CONSUMO,GASOLINA,PAGAR_CARR,S_DATOS,FARDERO,ALIAS,EMPLEADO,VEH_SOSP,RECUP_ART,LESIONADO,DETENIDO,AZOTEA,BOQUETE,CORTINA,VENTANA,PARTE_DEL,PARTE_TRAS,BANO,DOMO,SIN_DATOS,CIERRE_PRE,OID,LONG,LAT
288916,OCTUBRE,08/10/2018,LUNES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INF. MORELOS,616,ANDADOR,CUARTO BONAMPAK,105,0,NULO,0,E,CUARTO BONAMPAK,PALENQUE,BONAMPAK,MORELOS,15,41,22,SI,SI,CORTANTE,NO,2 HOMBRES,0,0,TAXISTA,TAXI 1584,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JUAN CARLOS RIOS 21 AðOS,0,0,NO,NO,1,0,0,0,0,0,0,0,0,0,4,184,-102.25630000,21.86423000
290856,OCTUBRE,10/10/2018,MIERCOLES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,CONDOMINIO,OJOCALIENTE INEGI,740,AVENIDA,OJOCALIENTE,NULO,0,NULO,0,NULO,LOS CONOS,SAN FRANCISCO DE LOS VIVEROS,LAS NORIAS,TERAN SUR,23,5,24,SI,NO,NO,NO,0,0,0,TAXISTA,TAXI 2147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,0,1,185,-102.25110000,21.87780400
292656,OCTUBRE,12/10/2018,VIERNES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,JESUS GOMEZ PORTUGAL,528,CALLE,ORION,NULO,0,NULO,0,NULO,LIBRA,ESTRELLA POLAR,ANTARES,MORELOS,22,2,24,SI,NO,NO,NO,4 MUJERES,0,0,TAXISTA,TAXI 1947,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,0,1,186,-102.26390000,21.87231300
298325,OCTUBRE,18/10/2018,JUEVES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOMAS DEL MIRADOR III,620,CALLE,LOMA VIOLETA,NULO,140,NULO,0,NULO,LOMA AMBAR,30 DE SEPTIEMBRE,LOMA DE LA PLATA,MORELOS,7,47,19,SI,NO,NO,NO,3 MUJERES,0,0,TAXISTA,TAXI 1848,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NO,NO,0,0,0,0,0,1,0,0,0,0,1,187,-102.25910000,21.84880700
299094,OCTUBRE,19/10/2018,VIERNES,ROBO TRANSPORTE,CALVILLO,URBANA,COLONIA,DEL CARMEN,291,CALLE,CORREGIDORA,NULO,0,NULO,0,NULO,EMILIANO ZAPATA,SAN JOSE,ALAMO,CALVILLO,0,0,26,NO,NO,NO,NO,1 HOMBRE,0,0,TAXISTA,TAXI 3655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,0,1,188,-102.71320000,21.84463300
301037,OCTUBRE,21/10/2018,DOMINGO,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,BENITO PALOMINO DENA,499,CALLE,ANTONIO MEDINA ROMO,NULO,0,NULO,0,NULO,POLIDUCTO,TENIENTE CORONEL ROBERTO JEFKINS RANGEL,JAIME AIZPURU JAIME,TERAN NORTE,0,0,25,NO,NO,NO,NO,2 HOMBRES,"ESTATURA MEDIA, MORENO  SUDADERA BLANCA CON NEGRO",0,TAXISTA,TAXI 660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,0,1,189,-102.25280000,21.91442000
303595,OCTUBRE,23/10/2018,MARTES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLA MONTAðA,502R,CALLE,CERRO TRONADOR,NULO,0,NULO,0,NULO,FRANCISCO DE J. HERRERA L.,CONSTITUCIONALISTA,NEVADO HUASCARAN,TERAN NORTE,17,38,22,SI,SI,CORTANTE,NO,2 HOMBRES,0,0,TAXISTA,TAXI 159,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CRISTIAN NICASIO ZUðIGA23, GIOVANNY FLORES TORRES",0,0,NO,NO,2,0,0,0,0,0,0,0,0,0,4,190,-102.25800000,21.94158100
305574,OCTUBRE,26/10/2018,VIERNES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,COLONIA,MACIAS ARELLANO,505,CALLE,A,NULO,0,NULO,0,NULO,SEGUNDA PRIVADA C,CAMINO AL COBANO,C,TERAN NORTE,1,30,25,SI,SI,CORTANTE,NO,2 HOMBRES,"16 Y 18 AðOS, SUDADERA BLANCA",0,TAXISTA,TAXI 1824,0,1,200,6500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,0,1,191,-102.28220000,21.90692500
310100,OCTUBRE,30/10/2018,MARTES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLA MONTAðA,502R,CALLE,CERRO TRONADOR,NULO,260,NULO,0,NULO,CONSTITUCIONALISTA,JUAN G. ALVARADO,NEVADO HUASCARAN,TERAN NORTE,7,46,19,SI,NO,NO,NO,0,0,0,TAXISTA,TAXI 335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,0,2,192,-102.25870000,21.94244900
311613,OCTUBRE,31/10/2018,MIERCOLES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LUIS ORTEGA DOUGLAS,440,CALLE,EL PICACHO,NULO,0,NULO,0,NULO,LA TRINIDAD,TANQUE DE GUADALUPE,EL GIGANTE,TERAN NORTE,0,0,24,NO,SI,CONTUSA,NO,3 HOMBRES,0,0,TAXISTA,TAXI 490,0,1,700,700,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""EL POLLO"" 19 AðOS",0,0,NO,NO,0,0,0,0,0,0,0,0,0,0,1,193,-102.26200000,21.90948200
