FOLIO,FOLIO_REL,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,ID_COL,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,RANGO,HORARIO,PROCESO,VIOLENCIA,ARMA_US,ARMA,PER_SOSP,ALIAS,SEXO_AGRE,SEXO_AFEC,CAT_SOSP,DETENIDO,DET_SPM,MOT_DET,LESION_AFE,LESION_PR,TRASL_HOSP,FALLECIDOS,T_VEH_SOS,DESCRIP,RECUP_ART,CORP_ACUD,CIERRE_COR,DEN_CASIO,CARRETERA,TIPO_CARR,MARCA,SUBMARCA,MODELO,COLOR,PLACAS,SERIE,MOTOR,EDO_PLACAS,HECHOS,TRANSP_PUB,TIPO_VEH,TRANSPTTA,A_TRANS_PA,LLAVES_PUE,LPR,CARP_INV,CASA_VEH,ASEN_REC,COND_REC,CORP_REC,FECHA_REC,DIA_REC,MUN_REC,LONG,LAT,FERIA,EXTORSION,OID
252242590,0,30463,ROBO DE MOTOCICLETA,11,17/11/2025,47,1,1,FRACCIONAMIENTO,LOMAS DE SANTA ANITA,227,227,CALLE,SALVADOR DALI,NA,NA,"201,,,",CALLE,DAVID ALFARO SIQUEIROS,4,19,30,23,07:30 p. m.,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Falso,1,1,0,Falso,NA,ITALIKA,ST150,2024,NEGRO,96CPL8,3SCK2AEP1R1040838,LC162FMJ294ND67E,AGUASCALIENTES,ITALIKA ST150 2024 NEGRO,0,MOTO,Falso,PARADO,Falso,Falso,CI/AGS/29067/11-25,Falso,,,,01/01/1900,0,0,-102.26727,21.8939362,0,Falso,845
252247962,0,30463,ROBO DE MOTOCICLETA,11,18/11/2025,47,2,1,FRACCIONAMIENTO,VILLA LAS PALMAS II,365,365,PROLONGACION,IXTLAHUATL,NA,NA,"1158,,,",CALLE,VILLA OBREGON,5,0,0,3,15:00-17:20,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Falso,"1,23",1,4835,Falso,NA,ITALIKA,FT150,2025,NEGRO,48ETC8,3SCK2AEN4S1050058,LC162FNJ495792E4,AGUASCALIENTES,ITALIKA FT150 2025 NEGRO,0,MOTO,Falso,PARADO,Falso,Falso,CI/AGS/29158/11-25,Falso,,,,01/01/1900,0,0,-102.23221,21.8624787,0,Falso,846
252213553,0,30414,ROBO DE MOTOCICLETA,11,14/11/2025,46,5,1,FRACCIONAMIENTO,PASEOS DEL SUR,634R,0,CALLE,AGRICENTO,NA,NA,"118,,,",CIRCUITO,SICILIA,5,4,0,26,04:00 a. m.,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Falso,"1,23",1,4830,Falso,NA,VENTO,150CC,2022,BLANCO,64CNP9,3MUALDBD7N1001562,KD162FMJ22495291,AGUASCALIENTES,VENTO 150CC 2022 BLANCO,0,MOTO,Falso,PARADO,Falso,Falso,CI/AGS/28808/11-25,Verdadero,,,,01/01/1900,0,0,-102.27219,21.815742,0,Falso,848
252230405,0,30414,ROBO DE MOTOCICLETA,11,16/11/2025,46,7,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR GUADALUPE",342,342,CALLE,FELIPE DE UREÑA,NA,NA,"510,,,",CALLE,JESUS GOMEZ LUNA,3,6,13,19,06:13 a. m.,Falso,Falso,9,ninguna,"1 HOMBRE,VISTE PANTS Y CHAMARRA ROJA","""EL VIKINGO""",H,M,11,0,N,N,0,0,Falso,0,N,N,Falso,1,1,0,Falso,NA,ITALIKA,ND,2023,ROJO,97ETH7,3SCK59LA7P1012613,ND,AGUASCALIENTES,ITALIKA 2023 ROJO,0,MOTO,Falso,PARADO,Falso,Falso,ND,Verdadero,,,,01/01/1900,0,0,-102.25458,21.9303566,0,Falso,849
252204941,0,30414,ROBO DE MOTOCICLETA,11,12/11/2025,46,3,1,FRACCIONAMIENTO,MUJERES ILUSTRES,457,457,CALLE,JUANA DE ARCO,NA,NA,"901,,,",AVENIDA,POLIDUCTO,5,0,0,24,22:53-23:13,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Falso,"1,23",1,4823,Falso,NA,ITALIKA,150CC,2021,GRIS,32CHZ1,3SCK2AEN6M1022393,LC162FMJTE160297,AGUASCALIENTES,ITALIKA 150CC 2021 GRIS,0,MOTO,Falso,PARADO,Falso,Falso,CI/AGS/28694/11-25,Verdadero,,,,01/01/1900,0,0,-102.25481,21.8489258,0,Falso,850
252248650,0,30463,ROBO DE MOTOCICLETA,11,18/11/2025,47,2,1,FRACCIONAMIENTO,EJIDO OJOCALIENTE,559,559,AVENIDA,TECNOLOGICO,NA,NA,",,,",CALLE,TECNOLIGICO,4,0,0,22,17:50-18:58,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Falso,1,1,0,Falso,NA,VENTO,300CC,2026,AZUL CON NEGRO,43ETW4,ND,ND,AGUASCALIENTES,VENTO 300CC 2026 AZUL CON NEGRO,0,MOTO,Falso,PARADO,Falso,Falso,CI/AGS/29166/11-25,Falso,,,,01/01/1900,0,0,-102.26175,21.8801849,0,Falso,851
252251455,0,30463,ROBO DE MOTOCICLETA,11,19/11/2025,47,3,1,FRACCIONAMIENTO,PARRAS,224,224,CALLE,TOKAY,NA,NA,"222,,,",AVENIDA,AGUASCALIENTES NORTE,3,0,0,16,20:00-07:25,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Verdadero,1,1,0,Falso,NA,MB MOTOS,HORNET 300,2024,BLANCO,K3F58T,LRSJDPLH0R0D16161,ZS174MN38R1NDND1,JALISCO,MB MOTOS HORNET 300 2024 BLANCO,0,MOTO,Falso,PARADO,Falso,Falso,ND,Falso,GREMIAL,5,AGS,19/11/2025,3,1,-102.2766,21.9142275,0,Falso,852
252248633,0,30463,ROBO DE MOTOCICLETA,11,18/11/2025,47,2,1,FRACCIONAMIENTO,PILAR BLANCO,142,142,CALLE,PASEO DEL BUHO,NA,6MH,"2,,,",CALLE,PASEO DEL GORRION,2,0,0,22,16:30-18:00,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Falso,1,1,0,Falso,NA,HONDA,125CC,2025,ROJO CON BLANCO,89EFC4,ND,JK25E2ND16564,AGUASCALIENTES,HONDA 125CC 2025 ROJO CON BLANCO,0,MOTO,Falso,PARADO,Falso,Falso,ND,Falso,,,,01/01/1900,0,0,-102.2983,21.8510411,0,Falso,853
252332845,0,30463,ROBO DE MOTOCICLETA,12,01/12/2025,49,1,5,CONDOMINIO,RANCHO SAN MIGUEL,1011,1011,CALLE,ACEQUIA,NA,NA,"564,,,",CALLE,ACUEDUCTO,7,0,0,26,05:00-06:00,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Falso,1,1,0,Falso,NA,VENTO,NITROX 200,2020,NEGRO CON NARANJA,03CHP5,LXYVHFBD6L1225392,ND,AGUASCALIENTES,VENTO NITROX 200 2020 NEGRO,0,MOTO,Falso,PARADO,Falso,Falso,ND,Falso,,,,01/01/1900,0,0,-102.30843,21.9610903,0,Falso,883
252251795,0,30463,ROBO DE MOTOCICLETA,11,18/11/2025,47,2,1,FRACCIONAMIENTO,LAS HADAS,594,594,AVENIDA,AGLAYA,NA,NA,",,,",CALLE,LOS ARCOS,3,0,0,24,22:00-23:00,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Falso,1,1,0,Falso,NA,ITALIKA,FT150,0,VERDE CON NEGRO,10EST4,3SCK2AETXS1026670,LC162FMJ329117E4,AGUASCALIENTES,ITALIKA FT150 VERDE CON NEGRO,0,MOTO,Falso,PARADO,Falso,Falso,ND,Falso,,,,01/01/1900,0,0,-102.28918,21.907625,0,Falso,854
