FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,HORA,MINUTOS,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,LESIONADO,T_VEH_SOS,DESCRIP,HORARIO,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,OID,LONG,LAT
211353806,30403,CRISTALAZO,11,2021-11-10,45,3,7,12,1,FRACCIONAMIENTO,MORELOS I,1120,CALLE,SOLDADO INSURGENTE,0,NA,",,,",CALLE,MAYO DE 1812,5,true,false,9,1 HOMBRE,ND,0,0,N,N,19,41,0,0,false,4,5,CAMIONETA,ND,ND,1,1,1423,-102.26059233,21.85788750
211353908,30411,AUTOPARTES,11,2021-11-10,45,3,8,4,5,FRACCIONAMIENTO,RUISEÑORES,338P,CALLE,AGUILA,0,NA,"109,,,",CIRCUITO,FAISAN,7,false,false,9,ND,ND,0,0,N,N,23,"38,11,22",0,0,false,1,2,AUTOMOVIL,CHEVROLET,CHEVY,1,1,1424,-102.33141608,21.96794467
211354198,30411,AUTOPARTES,11,2021-11-10,45,3,10,7,1,SIN TIPO,JARDINES ETERNOS 2A. SECCION,669,CALLE,CALLE,0,NA,",,,",CALLE,RIO DUERO,6,false,false,9,1 HOMBRE,ND,0,0,N,N,20,22,0,0,false,1,2,AUTOMOVIL,TOYOTA,CAMRY,1,1,1425,-102.31712537,21.89101444
211355403,30411,AUTOPARTES,11,2021-11-10,45,3,15,39,1,FRACCIONAMIENTO,LAS AMERICAS,406,CALLE,REPUBLICA DE PERU,0,NA,",,,",AVENIDA,QUIENTA AVENIDA,2,false,false,9,1 HOMBRE,ND,0,0,N,N,21,22,0,0,false,1,2,AUTOMOVIL,CHEVROLET,CHEVY,1,1,1426,-102.29895888,21.86393340
211357470,30403,CRISTALAZO,11,2021-11-11,45,4,7,30,1,FRACCIONAMIENTO,SANTA ANITA,523,CALLE,HEROCIO COLEGIO MILITAR,0,NA,",,,",CALLE,GUISEPPE VERDI,4,false,false,9,ND,ND,0,0,N,N,18,11,0,0,false,4,1,AUTOMOVIL,CHEVROLET,CHEVY,1,6,1427,-102.27897296,21.89412183
211357487,30411,AUTOPARTES,11,2021-11-11,45,4,7,43,6,COMUNIDAD,LAS ANIMAS,215P,CALLE,LEY FEDERAL DEL AGUA,0,NA,",,,",CALLE,ARTUCULO 85,7,false,false,9,1 HOMBRE,ND,0,0,N,N,19,25,0,0,false,2,2,TRAILER,ND,ND,1,1,1428,-102.26607700,22.09461700
211357555,30411,AUTOPARTES,11,2021-11-11,45,4,8,10,3,COMUNIDAD,LOS PATOS,138P,CALLE,5 DE MAYO,0,NA,",,,",CALLE,LIBERTAD,7,false,false,9,ND,ND,0,0,N,N,19,"22,12",0,4500,false,1,3,AUTOMOVIL,TOYOTA,YARIS,1,1,1429,-102.74975950,21.85102338
211361416,30411,AUTOPARTES,11,2021-11-12,45,5,6,55,1,FRACCIONAMIENTO,VICENTE GUERRERO,1108,AVENIDA,REVOLUCION,0,NA,",,,",CALLE,VICTORIANO HUERTA,2,false,false,9,ND,ND,0,0,N,N,16,11,0,10000,false,1,1,CAMIONETA,CHEVROLET,S10,1,1,1430,-102.31853795,21.84820920
211363187,30411,AUTOPARTES,11,2021-11-12,45,5,16,30,1,COLONIA,MORELOS,918,PRIVADA,20 DE NOVIEMBRE,0,NA,",,,",CALLE,CELSO BERNAL,3,false,false,9,ND,ND,0,0,N,N,22,"22,11",0,3300,false,1,3,AUTOMOVIL,MITSUBISHI,ECLIPSE,1,1,1431,-102.28983773,21.90272356
211365178,30411,AUTOPARTES,11,2021-11-13,45,6,0,44,1,SIN TIPO,ISLA SAN MARCOS,1028,BOULEVARD,SAN MARCOS,0,NA,",,,",SIN DATOS,SIN DATOS,2,false,false,9,ND,ND,0,0,N,N,25,39,0,0,false,1,5,AUTOMOVIL,HONDA,CIVIC,1,6,1432,-102.32522485,21.86193049
211366051,30411,AUTOPARTES,11,2021-11-13,45,6,8,54,1,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,955,CALLE,RICARDO GARCIA MENDOZA,0,NA,",,,",CALLE,SOBERANA CONVENCION MILITAR REVOLUCIONARIA PONIENTE,2,false,false,9,ND,ND,0,0,N,N,5,22,0,3500,false,1,2,AUTOMOVIL,CHEVROLET,CHEVY,1,1,1433,-102.32593682,21.85648539
211366476,30411,AUTOPARTES,11,2021-11-13,45,6,11,26,1,CONDOMINIO,CENTRO COMERCIAL GALERIAS I,844,BOULEVARD,A ZACATECAS,0,NA,",,,",PRIVADA,PASEO DE LAS PALMAS,6,false,false,9,ND,ND,0,0,N,N,20,22,0,10000,false,1,2,CAMIONETA,ND,ND,1,1,1434,-102.29249696,21.92128799
211370835,30403,CRISTALAZO,11,2021-11-14,45,7,5,18,1,FRACCIONAMIENTO,ESPAÑA,1052,CALLE,ARAGON,0,NA,",,,",AVENIDA,DE LOS MAESTROS,2,false,false,9,1 HOMBRE,ND,0,0,N,N,26,39,0,0,false,4,4,AUTOMOVIL,NISSAN,SENTRA,1,6,1435,-102.31323296,21.86315314
211372080,30411,AUTOPARTES,11,2021-11-14,45,7,13,45,1,COLONIA,CURTIDORES,748,CALLE,DELFINO ARAUJO,0,NA,",,,",PROLONGACION,DOCTOR SALVADOR QUEZADA LIMON,6,false,false,9,ND,ND,0,0,N,N,22,24,0,0,false,1,2,AUTOMOVIL,ND,ND,1,2,1436,-102.32126937,21.88684454
211374937,30403,CRISTALAZO,11,2021-11-15,46,1,3,37,1,FRACCIONAMIENTO,VNSA SAN MARCOS,437,CALLE,FRANCISCO TEMANAZTLE,0,NA,",,,",CALLE,FUERTE DE OJUELOS,3,true,false,9,2 HOMBRES,ND,0,0,N,N,26,39,0,0,false,4,5,AUTOMOVIL,CHEVROLET,CHEVY,1,1,1437,-102.26406321,21.92671547
211374966,30403,CRISTALAZO,11,2021-11-15,46,1,3,47,1,FRACCIONAMIENTO,MUJERES ILUSTRES,602,CALLE,AMALIA GOMEZ ZEPEDA,0,NA,",,,",AVENIDA,AJEDRECISTAS,5,true,false,9,1 HOMBRE,ND,0,0,N,N,26,39,0,0,false,4,5,AUTOMOVIL,NISSAN,ND,1,1,1438,-102.24878018,21.84649925
211375135,30403,CRISTALAZO,11,2021-11-15,46,1,6,18,1,FRACCIONAMIENTO,VNSA SAN MARCOS,435,CALLE,PEDRO HERNANDEZ DE SANTA,0,NA,",,,",CALLE,CRISTOBAL DE MONTORO,3,false,false,9,1 HOMBRE,ND,0,0,N,N,15,"24,38",0,0,false,4,3,AUTOMOVIL,PEUGEOT,ND,1,1,1439,-102.26174077,21.92578831
211377984,30411,AUTOPARTES,11,2021-11-15,46,1,22,0,1,FRACCIONAMIENTO,JARDINES DE LA ASUNCION,1097,AVENIDA,JOSE MARIA CHAVEZ,0,NA,",,,",CALLE,ABRAHAM GONZALEZ,5,false,false,9,ND,ND,0,0,N,N,24,"26,28,27,12",0,4000,false,1,1,CAMIONETA,HONDA,ODYSSEY,1,1,1440,-102.29197274,21.85088647
211350327,30411,AUTOPARTES,11,2021-11-09,45,2,11,13,1,FRACCIONAMIENTO,EMILIANO ZAPATA,585,AVENIDA,SIGLO XXI,0,NA,",,,",AVENIDA,MARIANO HIDALGO,5,false,false,9,ND,ND,0,0,N,N,20,37,0,0,false,5,2,CAMIONETA,DODGE,CARAVAN,1,1,1441,-102.25643537,21.85507066
