FOLIO,FOLIO_REL,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,ID_COL,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,RANGO,HORARIO,PROCESO,VIOLENCIA,ARMA_US,ARMA,PER_SOSP,ALIAS,SEXO_AGRE,SEXO_AFEC,CAT_SOSP,DETENIDO,DET_SPM,MOT_DET,LESION_AFE,LESION_PR,TRASL_HOSP,FALLECIDOS,T_VEH_SOS,DESCRIP,HECHOS,RECUP_ART,CORP_ACUD,CIERRE_COR,DEN_CASIO,CARRETERA,TIPO_CARR,MARCA,SUBMARCA,MODELO,COLOR,PLACAS,SERIE,EDO_PLACAS,TRANSP_PUB,TIPO_VEH,TRANSPTTA,A_TRANS_PA,LLAVES_PUE,LPR,CARP_INV,CASA_VEH,ASEN_REC,COND_REC,CORP_REC,FECHA_REC,DIA_REC,MUN_REC,LONG,LAT,TEN_EXT,OID
250061106,0,30430,ROBO DE VEHICULO,1,10/01/2025,2,5,1,COMUNIDAD,EL NIAGARA,22,22,CALLE,JOSE MARIA MORELOS,NA,NA,",,,",CALLE,ADOLFO LOPEZ MATEOS,2,0,0,18,dia solo,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,LAND ROVER 2012 BLANCO,Falso,2,1,0,Falso,NA,LAND ROVER,ND,2012,BLANCO,JJS6415,SALSF2D48CA719522,JALISCO,0,CAMIONETA,Falso,PARADO,Falso,Falso,ND,Falso,,,,01/01/1900,0,0,-102.37089,21.77714,,14
250069398,0,30430,ROBO DE VEHICULO,1,11/01/2025,2,6,1,FRACCIONAMIENTO,GAMEZ,253,253,PROLONGACION,SAN MIGUEL,NA,NA,"232,,,",CALLE,PODER LEGISLATIVO,1,0,0,14,13:00-21:00,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,HONDA ACCORD 1988 AZUL MARINO,Verdadero,1,1,0,Falso,NA,HONDA,ACCORD,1988,AZUL MARINO,067DRF,ND,EXTRANERAS,0,COCHE,Falso,PARADO,Falso,Falso,ND,Falso,CENTRO COMERCIAL GALERIAS,5,AGS,11/01/2025,6,1,-102.28289,21.87678,,17
250075624,0,30430,ROBO DE VEHICULO,1,12/01/2025,2,7,1,COLONIA,OLIVARES SANTANA,649,649,CALLE,PEDRO GARCIA ROJAS,NA,NA,"1114,,,",CALLE,MAR DE GALILEA,6,0,0,24,21:38-21:58,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NISSAN PICK-UP 1983 AMARILLO,Verdadero,1,4,0,Falso,NA,NISSAN,PICK-UP,1983,AMARILLO,ND,ND,ZACATECAS,0,CAMIONETA,Falso,PARADO,Falso,Falso,ND,Falso,OLIVARES SANTANA,5,AGS,12/01/2025,7,1,-102.31409,21.89584,,18
250434061,0,50107,ROBO DE VEHICULO,1,13/01/2025,3,1,1,FRACCIONAMIENTO,JARDINES DEL PARQUE,187,187,CIRCUITO,PASEO DE LOS CISNES,NA,NA,"293,,,",AVENIDA,HEROE DE NACOZARI SUR,5,0,0,27,sin datos,Falso,Falso,9,ninguna,PAREJA,SANDRA LUZ GARCIA HERRERA,M,H,5,1,N,N,0,0,Falso,0,N,N,VOLKSWAGEN JETTA 2014 NEGRO,Verdadero,20,13,0,Falso,NA,VOLKSWAGEN,JETTA,2014,NEGRO,TYA3940,3VWLW6AJ4EM209698,PUEBLA,0,COCHE,Falso,PARADO,Falso,Verdadero,CI/AGS/01341/01-25,Falso,OJOCALIENTE III,5,PE,26/03/2025,3,1,-102.28298,21.8545,,128
250086108,0,30430,ROBO DE VEHICULO,1,14/01/2025,3,2,1,COLONIA,LA SOLEDAD,288,288,CALLE,CIHUATLAN,NA,NA,"170,,,",CALLE,EL GRULLO,6,16,57,22,04:57 p. m.,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,TOYOTA RAV4 2006 ARENA,Verdadero,1,1,0,Falso,NA,TOYOTA,RAV4,2006,ARENA,ACK886F,JTMZD35V465017364,AGUASCALIENTES,0,CAMIONETA,Falso,PARADO,Falso,Falso,ND,Falso,RINCONADA SANTA MONICA,6,AGS,14/01/2025,2,1,-102.33053,21.87626,,25
251814213,0,30430,ROBO DE VEHICULO,9,17/09/2025,38,3,1,FRACCIONAMIENTO,DEL VALLE RIO SAN PEDRO,149,149,AVENIDA,AGUASCALIENTES PONIENTE,NA,NA,",,,",CALLE,VALLE DE SANTIAGO,6,12,6,21,12:06 p. m.,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NISSAN PICK-UP 2005 GRIS CON NARANJA,Verdadero,1,4,0,Falso,NA,NISSAN,PICK-UP,2005,GRIS,JN51268,ND,JALISCO,0,CAMIONETA,Verdadero,PARADO,Falso,Falso,ND,Falso,ALTAVISTA,5,AGS,17/09/2025,3,1,-102.318,21.88269,0,416
250097959,0,30414,ROBO DE VEHICULO,1,16/01/2025,3,4,1,FRACCIONAMIENTO,LA FLORIDA II,444,444,CALLE,PASEO DE LA CUEVA,NA,NA,"137,,,",CALLE,PASEO DE LA CUESTA,3,0,0,9,06:00-20:00,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,VOLKSWAGEN JETTA 1992 GRIS,Falso,"1,23",1,3760,Falso,NA,VOLKSWAGEN,JETTA,1992,GRIS,ADS119F,ND,AGUASCALIENTES,0,COCHE,Falso,PARADO,Falso,Falso,ND,Verdadero,,,,01/01/1900,0,0,-102.2394,21.92875,,37
250101083,0,30430,ROBO DE VEHICULO,1,17/01/2025,3,4,1,BARRIO,BARRIO SAN MARCOS,85,85,CALLE,JESUS F CONTRERAS,NA,NA,",,,",CALLE,JOSE GUADALUPE POSADA,1,0,0,16,23:00-10:10,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,TOYOTA PICK-UP 2017 BLANCO,Falso,20,13,0,Falso,NA,TOYOTA,PICK-UP,2017,BLANCO,2018SJP,JTFSX23P6H6174874,OAXACA,0,CAMIONETA,Falso,PARADO,Falso,Falso,CI/AGS/01403/01-25,Falso,,,,01/01/1900,0,0,-102.30626,21.87997,,27
250108949,0,30430,ROBO DE VEHICULO,1,18/01/2025,3,6,1,NO APLICA,DESARROLLO ESPECIAL BULEVAR A ZACATECAS,609,609,BOULEVARD,A ZACATECAS,NA,NA,",,,",AVENIDA,AGUASCALIENTES NORTE,3,0,0,14,17:28-21:00,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,CHEVROLET SILVERADO 1991 AZUL TURQUESA,Verdadero,"1,23",1,3768,Falso,NA,CHEVROLET,SILVERADO,1991,AZUL,AC1865A,1GCDC14K2MZ192176,AGUASCALIENTES,0,CAMIONETA,Falso,PARADO,Falso,Falso,CI/AGS/01467/01-25,Falso,VNSA ENCINO,4,AGS,18/01/2025,6,1,-102.2909,21.92505,,28
250115447,0,30430,ROBO DE VEHICULO,1,19/01/2025,3,7,1,BARRIO,EL ENCINO,517,517,AVENIDA,PASEO DE LA CRUZ,NA,NA,",,,",CALLE,16 DE SEPTIEMBRE,1,7,30,19,07:30 a. m.,Verdadero,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,VOLKSWAGEN JETTA 2006 TINTO,Verdadero,3,4,0,Falso,NA,VOLKSWAGEN,JETTA,2006,TINTO,ABT020F,ND,AGUASCALIENTES,0,COCHE,Falso,PARADO,Falso,Falso,CI/AGS/01530/01-25,Falso,ZONA CENTRO,5,TRA,19/01/2025,7,1,-102.29016,21.87292,,29
250118546,0,30430,ROBO DE VEHICULO,1,19/01/2025,3,7,1,UNIDAD HABITACIONAL,LAZARO CARDENAS,259,259,AVENIDA,PASEO DE LA CRUZ,NA,5,"402,,,",CALLE,SAHOP,5,0,0,3,13:30-17:30,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,VOLKSWAGEN ATLANTIC 1993 ROJO,Verdadero,1,4,0,Falso,NA,VOLKSWAGEN,ATLANTIC,1983,ROJO,AAT374C,ND,AGUASCALIENTES,0,COCHE,Falso,PARADO,Falso,Falso,CI/AGS/01566/01-25,Falso,FOVISSSTE OJOCALIENTE,5,AGS,19/01/2025,7,1,-102.27927,21.87452,,30
250118955,0,30430,ROBO DE VEHICULO,1,19/01/2025,3,7,1,FRACCIONAMIENTO,JESUS GOMEZ PORTUGAL,585,585,CALLE,CASIOPEA,NA,NA,",,,",AVENIDA,DE LA CONVENCION DE 1914 ORIENTE,5,0,0,22,17:00-18:38,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,VOLKSWAGEN SEDAN 1990 BLANCO,Verdadero,1,4,0,Falso,NA,VOLKSWAGEN,SEDAN,1990,BLANCO,ABN832E,11L0061751,AGUASCALIENTES,0,COCHE,Falso,PARADO,Falso,Falso,ND,Falso,J.GPE. PERALTA,5,PE,19/01/2025,7,1,-102.27049,21.87268,,31
250115681,0,30430,ROBO DE VEHICULO,1,19/01/2025,3,7,1,FRACCIONAMIENTO,VERSALLES II,164,164,CALLE,GILBERTO LOPEZ VELARDE,NA,NA,"201,,,",CALLE,FRANCISCO CARRERA TORRES,2,0,0,5,00:00-05:59,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,MAZDA PICK-UP 1992 BLANCO,Verdadero,1,4,0,Falso,NA,MAZDA,PICK-UP,1992,BLANCO,AC4006A,ND,AGUASCALIENTES,0,CAMIONETA,Falso,PARADO,Falso,Falso,CI/AGS/01528/01-25,Falso,PILAR BLANCO,5,AGS,19/01/2025,7,1,-102.30924,21.85536,,32
250128781,0,30420,ROBO DE VEHICULO,1,21/01/2025,4,2,1,FRACCIONAMIENTO,FUNDADORES,595,595,AVENIDA,MARGARITA MAZA DE JUAREZ,NA,NA,"422,,,",PROLONGACION,CARMEN SERDAN,5,0,0,5,00:00-05:59,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,VOLKSWAGEN GOLF 1992 CAFE/NEGRO,Verdadero,1,4,0,Falso,NA,VOLKSWAGEN,GOLF,1992,CAFE,ACV549B,ND,AGUASCALIENTES,0,COCHE,Falso,PARADO,Falso,Falso,ND,Falso,CAMINO AL MALACATE,5,TRA,21/01/2025,2,1,-102.24618,21.84851,,34
250877525,0,30430,ROBO DE VEHICULO,5,05/05/2025,19,1,1,FRACCIONAMIENTO,ESPAÑA,171,171,CALLE,ESPAÑA,NA,NA,"402,,,",CALLE,NUBINA,2,0,0,12,18:00-00:50,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,VOLKSWAGEN GOLF 2013 BLANCO,Verdadero,1,1,0,Falso,NA,VOLKSWAGEN,GOLF,2013,BLANCO,ACH589E,ND,AGUASCALIENTES,0,COCHE,Falso,PARADO,Falso,Falso,CI/AGS/11557/05-25,Falso,ESAÑA,5,AGS,05/05/2025,1,1,-102.31157,21.86924,0,230
250134051,0,30430,ROBO DE VEHICULO,1,22/01/2025,4,3,1,CONDOMINIO,CENTRO COMERCIAL GALERIAS,526,526,CALLE,JORGE REYNOSO,NA,NA,",,,",AVENIDA,INDEPENDENCIA,6,0,0,15,20:00-03:46,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,CHEVROLET CHEVY 2000 TINTO,Verdadero,1,1,0,Falso,NA,CHEVROLET,CHEVY,2000,TINTO,ABN313E,3G1SF242XYS21377,AGUASCALIENTES,0,COCHE,Falso,PARADO,Falso,Falso,CI/AGS/01855/01/25,Falso,FRANCISCO VILLA,5,AGS,22/01/2025,3,1,-102.2961,21.91872,,38
250134729,0,30430,ROBO DE VEHICULO,1,22/01/2025,4,3,1,NO APLICA,DESARROLLO ESPECIAL EL COBANO,534,534,AVENIDA,AGUASCALIENTES ORIENTE,NA,NA,"920,,,",CALLE,TOKAY,3,0,0,25,01:50-002:00,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NISSAN VERSA 2018 BLANCO,Falso,"1,23",1,3784,Falso,NA,NISSAN,VERSA,2018,BLANCO,AAD482F,3N1CN7AD9JL838382,AGUASCALIENTES,0,COCHE,Falso,PARADO,Falso,Falso,CI/AGS/01871/01-25,Falso,,,,01/01/1900,0,0,-102.27635,21.91434,,39
250139948,0,30430,ROBO DE VEHICULO,1,23/01/2025,4,4,1,FRACCIONAMIENTO,PASEOS DE SAN ANTONIO,634,634,CALLE,FRIGIA,NA,NA,"102,,,",CALLE,LIVORNO,5,3,30,26,03:30 a. m.,Falso,Falso,9,ninguna,2 HOMBRES,ND,H,H,8,0,N,N,0,0,Falso,0,N,N,NISSAN ESTACAS 1986 NEGRO,Verdadero,"1,23",4,3790,Falso,NA,NISSAN,ESTACAS,1986,NEGRO,AB1331F,6G72007420,AGUASCALIENTES,0,CAMIONETA,Falso,PARADO,Falso,Falso,CI/AGS/01934/01-25,Falso,PASEOS DE SAN ANTONIO,5,AGS,23/01/2025,4,1,-102.26718,21.81088,,40
250139989,0,30430,ROBO DE VEHICULO,1,23/01/2025,4,4,1,FRACCIONAMIENTO,COLINAS DE SAN IGNACIO,646,646,CALLE,CAMINO ANTIGUO A SAN IGNACIO,NA,NA,"405,,,",CALLE,AMBIENTE,6,0,0,5,00:00-05:59,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,CHEVROLET CAMARO 2014 AMARILLO,Falso,"1,23",1,3789,Falso,NA,CHEVROLET,CAMARO,2014,AMARILLO,D22BAY,2G1FB1E36E9239714,ESTADO DE MEXICO,0,COCHE,Falso,PARADO,Falso,Falso,CI/AGS/01932/01-25,Falso,,,,01/01/1900,0,0,-102.32053,21.89848,,41
250141848,0,30430,ROBO DE VEHICULO,1,23/01/2025,4,4,1,FRACCIONAMIENTO,INSURGENTES,161,161,AVENIDA,PASEO DE LA ASUNCION,NA,NA,"110,,,",CALLE,DOROTEO ARANGO,2,0,0,21,13:00-15:04,Falso,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,VOLKSWAGEN JETTA 2015 AZUL MARINO,Falso,1,1,0,Falso,NA,VOLKSWAGEN,JETTA,2015,AZUL MARINO,AEA110F,ND,AGUASCALIENTES,0,COCHE,Falso,PARADO,Falso,Falso,ND,Falso,,,,01/01/1900,0,0,-102.30103,21.85253,,42
251787962,0,30430,ROBO DE VEHICULO,9,14/09/2025,37,7,1,FRACCIONAMIENTO,ESPAÑA,171,171,CALLE,BARCELONA,NA,NA,"125,,,",AVENIDA,DE LOS MAESTROS,2,0,0,25,00:00-01:30,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,TOYOTA RAV4 2007 CREMA,Verdadero,1,1,0,Falso,NA,TOYOTA,RAV4,2007,CREMA,ZFA407G,JTMZD33V075033999,ZACATECAS,0,CAMIONETA,Falso,PARADO,Verdadero,Falso,ND,Falso,ESPAÑA,5,AGS,14/09/2025,7,1,-102.3146,21.86137,0,415
250095146,0,30430,ROBO DE VEHICULO,1,16/01/2025,3,3,1,BARRIO,GUADALUPE,502,502,CALLE,LARREATEGUI,NA,NA,"419,,,",CALLE,PLAN DE AYUTLA,1,0,0,27,sin datos,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,CHEVROLET S-10 1996 BLANCO,Falso,20,13,0,Falso,BA,CHEVROLET,S-10,1996,BLANCO,AB2137E,ND,AGUASCALIENTES,0,CAMIONETA,Falso,PARADO,Falso,Falso,CI/AGS/01266/01-25,Falso,,,,01/01/1900,0,0,-102.30146,21.88645,,26
250152421,0,30430,ROBO DE VEHICULO,1,25/01/2025,4,6,1,FRACCIONAMIENTO,PASEOS DE SAN ANTONIO,634,634,CALLE,CORINTO,NA,NA,"116,A,,",CALLE,BIZANCIO,5,0,0,15,22:00-05:30,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NISSAN MARCH 2019 BLANCO,Falso,1,1,0,Falso,NA,NISSAN,MARCH,2019,BLANCO,ADX370R,3N6CK34N6KL214766,AGUASCALIENTES,0,COCHE,Falso,PARADO,Falso,Falso,ND,Falso,,,,01/01/1900,0,0,-102.26721,21.81145,,45
250167143,0,30430,ROBO DE VEHICULO,1,27/01/2025,5,1,1,FRACCIONAMIENTO,SANTA ANITA,102,102,AVENIDA,PARQUE VIA ORIENTE,NA,NA,"526,,,",CALLE,TERESA DE AVILA,4,0,0,5,00:00-05:59,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,CHEVROLET S-10 1985 ROJO,Verdadero,1,4,0,Falso,NA,CHEVROLET,S-10,1985,ROJO,ND,ND,ND,0,CAMIONETA,Falso,PARADO,Falso,Falso,ND,Falso,SANTA ANITA,9,AGS,27/01/2025,1,1,-102.27336,21.89634,,46
250179928,0,30430,ROBO DE VEHICULO,1,29/01/2025,5,3,1,FRACCIONAMIENTO,LAS HADAS,594,594,CALLE,TROQUEL,NA,NA,",,,",AVENIDA,AGLAYA,3,0,0,16,20:00-11:12,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,VOLKSWAGEN JETTA 1993 NEGRO,Falso,1,1,0,Falso,NA,VOLKSWAGEN,JETTA,1993,NEGRO,ABE513C,1HPM605739,AGUASCALIENTES,0,COCHE,Falso,PARADO,Falso,Falso,ND,Falso,,,,01/01/1900,0,0,-102.291,21.90751,,49
250182871,0,30430,ROBO DE VEHICULO,1,29/01/2025,5,3,1,COMUNIDAD,EL GIGANTE (ARELLANO),46,46,CALLE,FLOR DE MARIA,NA,NA,",,,",CALLE,FLOR DE AMAPOLA,2,18,30,22,06:30 p. m.,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,FORD EXPEDITION 2002 BLANCA,Verdadero,1,1,0,Falso,NA,FORD,EXPEDITION,2002,BLANCO,AAX261F,1FMRU17L22LA00094,AGUASCALIENTES,0,CAMIONETA,Falso,PARADO,Falso,Falso,CI/AGS/02614/01-25,Falso,LOMA DE LOS NEGRITOS,5,AGS,01/02/2025,6,1,-102.30297,21.78673,,50
250185163,0,30430,ROBO DE VEHICULO,1,30/01/2025,5,4,1,FRACCIONAMIENTO,JOSE GUADALUPE PERALTA GAMEZ,334,334,CALLE,ALBERTO VEGA LEYVA,NA,NA,"310,,,",CALLE,OFELIA SORIANO ESQUIVEL,4,0,0,5,00:00-05:59,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,VOLKSWAGEN GOLF1998 ROJO,Verdadero,20,13,0,Falso,NA,VOLKSWAGEN,GOLF,1998,ROJO,AEW451C,ND,AGUASCALIENTES,0,COCHE,Falso,PARADO,Falso,Falso,CI/AGS/02629/01-25,Falso,OJOCALIENTE I,5,AGS,30/01/2025,4,1,-102.23227,21.86635,,51
