FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,LESIONADO,T_VEH_SOS,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,GIRO_NEG,NOM_NEG,FARDERO,INGRESO,REPARTIDOR,OID,LONG,LAT
210107294,30419,ROBO TRANSPORTE PUBLICO,2,03/02/2021,5,3,5,COLONIA,LA ESCALERA,219,CALLE,LETICIA RAMIREZ ALBA,NA,NA,",,,",CALLE,JAIME LUCIO MONTAÐEZ,7,12,19,21,Falso,Verdadero,13,UNOS HOMBRES,ND,0,0,N,N,28,600,600,Falso,1,1,TRANSPORTE PUBLICO,CAMION URBANO YO VOY NUMERO 4105,Falso,9,0,29,-102.34980463,21.97200000
210109269,30420,ROBO TRANSPORTE PUBLICO,2,03/02/2021,5,3,11,FRACCIONAMIENTO,LOS LIRIOS,16,CALLE,ROMO DE VIVAR,NA,NA,"610,B,,",CALLE,FRANCISCO JAVIER GUTIERREZ,7,22,30,24,Verdadero,Falso,9,"1 HOMBRE, 1 MUJER",ND,0,0,N,N,36,0,225,Falso,1,1,TRANSPORTE PUBLICO,TAXI 3847,Falso,9,0,30,-102.27587452,22.07600000
210073159,30420,ROBO TRANSPORTE PUBLICO,1,24/01/2021,3,7,1,COLONIA,FRANCISCO VILLA,934,BOULEVARD,LICENCIADO ADOLFO RUIZ CORTINES,NA,NA,",,,",BOULEVARD,JUAN PABLO II,2,23,41,24,Verdadero,Falso,9,2 HOMBRES,ND,0,0,N,N,36,0,150,Falso,1,1,TRANSPORTE PUBLICO,UBER,Falso,9,0,31,-102.32347962,21.87100000
210136786,30420,ROBO TRANSPORTE PUBLICO,2,12/02/2021,6,5,1,COLONIA,ZONA CENTRO,906,AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS PONIENTE,NA,NA,",,,",CALLE,DOCTOR JESUS DIAZ DE LEON,1,16,59,22,Verdadero,Falso,9,1 HOMBRE,ND,1,0,N,N,36,0,60,Falso,1,4,TRANSPORTE PUBLICO,TAXI 3583,Falso,9,0,32,-102.29371518,21.87900000
210154687,30420,ROBO TRANSPORTE PUBLICO,2,16/02/2021,7,2,1,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,GENERAL FORTUNATO MAYCOTTE,NA,NA,",,,",AVENIDA,CONVENCION,2,0,0,22,Falso,Falso,9,1 HOMBRE,"""EL PINZAS""",0,0,N,N,28,300,300,Falso,1,1,TRANSPORTE PUBLICO,TAXI 2690,Falso,9,0,33,-102.31334991,21.85300000
210160624,30419,ROBO TRANSPORTE PUBLICO,2,18/02/2021,7,4,1,COLONIA,SAN FRANCISCO DEL ARENAL,1085,CALLE,MANUEL GOMEZ MORIN,NA,NA,"102,,,",CALLE,ALFREDO REYES VELAZQUEZ,2,0,0,21,Falso,Verdadero,10,1 HOMBRE,ND,0,0,N,N,30,0,0,Falso,1,5,TRANSPORTE PUBLICO,TAXI 2759,Falso,9,0,34,-102.29620720,21.82800000
210162950,30420,ROBO TRANSPORTE PUBLICO,2,19/02/2021,7,5,1,FRACCIONAMIENTO,SANTA ANITA 4A SECCION,465,AVENIDA,GABRIELA MISTRAL,NA,NA,",,,",AVENIDA,AGUASCALIENTES ORIENTE,4,2,43,25,Verdadero,Falso,9,1 MUJER,ND,0,0,N,N,36,0,0,Falso,1,1,TRANSPORTE PUBLICO,DIDI,Falso,9,0,35,-102.27051572,21.90300000
210170901,30420,ROBO TRANSPORTE PUBLICO,2,21/02/2021,7,7,1,FRACCIONAMIENTO,OJOCALIENTE III,525,CALLE,SAN FRANCISCO DE LOS VIVEROS,NA,NA,",,,",CALLE,EL COECILLO,4,0,0,26,Falso,Falso,9,ND,ND,0,0,N,N,3,0,0,Falso,1,1,TRANSPORTE PUBLICO,TAXI 394,Falso,9,0,36,-102.24884194,21.87900000
210172895,30420,ROBO TRANSPORTE PUBLICO,2,21/02/2021,7,7,1,COLONIA,NORIAS DE PASO HONDO,352,CALLE,ORQUIDEA,NA,NA,",,,",CALLE,CHABACANO,4,17,44,22,Verdadero,Falso,9,1 PERSONA,ND,0,0,N,N,36,0,0,Falso,1,1,TRANSPORTE PUBLICO,TAXI 2360,Falso,9,0,37,-102.20518274,21.85900000
210217581,30420,ROBO TRANSPORTE PUBLICO,3,04/03/2021,9,4,1,SIN TIPO,NORIAS DE PASO HONDO,352,CALLE,SALVADOR ALLENDE,NA,NA,",,,",CARRETERA,70 OJUELOS AGUASCLAIENTES,4,0,0,22,Falso,Falso,9,ND,ND,0,0,N,N,39,0,0,Falso,1,2,TRANSPORTE PUBLICO,TAXI 2558,Falso,9,0,38,-102.20783174,21.85600000
