FOLIO,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUN_INC,TIPLOC_INC,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,EDIF,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1,VIAL_2,VIAL_P,DESTACAM,HORA_ROB,PROCESO,VIOLENCIA,ARMA_1,DETENIDO,PER_SOSP,ALIAS,T_VEH_SOS,VEH_SOSP,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,ESTEREO,SONIDO,BATERIA,HERRAMIENT,LLANTAS,ACC_LLANTA,ROPA,CELULAR,TECNOLOGIA,BOLSO,DOCUMENTOS,DINERO,CANTIDAD,VARIOS,MONTO,RECUP_ART,CIERRE_PRE,OID,SUB_TIPO,INCIDENTE,LONG,LAT
307071,OCTUBRE,2018-10-27,SABADO,17,38,AGUASCALIENTES,URBANA,CONDOMINIO,CENTRO COMERCIAL EL DORADO,952,AVENIDA,LAS AMERICAS,0,0,NULO,0,NULO,DOCTOR E GONZAEZ MEDINA,REPUBLICA MEXICANA,REPUBLICA DEL SALVADOR,INSURGENTES,MED_TAR_B,NO,NO,NULO,0,"1 SUJETO, CAMISETA BLANCA, TATUAJE EN BRAZO IZQUIE0",0,AUTOMOVIL,"CHEVY, MONZA, VERDE MILITAR",A_PUERTAS,AUTOPARTES,CAMIONETA,SIN DATOS,SIN DATOS,0,0,1,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,5,1999,AUTOPARTES,ROBO DE AUTOPARTES,-102.30309637,21.86194069
307126,OCTUBRE,2018-10-27,SABADO,18,43,AGUASCALIENTES,URBANA,SIN TIPO,DESARROLLO 102 (TEMPLO 3 AVES  MARIAS),1003,BOULEVARD,JOSE MARIA CHAVEZ,0,0,NULO,0,NULO,CONVENCION DE 1914 SUR,HERNAN GONZALEZ,MAHATMA GANDHI,INSURGENTES,MED_TAR_B,NO,NO,NULO,0,0,0,0,0,A_PUERTAS,AMBAS,CAMIONETA,CHEVROLET,BLAZER,1,1,0,1,0,0,1,0,0,1,0,1,0.000000,NULO,15000.000000,NO,13,2000,AUTOPARTES,ROBO DE AUTOPARTES,-102.29482839,21.86817117
307632,OCTUBRE,2018-10-28,DOMINGO,0,47,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLA TERESA,790,AVENIDA,POZO BRAVO,0,105,NULO,0,NULO,JUAN BAUTISTA LASALLE,MISIONEROS,MISIONEROS,TERAN NORTE,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,AUTOPARTES,CAMIONETA,FORD,ECOSPORT,0,0,0,1,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,1,2001,CRISTALAZO,ROBO DE AUTOPARTES,-102.27554797,21.91970926
307651,OCTUBRE,2018-10-28,DOMINGO,0,53,JESUS MARIA,RURAL,COMUNIDAD,MARAVILLAS,183-P,CALLE,BENITO JUAREZ,0,0,NULO,0,NULO,NINGUNO,NINGUNO,NINGUNO,NULO,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,AMBAS,CAMIONETA,NISSAN,SIN DATOS,1,0,0,0,0,0,0,0,0,0,0,0,0.000000,PERTENENCIAS PERSONALES,0.000000,NO,1,2002,CRISTALAZO,ROBO DE AUTOPARTES,-102.32145596,21.95279160
307962,OCTUBRE,2018-10-28,DOMINGO,2,48,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOS BOSQUES,780,CALLE,ANDES PAENINOS,0,0,NULO,0,NULO,UNIVERSIDAD,MONTE EVEREST,PASEO SIERRA HERMOSA,POCITOS,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,AMBAS,CAMIONETA,MAZDA,SIN DATOS,0,1,0,0,0,0,1,0,0,0,0,0,0.000000,PERTENENCIAS PERSONALES,10000.000000,NO,2,2003,CRISTALAZO,ROBO DE AUTOPARTES,-102.31441685,21.91896106
308134,OCTUBRE,2018-10-28,DOMINGO,7,38,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,PERIODISTAS,404,CALLE,REPORTEROS,0,103,NULO,0,NULO,LINOTIPISTAS,AMALIA GOMEZ ZEPEDA,COLUMNISTAS,MORELOS,MED_MAÑ_A,NO,NO,NULO,0,"1 SUJETO, PANTALON Y PLAYERA NEGRA",0,MOTOCICLETA,MOTOCICLETA,CRISTAL,DAÑOS,CAMIONETA,CHRYSLER,VOYAGER,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,28,2004,CRISTALAZO,ROBO DE AUTOPARTES,-102.25077320,21.85267125
308174,OCTUBRE,2018-10-28,DOMINGO,9,19,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,DEL VALLE 1A SECCION,734,CALLE,CAMPECHE,0,203,NULO,0,NULO,NAPOLES,VERSALLES,GUANAJUATO,POCITOS,MED_MAÑ_B,NO,NO,NULO,0,"1 SUJETO, PLAYERA BLANCA Y CAMISA GRIS, PELO CORTO0",0,0,0,CRISTAL,AUTOPARTES,AUTOMOVIL,NISSAN,TSURU,1,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,2000.000000,NO,1,2005,CRISTALAZO,ROBO DE AUTOPARTES,-102.31518301,21.87465895
308271,OCTUBRE,2018-10-28,DOMINGO,11,50,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,BOSQUES DEL PRADO SUR,777,CALLE,SAN JULIAN,0,0,NULO,0,NULO,SIERRA DE LAS PALOMAS,SIERRA DEL HUMO,NINGUNO,POCITOS,TAR_NOCHE,NO,NO,NULO,0,0,0,0,0,CRISTAL,AMBAS,CAMIONETA,HONDA,CRV,0,0,0,1,0,0,0,0,0,0,0,0,0.000000,TOCADOS DE NOVIA,0.000000,NO,1,2006,CRISTALAZO,ROBO DE AUTOPARTES,-102.30756534,21.91443523
308088,OCTUBRE,2018-10-28,DOMINGO,5,21,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,OJOCALIENTE FOVISSSTE II,395,CIRCUITO,TRES,0,128,NULO,0,NULO,PASEO DE LA CRUZ,CERRO LA GLORIA,CERRO DE LOS GALLOS,MORELOS,MED_MD_B,NO,NO,NULO,0,0,0,0,0,A_PUERTAS,PERSONALES,AUTOMOVIL,VOLKSWAGEN,SEDAN,0,0,0,0,0,0,1,1,0,1,1,1,500.000000,LENTES,1500.000000,NO,28,2007,AUTOPARTES,ROBO DE AUTOPARTES,-102.25942680,21.87264424
308125,OCTUBRE,2018-10-28,DOMINGO,7,15,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,JESUS TERAN PEREDO,587,CALLE,CARITINO MALDONADO,0,909,NULO,0,NULO,ANTONIO NAVA CASTILLO,LUIS MOYA,DE LAS PALOMAS,MORELOS,MD_MAÑ,NO,NO,NULO,0,0,0,0,0,A_PUERTAS,AUTOPARTES,AUTOMOVIL,NISSAN,VERSA,0,0,0,1,0,0,0,0,0,0,0,0,0.000000,NULO,600.000000,NO,1,2008,AUTOPARTES,ROBO DE AUTOPARTES,-102.27424351,21.86987840
308289,OCTUBRE,2018-10-28,DOMINGO,12,19,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MUNICIPIO LIBRE,768,CALLE,MIGUEL BARBERENA VEGA,0,0,NULO,0,NULO,VISTA HERMOSA,LAS FRAGUAS,PRADERA,TERAN SUR,MED_TAR_A,NO,NO,NULO,0,"1 SUJETO, BERMUDA Y CHAMARRA NEGRA, DELGADO, CON T0",0,0,0,A_PUERTAS,AUTOPARTES,CAMION,SIN DATOS,SIN DATOS,1,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,2000.000000,NO,1,2009,AUTOPARTES,ROBO DE AUTOPARTES,-102.25076286,21.89684578
