FOLIO,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUN_INC,TIPLOC_INC,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,EDIF,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1,VIAL_2,VIAL_P,DESTACAM,HORA_ROB,PROCESO,VIOLENCIA,ARMA_1,DETENIDO,PER_SOSP,ALIAS,T_VEH_SOS,VEH_SOSP,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,ESTEREO,SONIDO,BATERIA,HERRAMIENT,LLANTAS,ACC_LLANTA,ROPA,CELULAR,TECNOLOGIA,BOLSO,DOCUMENTOS,DINERO,CANTIDAD,VARIOS,MONTO,RECUP_ART,CIERRE_PRE,OID,SUB_TIPO,INCIDENTE,LONG,LAT
312,ENERO,2018-01-01,LUNES,3,0,AGUASCALIENTES,URBANA,COLONIA,HEROES,522,AVENIDA,ALAMEDA,0,0,NULO,0,NULO,JUAN ESCUTIA,TENIENTE JUAN DE LA BARREREA,TENIENTE  JUAN DE LA BARRERA,TERAN SUR,MED_MD_A,NO,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,AUTOMOVIL,NISSAN,TSURU,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,1,CRISTALAZO,ROBO DE AUTOPARTES,-102.27565291,21.88339112
1021,ENERO,2018-01-01,LUNES,16,12,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LA HUERTA,1113,CALLE,CHICHIMECO,NULO,0,NULO,0,NULO,HEROE DE NACOZARI SUR,NINGUNO,LICENCIADO ADOLFO LOPEZ MATEOS ORIENTE,MORELOS,MED_TAR_B,NO,NO,NULO,0,0,0,0,0,CRISTAL,PERSONALES,CAMIONETA,NISSAN,XTRAIL,0,0,0,0,0,0,0,1,0,1,1,1,0.000000,NULO,3500.000000,NO,,2,CRISTALAZO,ROBO DE AUTOPARTES,-102.28052648,21.87719216
1110,ENERO,2018-01-01,LUNES,17,47,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,PRADOS DEL SUR,1100,CALLE,AJUSCO,NULO,518,NULO,0,NULO,PICO DE ORIZABA,COFRE DE PEROTE,GERTRUDIS BOCANEGRA,INSURGENTES,MED_TAR_B,NO,NO,NULO,0,"1 PAREJA, HOMBRE PLAYERA NEGRA. MUJER VESTIDO AZUL0",0,0,0,CRISTAL,AUTOPARTES,SIN DATOS,SIN DATOS,SIN DATOS,1,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,3,CRISTALAZO,ROBO DE AUTOPARTES,-102.29910243,21.85702577
1791,ENERO,2018-01-02,MARTES,10,43,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,JARDINES DE LA CRUZ,716,PRIVADA,TERCERA CONVENCION,16,0,NULO,0,NULO,CONVENCION DE 1914 ORIENTE,TERCERA CONVENCION,SEGUNDA PRIVADA DE LA CONVENCION,MORELOS,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,AUTOPARTES,AUTOMOVIL,NISSAN,SENTRA,1,0,1,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,4,CRISTALAZO,ROBO DE AUTOPARTES,-102.27077250,21.87617743
2046,ENERO,2018-01-02,MARTES,16,16,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MUJERES ILUSTRES,602,CALLE,ANGELA PERALTA,0,213,NULO,0,NULO,MARGARITA MAZA DE JUAREZ,DE LA ALIANZA,AMALIA GOMEZ ZEPEDA,MORELOS,MED_MD_B,NO,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,SIN DATOS,SIN DATOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,5,CRISTALAZO,ROBO DE AUTOPARTES,-102.24819229,21.84766084
2479,ENERO,2018-01-02,MARTES,22,57,AGUASCALIENTES,URBANA,CONDOMINIO,CENTRO COMERCIAL GALERIAS,844,AVENIDA,INDEPENDENCIA,0,0,NULO,0,NULO,MONTES HIMALAYA,NINGUNO,NINGUNO,POCITOS,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,PERSONALES,CAMIONETA,TOYOTA,TACOMA,0,0,0,0,0,0,0,0,0,1,0,0,0.000000,NULO,0.000000,NO,,6,CRISTALAZO,ROBO DE AUTOPARTES,-102.29779969,21.92263809
2874,ENERO,2018-01-03,MIERCOLES,14,3,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOS PIRULES,1053,ANDADOR,DE LAS BEGONIAS,2,0,ME,16,NULO,NINGUNO,DE LAS DALIAS,DE LAS AZUCENAS,INSURGENTES,MED_TAR_A,NO,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,AUTOMOVIL,TOYOTA,COROLLA,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,7,CRISTALAZO,ROBO DE AUTOPARTES,-102.31964358,21.86943623
3426,ENERO,2018-01-04,JUEVES,0,30,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOS BOSQUES,780,CALLE,PASEO SIERRA HERMOSA,0,0,NULO,0,NULO,UNIVERSIDAD,MONTE EVEREST,SIERRA MADRE ORIENTAL,POCITOS,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,AUTOMOVIL,FORD,FIGO,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,8,CRISTALAZO,ROBO DE AUTOPARTES,-102.31466348,21.91966300
3426,ENERO,2018-01-04,JUEVES,0,30,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOS BOSQUES,780,CALLE,PASEO SIERRA HERMOSA,0,0,NULO,0,NULO,UNIVERSIDAD,MONTE EVEREST,SIERRA MADRE ORIENTAL,POCITOS,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,PERSONALES,AUTOMOVIL,FORD,FIESTA,0,0,0,0,0,0,0,0,1,0,0,0,0.000000,NULO,0.000000,NO,,9,CRISTALAZO,ROBO DE AUTOPARTES,-102.31461309,21.91967722
3479,ENERO,2018-01-04,JUEVES,2,26,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,RODOLFO LANDEROS GALLEGOS,459,CALLE,PAZ ROMO DE VIVAR,0,0,NULO,0,NULO,MARIA DE LOURDES FEMAT M,MARIA GUADALUPE TORRES E,PAULA DE J JOMENEZ DE YAÑEZ,TERAN NORTE,MED_MD_A,SI,NO,NULO,0,2 SUJETOS,0,0,0,CRISTAL,AUTOPARTES,CAMIONETA,SIN DATOS,SIN DATOS,0,1,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,10,CRISTALAZO,ROBO DE AUTOPARTES,-102.25653181,21.90289422
4189,ENERO,2018-01-04,JUEVES,23,7,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,BOSQUES DEL PRADO SUR,777,CALLE,SIERRA DE TEPOZTLAN,0,0,NULO,0,NULO,AGUASCALIENTES NORTE,SIERRA DE LA ESCONDIDA,SAN JUAN DE LOS LAGOS,POCITOS,MED_NOCHE_B,NO,NO,NULO,0,0,0,0,0,CRISTAL,PERSONALES,AUTOMOVIL,HONDA,ACCORD,0,0,0,0,0,0,0,0,1,0,0,0,0.000000,NULO,0.000000,NO,,11,CRISTALAZO,ROBO DE AUTOPARTES,-102.31108249,21.91602861
4204,ENERO,2018-01-04,JUEVES,23,22,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,OJO DE AGUA,1080,CALLE,PLAZA NAYARIT,0,324,NULO,0,NULO,PLAZA SALVADOR CARIRLLO,PLAZA PEDRO TELLEZ,NUEVO LEON,MORELOS,MED_NOCHE_B,NO,NO,NULO,0,"1 SUJETO, DELGADO, 16 AÑOS, PANTALON OBSCURO, SUDA0",0,0,0,CRISTAL,DAÑOS,AUTOMOVIL,CHRYSLER,SHADOW,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,12,CRISTALAZO,ROBO DE AUTOPARTES,-102.28002045,21.86294305
4287,ENERO,2018-01-05,VIERNES,1,52,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VISTAS DE ORIENTE,489,CALLE,SANTIAGO 202,0,87,NULO,0,NULO,SANTIAGO 202,SANTIAGO,SERENGUETI,TERAN SUR,MED_MD_A,SI,NO,NULO,2,"1 SUJETO, TIPO CHOLO",0,CAMIONETA,"CAMIONETA, CHEVROLET, COLOR TINTO",CRISTAL,PERSONALES,AUTOMOVIL,NISSAN,TSURU,0,0,0,0,0,0,1,0,0,0,0,0,0.000000,LLAVES,0.000000,NO,,13,CRISTALAZO,ROBO DE AUTOPARTES,-102.23385695,21.88326513
4291,ENERO,2018-01-05,VIERNES,2,12,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,JESUS GOMEZ PORTUGAL,528,AVENIDA,ANTARES,0,303,NULO,0,NULO,ESTRELLA POLAR,CRUZ DEL SUR,VEGA,MORELOS,MED_MD_A,SI,NO,NULO,0,1 SUJETO,0,MOTOCICLETA,MOTOCICLETA,CRISTAL,DAÑOS,CAMIONETA,CHEVROLET,BLAZER,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,14,CRISTALAZO,ROBO DE AUTOPARTES,-102.26575300,21.87157052
4363,ENERO,2018-01-05,VIERNES,6,5,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MORELOS I,1120,CALLE,PEDRO ASCENCIO,0,630,NULO,0,NULO,CORREGIDORA,MAYO DE 1812,CONGRESO DE CHILPANCINGO,MORELOS,NOCHE_MD,NO,NO,NULO,0,0,0,0,0,CRISTAL,AUTOPARTES,AUTOMOVIL,RENAULT,SIN DATOS,1,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,15,CRISTALAZO,ROBO DE AUTOPARTES,-102.26105806,21.85521580
4397,ENERO,2018-01-05,VIERNES,8,20,AGUASCALIENTES,URBANA,COLONIA,OLIVARES SANTANA,721,CALLE,MIGUEL RUELAS,0,601,NULO,0,NULO,BENAJMIN DE LA MORA,J MARIA LOPEZ DE NAVA,JOSE MARIA LOPEZ DE NAVA,POCITOS,NOCHE_MAÑ,NO,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,CAMIONETA,DODGE,CALIBER,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,16,CRISTALAZO,ROBO DE AUTOPARTES,-102.31394845,21.89198518
4440,ENERO,2018-01-05,VIERNES,10,18,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,CIUDAD INDUSTRIAL,982,BOULEVARD,JOSE MARIA CHAVEZ,0,0,NULO,0,NULO,JESUS RIVERA FRANCO,ANTONIO GUTIERREZ SOLA,ALFONSO BERNAL SANTOS C-6N,MORELOS,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,CAMIONETA,SIN DATOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,17,CRISTALAZO,ROBO DE AUTOPARTES,-102.28917558,21.83825867
4487,ENERO,2018-01-05,VIERNES,11,49,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOMAS DE SANTA ANITA,478,AVENIDA,CONVENCION DE 1914 ORIENTE,0,0,NULO,0,NULO,JOSE H ESCOBEDO,SIGLO XIX,CANAL INTERCEPTOR,TERAN SUR,MED_MAÑ_B,NO,NO,NULO,0,0,0,0,0,CRISTAL,PERSONALES,CAMIONETA,CHEVROLET,TRAVEL,0,0,0,0,0,0,0,0,0,1,1,0,0.000000,LENTES,12000.000000,NO,,18,CRISTALAZO,ROBO DE AUTOPARTES,-102.27486300,21.89188680
4627,ENERO,2018-01-05,VIERNES,15,34,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLAS DE SAN NICOLAS,855,CALLE,LA PEÑA,0,107,NULO,0,NULO,POTREROS,SILOS,LA RONDA,POCITOS,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,PERSONALES,AUTOMOVIL,RENAULT,FLUENCE,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,LIBROS,0.000000,NO,,19,CRISTALAZO,ROBO DE AUTOPARTES,-102.29992823,21.92708828
5052,ENERO,2018-01-05,VIERNES,22,55,AGUASCALIENTES,URBANA,COLONIA,COLONIA SAN MARCOS,650,AVENIDA,CONVENCION DE 1914 PONIENTE,0,402,NULO,0,NULO,NAVARRETE,PUEBLITO,26 DE MARZO,POCITOS,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,PERSONALES,CAMIONETA,FORD,RANGER,0,0,0,0,0,0,0,0,0,1,0,0,0.000000,CUADERNOS,5000.000000,NO,,20,CRISTALAZO,ROBO DE AUTOPARTES,-102.31236941,21.87770747
5090,ENERO,2018-01-05,VIERNES,23,30,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,EJIDO LAS CUMBRES,403,CALLE,SIERRA TARAHUMARA,0,0,NULO,0,NULO,SIERRA TARAHUMARA,PICACHO ORIENTE,SIERRA XILITA,TERAN NORTE,MED_NOCHE_B,SI,NO,NULO,0,EL PEPE,EL PEPE,0,0,CRISTAL,DAÑOS,AUTOMOVIL,VOLKSWAGEN,VENTO,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,21,CRISTALAZO,ROBO DE AUTOPARTES,-102.25915026,21.90993878
5137,ENERO,2018-01-06,SABADO,0,12,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,ESPAÑA,1052,CALLE,CORDOBA,0,0,NULO,0,NULO,ZAMORA,ESPAÑA,MADRID,INSURGENTES,MED_TAR_A,SI,NO,NULO,0,1 SUJETO,0,0,0,CRISTAL,AUTOPARTES,AUTOMOVIL,CHEVROLET,ASTRA,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,"DEFENSA, FAROS",0.000000,NO,,22,CRISTALAZO,ROBO DE AUTOPARTES,-102.31651468,21.86642500
5290,ENERO,2018-01-06,SABADO,5,58,AGUASCALIENTES,URBANA,BARRIO,LA SALUD,1122,AVENIDA,CONVENCION DE 1914 SUR,0,0,NULO,0,NULO,HEROE DE NACOZARI SUR,DELICIAS,LA SALUD,MORELOS,MED_MD_B,SI,NO,NULO,0,"1 SUJETO, BOLSA NEGRA, SUDADERA GRIS",0,0,0,CRISTAL,AUTOPARTES,AUTOMOVIL,SIN DATOS,SIN DATOS,0,0,1,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,23,CRISTALAZO,ROBO DE AUTOPARTES,-102.27930362,21.86759745
5670,ENERO,2018-01-06,SABADO,17,0,AGUASCALIENTES,URBANA,BARRIO,BARRIO SAN MARCOS,735,CALLE,ANTONIO ARIAS BERNAL,0,0,NULO,0,NULO,JESUS F CONTRERAS,TALAMANTES,LICENCIADO TEODOSIO LANES,CENTRO,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,AUTOMOVIL,VOLKSWAGEN,POINTER,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,24,CRISTALAZO,ROBO DE AUTOPARTES,-102.30382314,21.88002473
6030,ENERO,2018-01-06,SABADO,23,16,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,TROJES DE ORIENTE II,788,PRIVADA,TROJES DE CHICHIMECO,0,101,NULO,0,NULO,EL BIRLADERO,SILOS,TROJES DE BUENAVISTA,POCITOS,SIN DATOS,NO,NO,NULO,0,1 PAREJA,0,0,0,CRISTAL,DAÑOS,CAMIONETA,MAZDA,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,25,CRISTALAZO,ROBO DE AUTOPARTES,-102.29901236,21.92871502
6143,ENERO,2018-01-07,DOMINGO,0,33,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,JARDINES DE LA CRUZ,716,PRIVADA,TERCERA CONVENCION,0,105,NULO,0,NULO,CONVENCION DE 1914 ORIENTE,TERCERA CONVENCION,SEGUNDA CONVENCION,MORELOS,MED_TAR_A,SI,NO,NULO,0,1 SUJETO,0,0,0,CRISTAL,DAÑOS,AUTOMOVIL,NISSAN,TSURU,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,26,CRISTALAZO,ROBO DE AUTOPARTES,-102.27079458,21.87614326
6511,ENERO,2018-01-07,DOMINGO,9,10,JESUS MARIA,URBANA,COLONIA,LA LOMA,156,CALLE,ESTRELLA,0,106,NULO,0,NULO,JUPITER,ALEJANDRO DE LA CRUZ SAUCEDO,NUBE,NULO,NOCHE_MAÑ,NO,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,AUTOMOVIL,SIN DATOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,27,CRISTALAZO,ROBO DE AUTOPARTES,-102.34493252,21.95178764
6526,ENERO,2018-01-07,DOMINGO,9,56,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,CANTERAS DE SAN JOSE,400,CALLE,COLOTLAN,0,128,NULO,0,NULO,HUEJUCAR,HUANUSCO,TEOCALTICHE,INSURGENTES,NOCHE_MAÑ,NO,NO,NULO,0,0,0,0,0,CRISTAL,AMBAS,AUTOMOVIL,VOLKSWAGEN,JETTA,1,0,1,0,0,0,0,0,0,0,0,0,0.000000,LENTES,4000.000000,NO,,28,CRISTALAZO,ROBO DE AUTOPARTES,-102.33123247,21.85755440
6696,ENERO,2018-01-07,DOMINGO,14,34,AGUASCALIENTES,URBANA,COLONIA,LAS FLORES,1072,CALLE,AZALEA,0,222,NULO,0,NULO,DE LAS ORQUIDEAS,IGNACIO T CHAVEZ,CAMELIAS,INSURGENTES,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,PERSONALES,AUTOMOVIL,NISSAN,ALTIMA,0,0,0,0,0,0,0,1,0,1,0,0,0.000000,NULO,8000.000000,NO,,29,CRISTALAZO,ROBO DE AUTOPARTES,-102.30401975,21.87304271
7431,ENERO,2018-01-08,LUNES,2,15,AGUASCALIENTES,URBANA,UNIDAD HABITACIONAL,LOS VOLCANES,592,PRIVADA,SEGUNDA DE LA CONVENCION,0,53,NULO,0,A,POPOCATEPETL,SEGUNDA DE LA CONVENCION,TERCERA CONVENCION,MORELOS,MED_MD_A,SI,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,CAMIONETA,CHEVROLET,TORNADO,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,30,CRISTALAZO,ROBO DE AUTOPARTES,-102.27058806,21.87660605
7484,ENERO,2018-01-08,LUNES,5,26,AGUASCALIENTES,RURAL,FRACCIONAMIENTO,VILLAS DEL MEDITERRANEO,72-P,CALLE,VILLA DE BARI,0,111,NULO,0,NULO,TORINO,NINGUNO,NINGUNO,INSURGENTES,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,PERSONALES,CAMIONETA,JEEP,PATRIOT,0,0,0,0,0,0,0,0,1,0,0,0,0.000000,NULO,14000.000000,NO,,31,CRISTALAZO,ROBO DE AUTOPARTES,-102.33165745,21.84372036
7667,ENERO,2018-01-08,LUNES,12,9,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LA FUENTE,1061,CALLE,COQUIMBO,0,0,NULO,0,NULO,QUITO,BAHIA,LAS AMERICAS,INSURGENTES,MED_TAR_A,SI,NO,NULO,0,"1 SUJETO, SUDADERA GRIS CON FRNAJAS VERDES, PANTAL0",0,0,0,CRISTAL,PERSONALES,CAMIONETA,HONDA,CRV,0,0,0,0,0,0,0,0,0,1,0,0,0.000000,NULO,0.000000,NO,,32,CRISTALAZO,ROBO DE AUTOPARTES,-102.30168811,21.87266170
8198,ENERO,2018-01-08,LUNES,23,4,AGUASCALIENTES,URBANA,COLONIA,SAN JOSE DEL ARENAL,818,AVENIDA,UNIVERSIDAD,0,0,NULO,0,NULO,SAN MIGUEL DEL ALTO,TEPEZALA,SAN JUAN DE LOS LAGOS,POCITOS,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,PERSONALES,CAMIONETA,FORD,SIN DATOS,0,0,0,0,0,0,0,0,1,0,0,0,0.000000,NULO,0.000000,NO,,33,CRISTALAZO,ROBO DE AUTOPARTES,-102.31032488,21.90890688
8995,ENERO,2018-01-09,MARTES,21,50,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,J GUADALUPE PERALTA GAMEZ,411,CALLE,ANGELA MARIA MACIAS ELIAS,0,0,NULO,0,NULO,LUIS NAVARRO SOTOMAYOR,PROCERES DE LA ENSEÑANZA,SALUD,TERAN SUR,SIN DATOS,NO,NO,NULO,0,3 SUJETOS,0,0,0,CRISTAL,DAÑOS,CAMIONETA,NISSAN,TSUBAME,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,34,CRISTALAZO,ROBO DE AUTOPARTES,-102.23652297,21.86695938
9071,ENERO,2018-01-09,MARTES,23,11,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,CERRO ALTO,456,CALLE,FRIDA KALHO,0,0,NULO,0,NULO,FRIDA KALHO,PENSADORES MEXICANOS ORIENTE,SIERRA DE SAN BERNARDINO,TERAN NORTE,MED_MAÑ_B,SI,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,CAMIONETA,SIN DATOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,35,CRISTALAZO,ROBO DE AUTOPARTES,-102.25847051,21.91697654
9094,ENERO,2018-01-09,MARTES,23,42,AGUASCALIENTES,URBANA,BARRIO,EL ENCINO,1096,AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS PONIENTE,0,0,NULO,0,NULO,16 DE SEPTIEMBRE,FRANCISCO JAVIER MINA,5 DE FEBRERO,CENTRO,MED_NOCHE_B,NO,NO,NULO,0,0,0,0,0,CRISTAL,PERSONALES,CAMIONETA,HONDA,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,LLAVES,0.000000,NO,,36,CRISTALAZO,ROBO DE AUTOPARTES,-102.29201846,21.87906975
9317,ENERO,2018-01-10,MIERCOLES,10,44,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOMAS DE SANTA ANITA,478,AVENIDA,CONVENCION DE 1914 ORIENTE,0,0,NULO,0,NULO,JOSE H ESCOBEDO,SIGLO XIX,CANAL INTERCEPTOR,TERAN SUR,MED_MAÑ_B,NO,NO,NULO,0,0,0,CAMIONETA,SUBURBAN COLO GRIS,CRISTAL,PERSONALES,AUTOMOVIL,CHEVROLET,AVEO,0,0,0,0,0,0,0,0,0,1,1,0,0.000000,NULO,0.000000,NO,,37,CRISTALAZO,ROBO DE AUTOPARTES,-102.27494591,21.89195941
9407,ENERO,2018-01-10,MIERCOLES,13,0,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,SANTA ELENA,1062,CALLE,REPUBLICA DE URUGUAY,0,0,NULO,0,NULO,LANCEROS DE AGS,QUITO,LANCEROS DE AGS,INSURGENTES,MED_TAR_A,NO,NO,NULO,0,0,0,0,0,CRISTAL,PERSONALES,CAMIONETA,CHRYSLER,TOWN & COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,SIN DATOS,0.000000,NO,,38,CRISTALAZO,ROBO DE AUTOPARTES,-102.30048466,21.87283932
9734,ENERO,2018-01-10,MIERCOLES,19,0,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MUNICIPIO LIBRE,768,CALLE,TINAJUELA,0,219,NULO,0,NULO,JABONERA,TORCAZAS,EL BAJIO,TERAN SUR,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,CAMIONETA,CHRYSLER,TOWN & COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,39,CRISTALAZO,ROBO DE AUTOPARTES,-102.25803777,21.89571926
10185,ENERO,2018-01-11,JUEVES,7,21,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MIRADORES DE SANTA ELENA,702,PRIVADA,PORTALES DEL BARRIO,0,499,NULO,0,NULO,PORTAL DEL BARRIO DEL ENCINO,PORTAL DEL BARRIO DE LA ESTACION,PORTAL DEL VALLE DE AGUASCALIENTES,TERAN NORTE,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,AMBAS,AUTOMOVIL,VOLKSWAGEN,POINTER,1,0,0,0,0,0,0,0,0,1,1,0,0.000000,NULO,0.000000,NO,,40,CRISTALAZO,ROBO DE AUTOPARTES,-102.24209538,21.91449825
10506,ENERO,2018-01-11,JUEVES,15,4,AGUASCALIENTES,URBANA,SIN TIPO,DESARROLLO 9 (ATRAS UGASA),813,CALLE,MARIA DEL CARMEN MARTIN DEL CAMPO,0,111,NULO,0,NULO,JUAN RAMIREZ,GUDALUPE GONZALEZ,JUAN RAMIREZ,POCITOS,MED_TAR_B,NO,NO,NULO,0,0,0,0,0,CRISTAL,PERSONALES,CAMIONETA,CHEVROLET,CAPTIVA,0,0,0,0,0,0,0,1,0,1,1,0,0.000000,NULO,12000.000000,NO,,41,CRISTALAZO,ROBO DE AUTOPARTES,-102.31496025,21.90863439
10917,ENERO,2018-01-11,JUEVES,22,5,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MEXICO,1081,CALLE,SONORA,0,150,NULO,0,NULO,CASA BLANCA,AGUASCALIENTES SUR,SINALOA,MORELOS,MED_NOCHE_B,NO,NO,NULO,0,0,0,0,0,CRISTAL,PERSONALES,AUTOMOVIL,CHEVROLET,MARCH,0,0,0,0,0,0,1,0,0,0,0,0,0.000000,NULO,1000.000000,NO,,42,CRISTALAZO,ROBO DE AUTOPARTES,-102.28206234,21.86048905
11195,ENERO,2018-01-12,VIERNES,8,31,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,BULEVAR,733,CALLE,ALFONSO HUMBERTO,0,0,NULO,0,NULO,PAUL HARRIS,JOSE ARMANDO,DE LOS VALADEZ,MORELOS,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,AUTOMOVIL,NISSAN,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,43,CRISTALAZO,ROBO DE AUTOPARTES,-102.29303042,21.86960022
11195,ENERO,2018-01-12,VIERNES,8,31,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,BULEVAR,733,CALLE,ALFONSO HUMBERTO,0,0,NULO,0,NULO,PAUL HARRIS,JOSE ARMANDO,DE LOS VALADEZ,MORELOS,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,AUTOMOVIL,NISSAN,SENTRA,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,44,CRISTALAZO,ROBO DE AUTOPARTES,-102.29302637,21.86958522
11215,ENERO,2018-01-12,VIERNES,8,57,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MODERNO,664,CALLE,VICENTE RIVA PALACIO,0,208,NULO,0,NULO,JUAN DE DIOS PEZA,TLAXCALA,AGUASCALIENTES PONIENTE,POCITOS,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,AUTOMOVIL,CHEVROLET,SONIC,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,45,CRISTALAZO,ROBO DE AUTOPARTES,-102.31715590,21.88233370
