FOLIO,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,DESTAC_SEG,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,ARMA_1,ARMA_2,VIOLENCIA,CUENT_HAB,DINERO,CANTIDAD,BANCO,UBIC_BANC,BOLSO,CARTERA,TECNOLOGIA,CELULAR,JOYERIA,ROPA,BICICLETA,MOCHILA,LLAVES,OTROS,TRANS_S_N,UBIC_TRANS,LESIONADO,TRASL_HOSP,FIL_SOSP,ALIAS_SOSP,VEH_SOSP,TIPO_VEH,MONTO,PROCESO,DETENIDO,CIERRE_PRE,OBJ_RECUP,PR_FERIA,OID,INCIDENTE,LONG,LAT
171895,JUNIO,2018-06-15,VIERNES,16,0,AGUASCALIENTES,URBANA,COLONIA,SAN PABLO,921,POCITOS,CALLE,SAN FELIPE,NA,0,N,0,N,AQUILES SERDAN,EJERCITO NACIONAL,SANTA IRENE,NA,NA,NO,N,0,0,N,NA,0,0,0,1,0,0,0,0,0,0,NO,NEGOCIO,NO,NA,ND,ND,N,N,8000,NO,0,,,NO,986,Robo a persona,-102.30264800,21.89451986
172742,JUNIO,2018-06-16,SABADO,19,39,AGUASCALIENTES,URBANA,BARRIO,SAN MARCOS,735,CENTRO,CALLE,RAYON,NA,0,N,0,N,RINCON,JOSE GUADALUE POSADA,NIETO,CORTANTE,NA,SI,N,0,0,N,NA,0,0,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,1 SUJETO,NA,N,N,9000,NO,0,,,NO,987,Robo a persona,-102.30581549,21.87666320
172428,JUNIO,2018-06-16,SABADO,22,44,ASIENTOS,RURAL,COMUNIDAD,TANQUE VIEJO,114-P,ASIENTOS,CALLE,20 DE NOVIEMBRE,NA,2,N,0,N,LAZARO CARDENAS,EMILIANO ZAPATA,N,NA,NA,NO,N,0,0,N,NA,0,0,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,1 SUJETO,NA,N,N,0,NO,0,,,NO,988,Robo a persona,-101.92929537,22.05754973
173767,JUNIO,2018-06-17,DOMINGO,1,26,AGUASCALIENTES,URBANA,COLONIA,ZONA CENTRO,906,CENTRO,CALLE,VENUSTIANO CARRANZA,NA,0,N,0,N,MARIANO MATAMOROS,JOSE F ELIZONDO,NIETO,CORTANTE,NA,SI,N,0,0,N,NA,0,1,0,0,0,0,0,0,0,1,SI,VIA PUBLICA,,NA,1 SUJETO VISTE PLAYERA NEGRA CON LETRAS BLANCAS GORRA CAFE,N,N,N,600,NO,0,,,NO,989,Robo a persona,-102.30119924,21.88008547
174178,JUNIO,2018-06-17,DOMINGO,9,54,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLA LAS PALMAS II,596,MORELOS,BOULEVARD,A SAN LUIS POTOSI,NA,0,N,0,N,VILLA OBREGON,PROCERES DE LA ENSEÑANZA,VILLA ALEJANDRA,CORTANTE,NA,SI,N,1,5000,N,NA,0,1,0,0,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,2 SUJETOS VISTE CAMISA BLANCA Y PANTALON GRIS Y DOS MUJERES UNA VISTE CHAMARRA NEGRA TIENE UN TATUJE EN EL CUELLO,N,CARRO ACTITUD GRIS,CARRO,5000,NO,0,,,NO,990,Robo a persona,-102.23554161,21.86422661
174336,JUNIO,2018-06-17,DOMINGO,14,57,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,REAL DE HACIENDAS,492,TERAN SUR,CALLE,HACIENDA JURICA,NA,0,N,0,N,HACIENDA VENTA DEL ASTILLERO,HACIENDA JOSE MARIA MORELOS,HACIENDA CANUTILLO,NA,NA,NO,N,0,0,N,NA,1,0,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,2 SUJETOS 1 SUJETO 1 MUJER,N,MOTOCICLETA ITALIKA ROJO CON NEGRO,MOTOCICLETA,0,NO,0,,,NO,991,Robo a persona,-102.24309212,21.88658866
174627,JUNIO,2018-06-17,DOMINGO,20,16,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,OJOCALIENTE III,525,TERAN SUR,CALLE,BETULIA,NA,0,N,0,N,LA GLORIA,EL MOCHI,EL CHIQUIHUITE,NA,NA,NO,N,1,150,N,NA,0,1,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,2 SUJETOS VISTEN SUDADERA BLANCA Y CACHUCHA BLANCA UMO TEZ MORENO Y OTRO TEZ BLANCA,N,N,N,2150,NO,0,,,NO,992,Robo a persona,-102.24338151,21.87784226
174657,JUNIO,2018-06-17,DOMINGO,20,42,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,SOLIDARIDAD I,431,TERAN SUR,AVENIDA,SIGLO XXI,NA,0,N,0,N,TECNOLOGICO,UNIDAD,SOLIDARIDAD,NA,NA,NO,N,0,0,N,NA,0,0,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,ND,ND,TAXI BLANCO NUMERO ECO 0915,TAXI,0,NO,0,,,NO,993,Robo a persona,-102.24440369,21.86840442
174793,JUNIO,2018-06-17,DOMINGO,21,56,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,OJOCALIENTE III,525,TERAN SUR,AVENIDA,POLIDUCTO,NA,0,N,0,N,EL SALITRE,LA BARRANCA,BETULIA,CONTUSA,NA,SI,N,0,0,N,NA,0,1,0,1,0,0,0,0,0,0,SI,PARQUE LINEAL,SI,HGZ2,3 SUJETOS,N,N,N,0,NO,0,,,NO,994,Robo a persona,-102.24307966,21.87598760
174799,JUNIO,2018-06-17,DOMINGO,21,59,AGUASCALIENTES,URBANA,CONDOMINIO,CENTRO DISTRIBUIDOR DE BASICOS,838,POCITOS,AVENIDA,INDEPENDENCIA,NA,0,N,0,N,AGUASCALIENTES NORTE,ARNULFO M VALDES,A ZACATECAS,NA,NA,NO,N,0,0,N,NA,0,1,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,2 SUJETOS,N,MOTOCICLETA,MOTOCICLETA,0,NO,0,,,NO,995,Robo a persona,-102.29730204,21.91491504
