FOLIO,MES,FECHA,DIA_SEM,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,HORA,MINUTOS,H_DIAS_S,H_MR_0_6,H_M_6_12,H_T_12_19,H_N_19_24,H_MR_MA,H_MR_TAR,H_MR_NO,H_MAN_TAR,H_MAN_NOC,H_MAN_MR,H_TAR_MR,H_TAR_MA,H_TAR_NOC,H_NOC_MR,H_NOC_MA,H_NOC_TA,H_DIA_SOLA,H_MED_MA_A,H_MED_MA_B,H_MED_TA_A,H_MED_TA_B,H_MED_NO_A,H_MED_NO_B,H_MED_MR_A,H_MED_MR_B,SIN_DAT,EN_PROCESO,C_VIOLENC,TIPO_ARMA,DETENIDO,SOSPECHOSO,FERIA,I_AZOTEA,I_DOMO,I_PAR_TRAS,I_PAR_DELA,I_VENTANA,I_BOQUETE,SIN_INF,DINERO,CANTIDAD,PANTALLA,COMPUTO,CELULAR,DVD_BLU,EST_TEA_BO,TECNOLOG,SE_TV_PAGA,ELECTRODOM,MOBILIARIO,ACABADOS,HERRAM,ROPA,JUGUETERIA,BICI_TRIC,JOYERIA,UTENS_COC,CAJAFUERTE,ACC_VEHIC,TANQUE_GAS,MAT_CONSTR,MASCOTAS,VEHICULO,OTROS,SIN_DATOS,MONTO_APRO,OID,DELEGACION,INCIDENTE,LONG,LAT
139549,JUNIO,2016-06-19,DOMINGO,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,URICHO,0,407,NULO,0,NULO,TEXCOCO,CULHUACAN,TIZAPAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,1,0,0,0,1,10000,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25000,11,SAN FRANCISCO,Robo a casa habitación,-102.25088097,21.95893350
153198,JULIO,2016-07-05,MARTES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,NAPIZARO,0,506,NULO,0,NULO,TEXCOCO,TENAYUCA,SAN JUAN COSALA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8000,12,SAN FRANCISCO,Robo a casa habitación,-102.24708853,21.95535695
157461,JULIO,2016-07-10,DOMINGO,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,SAN ANTONIO TLAYAPAN,0,403,NULO,1,NULO,CULHUACAN,TEXCOCO,ZAPOTLAN DEL REY,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5000,13,SAN FRANCISCO,Robo a casa habitación,-102.24863136,21.95403157
158430,JULIO,2016-07-11,LUNES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,LA RIBERA,0,1511,NULO,1,NULO,CULHUACAN,COYOACAN,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO,NO,NO,NO,NO,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,SAN FRANCISCO,Robo a casa habitación,-102.25260215,21.95848899
158714,JULIO,2016-07-11,LUNES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,LA BARCA,0,109,NULO,0,NULO,EL SALTO,RIBERA DE CHAPALA,LERMA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,PELON TATUADO DE TEOCALTICHE,,0,0,0,1,0,0,0,1,14000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,15,SAN FRANCISCO,Robo a casa habitación,-102.25244415,21.95495098
171304,JULIO,2016-07-26,MARTES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,ZACOALCO,0,506,NULO,1,NULO,TEXCOCO,TENAYUCA,CAJITITLAN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,SI,RAMIRO GLZ CASINO,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,SAN FRANCISCO,Robo a casa habitación,-102.24742595,21.95610672
171935,JULIO,2016-07-27,MIERCOLES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,SAN ANTONIO TLAYAPAN,0,228,NULO,0,NULO,COYOACAN,RIBERA DE CHAPALA,NAPIZARO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,17,SAN FRANCISCO,Robo a casa habitación,-102.25044877,21.95307505
189554,AGOSTO,2016-08-16,MARTES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,PONCITLAN,0,402,NULO,0,NULO,CULHUACAN,TEXCOCO,SANTIAGO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,18,SAN FRANCISCO,Robo a casa habitación,-102.24980393,21.95711631
218743,SEPTIEMBRE,2016-09-19,LUNES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,CHAPALA,0,503,NULO,3,NULO,TEXCOCO,TENAYUCA,CAJITITLAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,19000,19,SAN FRANCISCO,Robo a casa habitación,-102.24747018,21.95692983
227366,OCTUBRE,2016-10-01,SABADO,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,TUXCUECA,0,318,NULO,0,NULO,CULHUACAN,COYOACAN,TIZAPAN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,20,SAN FRANCISCO,Robo a casa habitación,-102.25168771,21.95742120
