FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,INGRESO,DESHABITAD,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,MOT_DET,LESIONADO,T_VEH_SOS,DESCRIP,REROBADO,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,LON,OID,LONG,LAT
210222064,30414,ROBO A CASA,3,2021-03-05,9,5,3,FRACCIONAMIENTO,VALLE HUEJUCAR POPULAR,158P,CALLE,MICHOACAN,NA,NA,"219,,,",BOULEVARD,VALLE DE HUEJUCAR,7,0,0,14,3,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,11,0,4000,false,1,1,-102.75210000,648,-102.75214746,21.83002460
210222420,30414,ROBO A CASA,3,2021-03-05,9,5,1,COLONIA,SAN PABLO,921,CALLE,RIO SAN PEDRO,NA,NA,"206,,,",CALLE,RIO MORCINIQUE,6,0,0,22,9,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,3,0,11000,false,1,1,-102.29870000,649,-102.29879357,21.89201311
210222532,30414,ROBO A CASA,3,2021-03-05,9,5,1,FRACCIONAMIENTO,LOS LAURELES II,703,CIRCUITO,EL LAUREL SUR,NA,NA,"137,,,",CIRCUITO,EL SABINAL,4,0,0,24,4,NO,false,false,9,PEPENADORES,"LA CHUCA, EL TAISON",0,NO,0,N,N,SI1,28,1400,1400,false,1,1,-102.23930000,650,-102.23930872,21.90172048
210222735,30414,ROBO A CASA,3,2021-03-05,9,5,1,FRACCIONAMIENTO,VILLA JARDIN II,726,CALLE,FRAY JUNIPERO SERRA,NA,NA,"210,,,",PROLONGACION,PASEO DE LA ASUNCION,2,0,0,24,4,NO,false,false,9,EXPAREJA,FAMILIA,0,NO,0,N,N,NO,"3,26,27,28",0,8000,false,1,1,-102.29860000,651,-102.29865488,21.86053988
210223864,30414,ROBO A CASA,3,2021-03-06,9,6,1,FRACCIONAMIENTO,RANCHO SANTA MONICA,961,CALLE,DE LA PAZ,NA,NA,"201,,64,",CALLE,DE LA PAZ,2,0,0,19,9,NO,false,false,9,1 HOMBRE,ND,0,NO,0,N,N,NO,"14,31",0,0,false,1,1,-102.32470000,652,-102.32478844,21.83631732
210225650,30414,ROBO A CASA,3,2021-03-06,9,6,1,FRACCIONAMIENTO,VILLA MONTAÑA,501R,CALLE,SIERRA AGUILADA,NA,NA,"401,B,,",CALLE,CONSTITUCIONALISTA,3,0,0,9,4,DESHABITADA,false,false,9,ND,ND,0,NO,0,N,N,NO,10,0,0,false,1,6,-102.25620000,653,-102.25629610,21.94412627
210225740,30414,ROBO A CASA,3,2021-03-06,9,6,11,FRACCIONAMIENTO,SAN JOSE DE BUENAVISTA,12,CALLE,GONZALO ESPARZA ESPARZA,NA,NA,"232,,,",CALLE,URUGUAY,7,0,0,2,4,NO,false,false,9,SOBRINO,FAMILIA,0,NO,0,N,N,NO,"8,9",0,8000,false,1,1,-102.27100000,654,-102.27103835,22.07250310
210227148,30414,ROBO A CASA,3,2021-03-06,9,6,1,FRACCIONAMIENTO,VILLERIAS,491,CALLE,PASEO DE VILLERIAS,NA,NA,"318,,,",CALLE,HACIENDA LAS AMARILLAS,4,0,0,14,4,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,3,0,0,false,1,1,-102.24560000,655,-102.24564850,21.88485676
210228497,30414,ROBO A CASA,3,2021-03-07,9,7,1,FRACCIONAMIENTO,PASEOS DE SAN ANTONIO,324P,CALLE,DALMACIA,NA,NA,"119,D,,",CALLE,EPIRO,5,0,0,16,4,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,"1,3,5",0,0,false,1,1,-102.26820000,656,-102.26827139,21.81226169
210228552,30414,ROBO A CASA,3,2021-03-07,9,7,11,FRACCIONAMIENTO,PASEOS DE PROVIDENCIA,349P,CALLE,PASEOS DE SANTA ESPERANZA,NA,NA,"205,,,",CALLE,PASEOS DE SAN PABLO,7,0,0,16,3,NO,false,false,9,EXPAREJA,FAMILIA,0,NO,0,N,N,NO,"5,10,12,18,31",0,4000,false,1,1,-102.27860000,657,-102.27860304,22.02263288
210229032,30414,ROBO A CASA,3,2021-03-07,9,8,1,FRACCIONAMIENTO,MUNICIPIO LIBRE,768,CALLE,VIRREYES,NA,NA,"133,,,",AVENIDA,SIGLO XXI,4,0,0,27,4,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,39,0,0,false,1,2,-102.25410000,658,-102.25418967,21.89875189
210229462,30414,ROBO A CASA,3,2021-03-07,9,7,3,SIN TIPO,LA FORTUNA,253,CALLE,SAN PEDRO,NA,NA,",,,",CALLE,SAN ISIDRO,7,0,0,27,3,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,11,0,3000,false,1,1,-102.66900000,659,-102.66904249,21.87735844
210230447,30414,ROBO A CASA,3,2021-03-07,9,7,1,FRACCIONAMIENTO,VILLA TERESA,790,CALLE,CLARISAS,NA,NA,"327,,,",CALLE,MISIONEROS,3,0,0,3,4,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,"1,2,15",0,20000,false,1,7,-102.27810000,660,-102.27811623,21.91987240
