FOLIO,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,CUENT_HAB,DINERO,CANTIDAD,BANCO,BOLSO,CARTERA,TECNOLOGIA,CELULAR,JOYERIA,ROPA,BICICLETA,OTROS,OID,FE_16,VEH_SOSP,INCIDENTE,LONG,LAT
210714,SEPTIEMBRE,2016-09-10,SABADO,19,2,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,GENERAL JOSE ISABEL ROBLES,NULO,217,NULO,0,NULO,DOCTOR MARIANO AZUELA,CONVENCION,LICENCIADO LUIS CABRERA,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,537,,NULO,Robo a persona,-102.30441640,21.85118937
209571,SEPTIEMBRE,2016-09-09,VIERNES,16,14,AGUASCALIENTES,URBANA,COLONIA,DEL TRABAJO (DELEGACION CENTRO),521,AVENIDA,ALAMEDA,NULO,0,NULO,0,NULO,FRATERNIDAD,HEROICO COLEGIO MILITAR,BELLAS ARTES,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,538,,NULO,Robo a persona,-102.27398566,21.88400408
209918,SEPTIEMBRE,2016-09-09,VIERNES,22,32,AGUASCALIENTES,URBANA,UNIDAD HABITACIONAL,LAZARO CARDENAS,1079,AVENIDA,PASEO DE LA CRUZ,NULO,0,NULO,0,NULO,FERROCARRIL,SAHOP,SARH,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,539,,MOTO,Robo a persona,-102.27852798,21.87372049
210155,SEPTIEMBRE,2016-09-10,SABADO,2,6,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,FUNDADORES,623,CALLE,JULIA NAVARRETE,NULO,128,NULO,0,NULO,LUISA FERNANDEZ VILLA,MARGARITA MAZA DE JUARES,VOCEADORES,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,540,,TSURU NEGRO,Robo a persona,-102.24349132,21.85135710
211682,SEPTIEMBRE,2016-09-11,DOMINGO,11,16,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,BULEVAR,733,AVENIDA,JOSE MARIA CHAVEZ,NULO,0,NULO,0,NULO,HERNAN GONZALEZ,JOSE ARMANDO,LUIS ADOLFO,NULO,NULO,0,0,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,541,,BICICLETA,Robo a persona,-102.29458397,21.86844062
211975,SEPTIEMBRE,2016-09-11,DOMINGO,19,11,AGUASCALIENTES,URBANA,COLONIA,DEL CARMEN,911,CALLE,LA LUZ,NULO,0,NULO,0,NULO,SANTO TOMAS,ALAMAN,DEL CARMEN,NULO,DINERO,0,NULO,BOLSO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,542,,NULO,Robo a persona,-102.30425733,21.88965699
212108,SEPTIEMBRE,2016-09-11,DOMINGO,21,32,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,JARDINES DE SANTA ELENA 2A. SECCION.,1106,AVENIDA,CONVENCION DE 1914 SUR,NULO,0,NULO,0,NULO,REPUBLICA DE BELICE,SANTANDER,REPUBLICA DE PERU,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,543,,NULO,Robo a persona,-102.30695200,21.86750362
212306,SEPTIEMBRE,2016-09-12,LUNES,0,53,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MORELOS II,622,CALLE,MEXICO LIBRE,NULO,0,NULO,0,NULO,MARIANO JIMENES,SIGLO XXI,HERMANOS GALEANA,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,CACHUCHA,544,,NULO,Robo a persona,-102.26512178,21.85272542
212527,SEPTIEMBRE,2016-09-12,LUNES,9,37,AGUASCALIENTES,URBANA,COLONIA,MACIAS ARELLANO,505,CALLE,CAMINO AL COBANO,NULO,0,NULO,0,NULO,P,PASEO DE LA SOLIDARIDAD,G,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,545,,NULO,Robo a persona,-102.28421275,21.90499586
213350,SEPTIEMBRE,2016-09-13,MARTES,9,34,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,RODOLFO LANDEROS GALLEGOS,459,CALLE,PAZ ROMO DE VIVAR,NULO,1417,NULO,0,NULO,POLIDUCTO,GENERAL LAZARO CARDENAS,EXPROPIACION PETROLERA,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,546,,NULO,Robo a persona,-102.25026357,21.90433497
