FOLIO,FOLIO_REL,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,RANGO,HORARIO,PROCESO,VIOLENCIA,ARMA_US,PER_SOSP,ALIAS,SEX_AGRE,SEX_AFEC,CAT_SOS,DETENIDO,DET_SPM,MOT_DET,LESION_AFE,LESION_PR,TRASL_HOSP,FALLECIDOS,T_VEH_SOS,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,DEN_CASIO,OID,LONG,LAT
260157806,0,30411,AUTOPARTES,1,2026-01-26,5,1,1,FRACCIONAMIENTO,FUNDADORES,595,AVENIDA,LUISA FERNANDEZ VILLA,NA,NA,"1509,,,",CALLE,MARIA TERESA LLAMAS,5,0,0,5,00:00-05:59,false,false,9,ND,ND,ND,M,8,0,ND,ND,0,0,false,0,N,N,22,0.00000,0.000000,false,4,2,AUTOMOVIL,HONDA,ND,1,1,0,60,-102.24554578,21.84694305
260161966,0,30446,AUTOPARTES,1,2026-01-26,5,1,1,FRACCIONAMIENTO,PASEOS DE SAN ANTONIO,634,CALLE,SASSARI,NA,NA,"115,,,",CALLE,MENORCA,5,21,42,24,21:30-23:59,true,false,9,1 HOMBRE,ND,ND,M,8,0,ND,ND,0,0,false,0,N,N,46,0.00000,0.000000,false,1,2,TRAILER,ND,ND,1,1,0,61,-102.26491753,21.80858663
260145517,0,30904,AUTOPARTES,1,2026-01-24,4,6,1,COLONIA,MIRAVALLE,239,CALLE,MIGUEL RUELAS,NA,NA,"311,,,",CALLE,ALBERTO DEL VALLE,6,0,0,27,sin datos,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,46,0.00000,0.000000,false,2,2,AUTOMOVIL,NISSAN,SENTRA,1,2,0,62,-102.31174507,21.88986327
260157786,0,30403,AUTOPARTES,1,2026-01-26,5,1,1,FRACCIONAMIENTO,DEL VALLE 2A SECCION,150,CALLE,TOKIO,NA,NA,"512,,,",CALLE,PASEO DEL RIO,6,0,0,27,sin datos,false,false,9,ND,ND,ND,M,8,0,ND,ND,0,0,false,0,N,N,41,0.00000,0.000000,false,4,4,AUTOMOVIL,KIA,ND,1,6,0,63,-102.32300381,21.87509320
260167579,0,30411,AUTOPARTES,1,2026-01-27,5,2,1,COLONIA,COL SAN MARCOS,145,CALLE,TALAMANTES,NA,NA,",,,",CALLE,DOCTOR JOSE PEDRO DE ALBA,6,0,0,4,19:00-23:59,false,false,9,1 HOMBRE,ND,H,H,8,0,ND,ND,0,0,false,0,CAMIONETA,"FORD WINDSTAR
COLOR ROJO CON PLACAS AAW802F",54,0.00000,0.000000,false,2,2,CAMIONETA,NISSAN,FRONTIER,1,2,0,64,-102.30914606,21.87961300
260160756,0,30411,AUTOPARTES,1,2026-01-26,5,1,1,FRACCIONAMIENTO,SANTA ANITA,102,CALLE,FRAY LUIS DE LEON,NA,NA,"501,,,",CALLE,TERESA DE AVILA,4,0,0,1,dias solo,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,24,0.00000,0.000000,false,1,2,AUTOMOVIL,ND,ND,1,1,0,65,-102.27392183,21.89624366
260171224,0,30411,AUTOPARTES,1,2026-01-28,5,3,1,FRACCIONAMIENTO,ESPAÐA,171,CALLE,SANTANDER,NA,NA,"214,,,",CALLE,ESPAÐA,2,12,30,21,12:00-15:29,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,37,0.00000,0.000000,false,1,2,MAQUINARIA,ND,ND,1,6,0,66,-102.31447281,21.86634188
260168652,0,30411,AUTOPARTES,1,2026-01-28,5,3,1,BARRIO,GUADALUPE,502,CALLE,RAFAEL GARCIA MACIAS,NA,NA,"228,,,",CALLE,AZTECA,1,8,20,19,06:00-08:59,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,"31,29,28,27",0.00000,0.000000,false,1,1,AUTOMOVIL,MAZDA,ND,1,13,0,67,-102.30497487,21.88343238
260169605,0,30403,AUTOPARTES,1,2026-01-28,5,3,1,FRACCIONAMIENTO,OJOCALIENTE LAS TORRES,192,CALLE,PASEO DE DE LA CRUZ,NA,NA,",,,",CALLE,PASEO DEL CEDAZO,5,12,43,21,12:00-15:29,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,"24,22,23",0.00000,7000.000000,false,4,2,AUTOMOVIL,VOLKSWAGEN,GOLF,1,6,0,68,-102.25777425,21.87107984
260171041,0,30411,AUTOPARTES,1,2026-01-28,5,3,1,COLONIA,INDUSTRIAL,240,AVENIDA,DE LA CONVENCION DE 1914 NORTE,NA,NA,",,,",AVENIDA,PETROLEOS MEXICANOS,6,16,54,22,15:30-15:29,false,false,9,ND,ND,ND,M,8,0,ND,ND,0,0,false,0,N,N,"23,11",0.00000,15000.000000,false,1,2,AUTOMOVIL,CHEVROLET,CHEVY,1,6,0,69,-102.29321814,21.90028193
