FOLIO,ID_INC,MES,FECHA,DIA_SEM,HORA,MINUTOS,HORARIO,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,TIPO_VIAL2,NOM_VIAL2,TIPO_VIALP,NOM_VIALP,DESTACAMEN,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,LESIONADO,T_VEH_SOS,DESCRIP,RECUP_ART,OBJ_ROBADO,CANTIDAD,MONTO,CORP_ACUD,CIERRE_COR,GIRO_NEG,NOM_NEG,REPARTIDOR,INGRESO,INCIDENTE,OID,LONG,LAT
190688530,30419,6,20/06/2019,4,0,0,22,1,CC,AGROPECUARIO,763,BOULEVARD,A ZACATECAS,NA,",,,",CALLE,COMERCIO,CALLE,DURAZNO,CALLE,MANZANO,6,Falso,Verdadero,1,1 HOMBRE,ND,0,0,N,N,Falso,"3,28,29",1500,1500,1,13,TRANSPORTE PUBLICO,TAXI 2827,0,7,ROBO TRANSPORTE PUBLICO,115,-102.29233530,21.91300000
190730174,30420,7,01/07/2019,1,8,46,19,1,FRACCIONAMIENTO,BOSQUES DEL PRADO ORIENTE,437,CALLE,FRANCISCO DE PELANDA,NA,",,,",CALLE,H,CALLE,BENJAMIN MENDEZ,CALLE,ANTONIO OROZCO,5,Verdadero,Falso,9,2 HOMBRES,ND,0,0,N,N,Falso,39,0,0,1,1,TRANSPORTE PUBLICO,TAXI 2232,0,7,ROBO TRANSPORTE PUBLICO,116,-102.28058132,21.91100000
190736487,30420,7,02/07/2019,2,20,28,23,1,SIN TIPO,DESARROLLO SIN DELIMITACION OFICIAL NO. 17 (FCO. VILLA),731,BOULEVARD,LICENCIADO ADOLFO RUIZ CORTINES,NA,",,,",CALLE,NINGUNO,CALLE,DEL VALLE,CALLE,NINGUNO,6,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,0,1,2,TRANSPORTE PUBLICO,TAXI 2294,0,7,ROBO TRANSPORTE PUBLICO,117,-102.32256165,21.87200000
190745390,30419,7,04/07/2019,4,0,0,19,1,FRACCIONAMIENTO,REENCUENTRO,408,AVENIDA,LUISA FERNANDEZ VILLA,NA,",,,",CALLE,DE LA TORRE,CALLE,PEDRO RINCON DE ARTEAGA,CALLE,MATEO JOSE DE ARTEAGA,3,Falso,Verdadero,1,PAREJA,ND,0,0,N,N,Falso,"3,28",0,4300,1,1,TRANSPORTE PUBLICO,TAXI 466,0,7,ROBO TRANSPORTE PUBLICO,118,-102.24947652,21.84100000
190747216,30419,7,05/07/2019,5,0,0,22,5,COLONIA,EL CHAVE¥O,182,CARRETERA,A LA POSTA,NA,",,,",AVENIDA,SOLIDARIDAD,CALLE,CARDENCHE,CALLE,MIXQUIC,7,Falso,Verdadero,1,1 HOMBRE,ND,0,0,N,N,Falso,28,2500,2500,1,1,TRANSPORTE PUBLICO,TAXI 1949,0,7,ROBO TRANSPORTE PUBLICO,119,-102.35475925,21.96500000
190754025,30420,7,07/07/2019,7,4,40,26,1,FRACCIONAMIENTO,NATURA,699,CALLE,FEDERICO MENDEZ,NA,",,,",AVENIDA,JOSE DE JESUS GONZALEZ GARCIA,CALLE,JOSE ALFREDO JIMENEZ,CALLE,PARRAL,5,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,60,1,2,TRANSPORTE PUBLICO,TAXI,0,7,ROBO TRANSPORTE PUBLICO,120,-102.24870524,21.92900000
190757753,30420,7,08/07/2019,1,0,45,25,1,COLONIA,FRANCISCO VILLA,731,BOULEVARD,LICENCIADO ADOLFO RUIZ CORTINES,NA,",,,",CALLE,NINGUNO,CALLE,DEL VALLE,CALLE,NINGUNO,6,Verdadero,Falso,9,1 HOMBRE,ND,1,0,N,N,Falso,36,0,0,1,4,TRANSPORTE PUBLICO,TAXI 4116,0,7,ROBO TRANSPORTE PUBLICO,121,-102.32264427,21.87200000
190769435,30420,7,10/07/2019,3,21,59,24,1,FRACCIONAMIENTO,MORELOS II,622,PROLONGACION,30 DE SEPTIEMBRE,NA,",,,",CALLE,PRIMERA CONSTITUCION,CALLE,HERMANOS BRAVO,AVENIDA,HEROE INMORTAL,3,Verdadero,Falso,9,2 PERSONAS,ND,0,0,N,N,Falso,36,0,0,1,2,TRANSPORTE PUBLICO,TAXI 2991,0,7,ROBO TRANSPORTE PUBLICO,122,-102.27121458,21.85400000
190761063,30420,7,08/07/2019,1,21,1,23,1,FRACCIONAMIENTO,LOMAS DEL AJEDREZ,1121,CALLE,DIAGONAL ALFIL,NA,",,,",CALLE,DE LA VICTORIA,AVENIDA,POLIDUCTO,CALLE,DEFENSA FRANCESA,3,Verdadero,Falso,9,1 HOMBRE,ND,1,0,N,N,Falso,36,0,100,1,4,TRANSPORTE PUBLICO,TAXI 0804,0,7,ROBO TRANSPORTE PUBLICO,123,-102.25530194,21.84400000
190784352,30420,7,14/07/2019,7,13,10,21,1,FRACCIONAMIENTO,BAJIO DE LAS PALMAS,533,CALLE,PALMA BAMBU,NA,"256,,,",CALLE,PALMA ABANICO,CALLE,PALMA MEXICANA,CALLE,PALMA PLATEADA,3,Verdadero,Falso,9,2 HOMBRES,ND,0,0,N,N,Falso,28,400,400,1,1,TRANSPORTE PUBLICO,TAXI 1350,0,7,ROBO TRANSPORTE PUBLICO,124,-102.24013167,21.86200000
190783512,30420,7,14/07/2019,7,8,41,19,1,COLONIA,ALTAVISTA,922,AVENIDA,FUNDICION,NA,",,,",CALLE,JOSE MARIA AVILA,CALLE,FELIPE RUIZ DE CHAVEZ,CALLE,RAFAEL ARELLANO,6,Verdadero,Falso,9,1 MUJER,ND,0,0,N,N,Falso,36,0,0,1,1,TRANSPORTE PUBLICO,TAXI 2427,0,7,ROBO TRANSPORTE PUBLICO,125,-102.30960410,21.89400000
190766753,30419,7,10/07/2019,3,11,10,20,1,FRACCIONAMIENTO,INF MORELOS,616,CALLE,UXMAL,NA,",,,",ANDADOR,PRIMER UXMAL,CALLE,YAXCHILAN,CALLE,BONAMPAK,3,Falso,Verdadero,1,1 HOMBRE,ND,0,0,N,N,Falso,"3,28",500,500,1,1,TRANSPORTE PUBLICO,TAXI 2200,0,7,ROBO TRANSPORTE PUBLICO,126,-102.25779876,21.86400000
190789056,30419,7,15/07/2019,1,15,28,21,5,FRACCIONAMIENTO,BUENAVISTA,198,CALLE,MARGARITA,NA,",,,",CALLE,REES FISCHER,CALLE,DALIA,CALLE,JAZMIN,7,Falso,Verdadero,1,2 HOMBRES,ND,0,0,N,N,Falso,"3,12,29",0,0,1,1,TRANSPORTE PUBLICO,TAXI 3250,0,7,ROBO TRANSPORTE PUBLICO,127,-102.35720380,21.97200000
190793729,30420,7,16/07/2019,2,18,57,22,1,FRACCIONAMIENTO,JARDINES DE LA CRUZ,610,AVENIDA,CONVENCION DE 1914 ORIENTE,NA,",,,",CALLE,DATIL,CALLE,NARANJO,AVENIDA,DE LAS PALMAS,3,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,150,1,4,TRANSPORTE PUBLICO,TAXI 1177,0,7,ROBO TRANSPORTE PUBLICO,128,-102.27142006,21.87600000
190799313,30419,7,18/07/2019,4,11,50,20,5,FRACCIONAMIENTO,BUENAVISTA,198,CALLE,ROSAL,NA,"129,,,",CALLE,MARGARITA,CALLE,CHUCATA,CALLE,DALIA,7,Falso,Verdadero,1,1 HOMBRE,ND,0,0,N,N,Falso,"3,26,28",500,7500,1,4,TRANSPORTE PUBLICO,UBER,0,7,ROBO TRANSPORTE PUBLICO,129,-102.35731415,21.97000000
190807319,30419,7,20/07/2019,6,14,33,21,1,FRACCIONAMIENTO,INF MORELOS,616,CALLE,PALENQUE,NA,",,,",ANDADOR,TERCERA PLAZA PALENQUE,CALLE,BONAMPAK,ANDADOR,CHICHEN ITZA,3,Falso,Verdadero,1,1 HOMBRE,ND,0,1,N,N,Falso,3,0,0,1,2,TRANSPORTE PUBLICO,TAXI,0,7,ROBO TRANSPORTE PUBLICO,130,-102.25579890,21.86400000
190802539,30420,7,19/07/2019,5,7,19,19,1,FRACCIONAMIENTO,LUIS ORTEGA DOUGLAS,440,CALLE,SAN ANTONIO DE PE¥UELAS,NA,"115,,,",CALLE,EL GIGANTE,CALLE,EL PICACHO,CALLE,LOS ARBOLITOS,5,Verdadero,Falso,9,1 PERSONA,ND,0,0,N,N,Falso,36,0,0,1,1,TRANSPORTE PUBLICO,TAXI 317,0,7,ROBO TRANSPORTE PUBLICO,131,-102.26391919,21.90900000
190808958,30420,7,20/07/2019,6,23,7,24,1,EJIDO,SALTO DE OJOCALIENTE,580,AVENIDA,SIGLO XXI,NA,",,,",AVENIDA,TECNOLOGICO,BOULEVARD,TECNOLOGICO,CALLE,NUEVA,3,Verdadero,Falso,9,1 MUJER,ND,1,0,N,N,Falso,36,0,0,1,4,TRANSPORTE PUBLICO,TAXI 0226,0,7,ROBO TRANSPORTE PUBLICO,132,-102.24485731,21.86800000
190815037,30419,7,22/07/2019,1,0,0,21,1,FRACCIONAMIENTO,ALIANZA FERROCARRILERA,480,CALLE,A,NA,",,,",CALLE,ALFONSO RAMIREZ PAULIN,CALLE,MANUEL DE URQUIAGA,CALLE,FRANCISCO DE PELANDA,5,Falso,Verdadero,1,1 HOMBRE,ND,0,0,N,N,Falso,"3,28",500,500,1,1,TRANSPORTE PUBLICO,TAXI 740,0,7,ROBO TRANSPORTE PUBLICO,133,-102.28362246,21.91100000
190820961,30420,7,24/07/2019,3,7,0,19,1,COLONIA,MACIAS ARELLANO,505,CALLE,A,NA,",,,",CALLE,CAMINO AL COBANO,CALLE,PRIVADA A,CALLE,CAPRICORNIO,5,Falso,Falso,9,ND,ND,0,0,N,N,Falso,3,0,0,1,1,TRANSPORTE PUBLICO,UBER,0,7,ROBO TRANSPORTE PUBLICO,134,-102.28179508,21.90600000
190820274,30420,7,23/07/2019,2,0,0,24,1,FRACCIONAMIENTO,MEXICO,1081,CALLE,MICHOACAN,NA,"142,,,",AVENIDA,AGUASCALIENTES SUR,CALLE,CASA BLANCA,CALLE,NAYARIT,3,Falso,Falso,9,ND,ND,0,0,N,N,Falso,28,900,900,1,1,TRANSPORTE PUBLICO,TAXI 3813,0,7,ROBO TRANSPORTE PUBLICO,135,-102.28053254,21.86100000
190821012,30420,7,24/07/2019,3,0,0,19,1,COLONIA,ZONA CENTRO,906,CALLE,GUZMAN,NA,",,,",CALLE,JOSE MARIA MORELOS Y PAVON,CALLE,LICENCIADO BENITO JUAREZ,CALLE,UNION,1,Falso,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,0,1,1,TRANSPORTE PUBLICO,TAXI 28,0,7,ROBO TRANSPORTE PUBLICO,136,-102.29628417,21.88600000
190825060,30420,7,25/07/2019,4,10,54,20,1,FRACCIONAMIENTO,SOLIDARIDAD IV,584,CALLE,30 DE SEPTIEMBRE,NA,",,,",CALLE,JOSE GONZALEZ CARRILLO,CALLE,J. GUADALUPE ZAMARRIPA,AVENIDA,MARIANO HIDALGO,3,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,0,1,1,TRANSPORTE PUBLICO,TAXI 2955,0,7,ROBO TRANSPORTE PUBLICO,137,-102.25624087,21.85000000
190828333,30419,7,26/07/2019,5,0,0,19,1,COLONIA,OLIVARES SANTANA,721,CALLE,MAR CARIBE,NA,",,,",AVENIDA,FUNDICION,CALLE,MAR EGEO,CALLE,MAR DE LAS ANTILLAS,6,Falso,Verdadero,1,2 HOMBRES 1 MUJER,ND,0,0,N,N,Falso,"3,27,28",100,3100,1,1,TRANSPORTE PUBLICO,UBER,0,7,ROBO TRANSPORTE PUBLICO,138,-102.31356754,21.89900000
190823853,30420,7,24/07/2019,3,0,0,24,1,FRACCIONAMIENTO,MORELOS II,622,CALLE,HERRERA,NA,"106,,,",CALLE,MEXICO LIBRE,CALLE,HERMANOS GALEANA,CALLE,MUNGUIA,3,Falso,Falso,9,2 HOMBRES,ND,0,0,N,N,Falso,28,200,200,1,1,TRANSPORTE PUBLICO,TAXI,0,7,ROBO TRANSPORTE PUBLICO,139,-102.26422289,21.85100000
190843402,30419,7,29/07/2019,1,20,44,24,1,FRACCIONAMIENTO,OJO DE AGUA,1080,CALLE,CASA BLANCA,NA,",,,",CALLE,PLAZA MICHOACAN,CALLE,PLAZA NAYARIT,CALLE,JESUS YUREM,3,Falso,Verdadero,3,VARIOS HOMBRES,ND,0,1,N,N,Falso,"28,29,36",0,1000,19,52,TRANSPORTE PUBLICO,TAXI 2514,0,7,ROBO TRANSPORTE PUBLICO,140,-102.28052574,21.86200000
190845413,30419,7,30/07/2019,2,0,0,21,1,FRACCIONAMIENTO,JESUS GOMEZ PORTUGAL,528,CALLE,ANDROMEDA,NA,",,,",CALLE,ESTRELLA POLAR,CALLE,CRUZ DEL SUR,CALLE,LIRA,3,Falso,Verdadero,4,2 HOMBRES,ND,0,0,N,N,Falso,28,0,0,12,1,TRANSPORTE PUBLICO,TAXI 2968,0,7,ROBO TRANSPORTE PUBLICO,141,-102.26535893,21.87400000
190863102,30419,8,03/08/2019,6,0,0,24,1,FRACCIONAMIENTO,LOS PERICOS,770,CALLE,SAN PATRICIO,NA,"109,,,",AVENIDA,CULTIRA OTOMI,AVENIDA,SAN RAFAEL,CALLE,SAN JORGE,4,Falso,Verdadero,1,1 HOMBRE,ND,0,0,N,N,Falso,"3,28",0,0,1,1,TRANSPORTE PUBLICO,TAXI 3341,0,7,ROBO TRANSPORTE PUBLICO,142,-102.24448913,21.90000000
190864731,30419,8,04/08/2019,7,9,10,20,1,FRACCIONAMIENTO,OJOCALIENTE III,525,CALLE,SAN FRANCISCO DE LOS VIVEROS,NA,",,,",AVENIDA,SIGLO XXI,CALLE,EL COECILLO,CALLE,LA PERA,4,Falso,Verdadero,14,3 HOMBRES,ND,0,0,N,N,Verdadero,"3,28,29",1200,1200,1,1,TRANSPORTE PUBLICO,BASE DE TAXIS TAXITEL,0,4,ROBO TRANSPORTE PUBLICO,143,-102.24849419,21.88000000
190867905,30420,8,05/08/2019,1,0,59,25,1,FRACCIONAMIENTO,INF MORELOS,616,ANDADOR,PRIMER BONAMPAK,NA,",,,",CALLE,PALENQUE,CALLE,BONAMPAK,ANDADOR,SEGUNDO BONAMPAK,3,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,0,1,2,TRANSPORTE PUBLICO,TAXI 4027,0,7,ROBO TRANSPORTE PUBLICO,144,-102.25555449,21.86200000
190867256,30419,8,04/08/2019,7,21,17,23,1,VI¥EDOS,SAN FELIPE,32P,BOULEVARD,LICENCIADO ADOLFO RUIZ CORTINES,NA,",,,",CALLE,UVA MOSCATEL,CALLE,MOSCATEL,CALLE,SAN EMILION,6,Falso,Verdadero,1,2 HOMBRES,ND,0,0,N,N,Falso,"3,28",8000,8000,1,1,TRANSPORTE PUBLICO,CAMION URBANO 195 RUTA 23,0,4,ROBO TRANSPORTE PUBLICO,145,-102.36726332,21.88300000
190876309,30420,8,07/08/2019,3,1,47,25,1,FRACCIONAMIENTO,VILLAS DE LA LOMA,454,CALLE,LOMA DEL CARDENAL,NA,",,,",CALLE,LOMA DEL VENADO,CALLE,CULTURA OTOMI,AVENIDA,POLIDUCTO,5,Falso,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,3,0,5000,1,1,TRANSPORTE PUBLICO,TAXI 1732,0,7,ROBO TRANSPORTE PUBLICO,146,-102.24649843,21.91300000
190885212,30420,8,09/08/2019,5,13,3,21,1,DESARROLLO ESPECIAL,TRES CENTURIAS ESPECIAL,753,AVENIDA,MANUEL GOMEZ MORIN,NA,",,,",CALLE,NORBERTO GOMEZ HORNEDO,AVENIDA,ALAMEDA,AVENIDA,HEROICO COLEGIO MILITAR,4,Verdadero,Falso,9,1 MUJER,ND,0,0,N,N,Falso,36,0,0,1,3,TRANSPORTE PUBLICO,TAXI 1795,0,7,ROBO TRANSPORTE PUBLICO,147,-102.28385338,21.89400000
190887296,30420,8,09/08/2019,5,22,44,24,6,BARRIO,CARBONERAS,93,AVENIDA,20 DE NOVIEMBRE,NA,",,,",CALLE,RIO SAN PEDRO,N,N,N,N,7,Verdadero,Falso,9,UNOS HOMBRES,ND,0,0,N,N,Falso,36,0,0,1,1,TRANSPORTE PUBLICO,TAXI 3973,0,7,ROBO TRANSPORTE PUBLICO,148,-102.26549938,22.14900000
190892460,30420,8,11/08/2019,7,3,43,26,1,CONDOMINIO,VILLAS DE BONATERRA,1057,CALLE,PE¥A GRANDE,NA,",,,",CALLE,LLANO ALTO,CALLE,CAMPO VERDE,CIRCUITO,BONATERRA,3,Verdadero,Falso,9,1 PERSONA,ND,0,0,N,N,Falso,36,0,0,1,1,TRANSPORTE PUBLICO,TAXI 661,0,7,ROBO TRANSPORTE PUBLICO,149,-102.28210361,21.82500000
190907940,30420,8,15/08/2019,4,1,21,25,1,FRACCIONAMIENTO,LOMAS DEL CHAPULIN,594,CALLE,SALVIA,NA,"205,,,",CALLE,ARROYO,CALLE,CELEDONIA,CALLE,LOBELIA,3,Falso,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,0,1,1,TRANSPORTE PUBLICO,TAXI,0,7,ROBO TRANSPORTE PUBLICO,150,-102.24393444,21.85600000
190913555,30419,8,16/08/2019,5,15,0,21,1,SIN TIPO,NORIAS DE OJOCALIENTE,353,CALLE,DIAMANTES,NA,",,,",CALLE,ESMERALDA,CALLE,LAZUITA,N,N,4,Falso,Verdadero,3,2 HOMBRES Y 1 MUJER,ND,0,0,N,N,Falso,"3,28,38",0,5000,1,1,TRANSPORTE PUBLICO,TAXI 1249,0,7,ROBO TRANSPORTE PUBLICO,151,-102.21856393,21.88800000
190916247,30420,8,17/08/2019,6,2,0,25,5,FRACCIONAMIENTO,PASEOS DE AGUASCALIENTES,117,CALLE,PASEOS DEL CHAYOTE,NA,",,,",CALLE,PASEOS DE MALPASO,CALLE,PASEOS DE OJOCALIENTE,CALLE,PASEOS DEL CUERVERO,7,Verdadero,Falso,9,1 HOMBRE,ND,1,0,N,N,Falso,36,0,0,1,4,TRANSPORTE PUBLICO,UBER,0,7,ROBO TRANSPORTE PUBLICO,152,-102.29700457,21.97100000
190917131,30420,8,17/08/2019,6,11,7,20,1,FRACCIONAMIENTO,LOMAS DEL AJEDREZ,1121,AVENIDA,POLIDUCTO,NA,",,,",AVENIDA,AJEDRECISTAS,CALLE,DE LA ALIANZA,CALLE,DE LAS TABLAS,3,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,0,1,1,TRANSPORTE PUBLICO,TAXI 818,0,7,ROBO TRANSPORTE PUBLICO,153,-102.25464206,21.84700000
190913735,30420,8,16/08/2019,5,15,42,22,1,CONDOMINIO,OJOCALIENTE INEGI,740,CALLE,LOS CONOS,NA,",,,",AVENIDA,OJOCALIENTE,CALLE,LAS NORIAS,CALLE,EL NOVILLO,4,Verdadero,Falso,9,2 HOMBRES,ND,0,0,N,N,Falso,36,0,0,1,1,TRANSPORTE PUBLICO,TAXI 3535,0,7,ROBO TRANSPORTE PUBLICO,154,-102.25156829,21.87800000
190917965,30420,8,17/08/2019,6,15,11,21,1,FRACCIONAMIENTO,PASEOS DE SAN ANTONIO,324P,CALLE,TRICALA,NA,",,,",CALLE,TRIZINA,CALLE,MENORCA,CALLE,VERIA,3,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,0,1,1,TRANSPORTE PUBLICO,TAXI 860,0,7,ROBO TRANSPORTE PUBLICO,155,-102.26380112,21.80800000
190931586,30420,8,20/08/2019,2,17,12,22,1,FRACCIONAMIENTO,LOMAS DEL AJEDREZ,1121,CALLE,DEL FISHER,NA,"106,,,",AVENIDA,DEL REY,CALLE,DEL MATE,AVENIDA,AJEDRECISTAS,3,Verdadero,Falso,9,1 HOMBRE,ND,1,0,N,N,Falso,36,0,0,1,4,TRANSPORTE PUBLICO,TAXI 2469,0,7,ROBO TRANSPORTE PUBLICO,156,-102.25183721,21.84500000
190945382,30419,8,23/08/2019,5,22,29,24,1,FRACCIONAMIENTO,LAS HADAS,833,CALLE,AGLAYA,NA,",,,",AVENIDA,HEROE DE NACOZARI NORTE,CALLE,FERROCARRIL,CALLE,AGLAYA,5,Verdadero,Verdadero,3,1 HOMBRE,ND,0,0,N,N,Falso,28,800,800,1,4,TRANSPORTE PUBLICO,TAXI 1817,0,7,ROBO TRANSPORTE PUBLICO,157,-102.29021643,21.90800000
190954591,30419,8,26/08/2019,1,1,17,25,5,COLONIA,ZONA CENTRO,192,CALLE,SAN MIGUEL,NA,",,,",CALLE,NUEVA,CALLE,RUBI,CALLE,ORIENTE,7,Verdadero,Verdadero,2,2 HOMBRES,ND,0,0,N,N,Falso,28,600,600,1,1,TRANSPORTE PUBLICO,UBER,0,7,ROBO TRANSPORTE PUBLICO,158,-102.34063190,21.96200000
190967504,30419,8,29/08/2019,4,16,45,22,5,COLONIA,EL CHAVE¥O,182,CARRETERA,3 A LA POSTA,NA,",,,",CALLE,NINGUNO,CALLE,NINGUNO,CALLE,CACTUS,7,Falso,Verdadero,4,3 HOMBRES,ND,0,0,CAMIONETA,"PICK-UP,NEGRO,SIN PLACAS,",Falso,"11,28,22",4500,7000,1,1,TRANSPORTE PUBLICO,TAXI 1654,0,7,ROBO TRANSPORTE PUBLICO,159,-102.36020976,21.96500000
190976127,30420,8,31/08/2019,6,19,43,23,1,FRACCIONAMIENTO,EJIDO LAS CUMBRES,403,CALLE,PICACHO ORIENTE,NA,"704,,,",BOULEVARD,GUADALUPANO,RETORNO,SIERRA ATRAVEZADA,CALLE,SIERRA DEL TIGRE,5,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,0,1,1,TRANSPORTE PUBLICO,TAXI 3631,0,7,ROBO TRANSPORTE PUBLICO,160,-102.25304374,21.91000000
190975571,30420,8,31/08/2019,6,17,20,22,1,FRACCIONAMIENTO,MUNICIPIO LIBRE,768,CALLE,ESFUERZO NACIONAL,NA,",,,",CALLE,PROSPERIDAD,CALLE,SAN MIGUELITO,CALLE,TINAJUELA,4,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,0,1,2,TRANSPORTE PUBLICO,TAXI 2163,0,7,ROBO TRANSPORTE PUBLICO,161,-102.25793239,21.89400000
190985602,30420,9,03/09/2019,2,7,59,19,1,FRACCIONAMIENTO,VILLA DE LAS FUENTES,495,AVENIDA,VILLAS DE LAS FUENTES,NA,",,,",CALLE,VILLA DE CANCUN,CALLE,VILLAS DE VALLARTA,CALLE,VILLAS DE NUEVO VALLARTA,5,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,0,1,1,TRANSPORTE PUBLICO,TAXI 1764,0,7,ROBO TRANSPORTE PUBLICO,162,-102.23882040,21.91300000
190997857,30420,9,06/09/2019,5,13,46,21,1,FRACCIONAMIENTO,VILLA LOMA DORADA,500,CALLE,VILLA ADRIANA,NA,"220,,,",CALLE,CULTURA OTOMI,CALLE,CELESTINO LOPEZ SANCHEZ,CALLE,VILLA DE MONTES,5,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,80,1,1,TRANSPORTE PUBLICO,TAXI 3348,0,7,ROBO TRANSPORTE PUBLICO,163,-102.24542515,21.92700000
190999888,30420,9,06/09/2019,5,23,19,24,1,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,955,CALLE,GERARDO MURILLO,NA,",,,",CALLE,JOSE CALVILLO,CALLE,JOSE MARIA GONZALEZ BOCANEGRA,CALLE,ANTONIO HERNANDEZ GALLEGOS,2,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,40,1,1,TRANSPORTE PUBLICO,TAXI 446,0,7,ROBO TRANSPORTE PUBLICO,164,-102.31968915,21.85000000
191004203,30419,9,08/09/2019,7,1,57,25,1,FRACCIONAMIENTO,OJOCALIENTE I,741,CALLE,PALO ALTO,NA,"450,,,",CALLE,EL SALTO DE LOS SALADO,CALLE,PLAZUELA,CALLE,ARELLANO,4,Verdadero,Verdadero,8,ND,ND,0,0,N,N,Falso,39,0,0,1,28,TRANSPORTE PUBLICO,UBER,0,7,ROBO TRANSPORTE PUBLICO,165,-102.25412721,21.88500000
191004895,30420,9,08/09/2019,7,8,4,19,1,FRACCIONAMIENTO,HACIENDA SAN MARCOS,317P,CALLE,HACIENDA SANTORAL 131,NA,",,,",CALLE,HAICENDA SANTORAL,AVENIDA,FERROCARRIL,CALLE,HACIENDA SANTORAL 129,3,Verdadero,Falso,9,1 MUJER,ND,0,0,N,N,Falso,36,0,250,1,1,TRANSPORTE PUBLICO,TAXI 2140,0,7,ROBO TRANSPORTE PUBLICO,166,-102.27557693,21.80500000
191011547,30420,9,09/09/2019,1,21,48,24,1,FRACCIONAMIENTO,VILLAS DE NUESTRA SE¥ORA DE LA ASUNCION SECTOR GUADALUPE,402,CALLE,FEDERICO MENDEZ,NA,",,,",CALLE,JOSE CONTRERAS ESPARZA,CALLE,BARTOLO DE LUNA,CALLE,CELIA MARIA MARTINEZ,5,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,0,1,1,TRANSPORTE PUBLICO,TAXI 3745,0,7,ROBO TRANSPORTE PUBLICO,167,-102.25048868,21.93100000
191019447,30420,9,11/09/2019,3,23,50,24,1,FRACCIONAMIENTO,INSURGENTES,1046,AVENIDA,CONVENCION,NA,",,,",CALLE,CAPITAN GUSTAVO GARMENDIA,CALLE,GENERAL MARTIN ESPINOZA SANCHEZ,CALLE,ABRAHAM GONZALEZ,2,Verdadero,Falso,9,1 HOMBRE,ND,1,0,N,N,Falso,36,0,0,1,4,TRANSPORTE PUBLICO,TAXI,0,7,ROBO TRANSPORTE PUBLICO,168,-102.31242831,21.85200000
191020351,30420,9,12/09/2019,4,10,41,20,1,FRACCIONAMIENTO,PARRAS,789,AVENIDA,AGUASCALIENTES NORTE,NA,",,,",CALLE,VINO,CALLE,CAVA,CALLE,RACIMO,5,Verdadero,Falso,9,1 HOMBRE,ND,1,0,N,N,Falso,36,0,40,1,4,TRANSPORTE PUBLICO,TAXI 1386,0,7,ROBO TRANSPORTE PUBLICO,169,-102.28028931,21.91500000
191020452,30420,9,12/09/2019,4,11,22,20,1,COLONIA,COL SAN MARCOS,736,AVENIDA,CONVENCION DE 1914 PONIENTE,NA,",,,",CALLE,PARIS,CALLE,NICOLAS RAMIREZ,CALLE,22 DE OCTUBRE,6,Verdadero,Falso,9,1 HOMBRE,ND,1,0,N,N,Falso,36,0,200,1,4,TRANSPORTE PUBLICO,TAXI,0,7,ROBO TRANSPORTE PUBLICO,170,-102.31200489,21.87700000
191022535,30419,9,12/09/2019,4,20,35,23,1,CONDOMINIO,OJOCALIENTE INEGI,740,AVENIDA,OJOCALIENTE,NA,",,,",CALLE,CIENEGUILLAS,CALLE,EL NOVILLO,CALLE,LA GUAYANA,4,Falso,Verdadero,8,2 HOMBRES Y MUJER RUBIA,ND,0,0,N,N,Falso,"28,36",200,200,1,1,TRANSPORTE PUBLICO,TAXI 3802,0,7,ROBO TRANSPORTE PUBLICO,171,-102.24946043,21.87600000
191055752,30420,9,21/09/2019,6,3,43,26,1,FRACCIONAMIENTO,EL PUERTECITO,700,CALLE,PUERTO DE COATZACOALCOS,NA,",,,",CALLE,PUERTO DE ENSENADA,CALLE,DEL PUERTO,CALLE,PUERTO DOS BOCAS,5,Verdadero,Falso,9,ND,ND,0,0,N,N,Falso,36,0,0,1,2,TRANSPORTE PUBLICO,TAXI 1270,0,7,ROBO TRANSPORTE PUBLICO,172,-102.24777824,21.93800000
