FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASENT,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,PROCESO,VIOLENCIA,ARMA,CUENTA_HAB,NOM_SUCUR,SUC_CAJER,UBIC_SUCUR,FALLECIDOS,PER_SOSP,ALIAS,CAT_SOSP,DET_SPM,MOT_DET,DETENIDO,LESIONADO,TRASL_HOSP,GEN_AFE,CARR_S_N,T_VEH_SOSP,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,ESPACIO,OID,LONG,LAT
220761782,30422,ROBO TRANSEUNTE,6,2022-06-24,25,5,5,LOCALIDAD,MARAVILLAS,991,AVENIDA,GUADALUPE,NA,NA,",,,",AVENIDA,A PASO BLANCO,7,6,30,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,N,N,0,0,false,,NO,N,N,3,0,0,false,1,13,1,884,-102.32444804,21.95076648
220763486,30422,ROBO TRANSEUNTE,6,2022-06-24,25,5,1,FRACCIONAMIENTO,LUIS ORTEGA DOUGLAS,221,AVENIDA,SIGLO XXI,NA,NA,",,,",CALLE,CARLOS A MADRAZO,3,18,55,0,true,false,9,NA,NA,0,NA,0,2 HOMBRES,N,0,N,N,0,0,false,,NO,COCHE,COCHE SPARK COLOR GRIS PLATA,3,0,0,false,1,1,1,885,-102.25856648,21.90911686
220763966,30421,ROBO TRANSEUNTE,6,2022-06-24,25,5,5,COLONIA,EJIDAL,926,AVENIDA,CONSTITUCION,NA,NA,",,,",CALLE,15 DE SEPTIEMBRE,7,21,6,0,false,true,"1,3",NA,NA,0,NA,0,2 HOMBRES,EL HUMILLADO,0,N,N,0,0,false,,NO,N,N,"3,14,15",0,0,false,1,1,1,886,-102.35099145,21.96964567
220765231,30421,ROBO TRANSEUNTE,6,2022-06-25,25,6,1,BARRIO,LA SALUD,499,CALLE,DELICIAS,NA,NA,",,,",AVENIDA,HEROE DE NACOZARI SUR,5,2,47,0,false,true,1,NA,NA,0,NA,0,2 HOMBRES,N,0,N,N,0,0,false,,NO,N,N,3,0,0,false,1,2,1,887,-102.28205554,21.86982626
220765300,30421,ROBO TRANSEUNTE,6,2022-06-25,25,6,1,FRACCIONAMIENTO,LOS ARCOS,610,CALLE,ARCO DE LA INDEPENDENCIA,NA,NA,",,,",CALLE,FERROCARRIL,3,3,24,0,false,true,10,NA,NA,0,NA,0,ND,N,0,N,N,0,0,false,,NO,N,N,"3,28,29",7000,7000,false,1,1,1,888,-102.28741995,21.90959200
220765529,30422,ROBO TRANSEUNTE,6,2022-06-25,25,6,1,FRACCIONAMIENTO,EJIDO OJOCALIENTE,559,AVENIDA,ALAMEDA,NA,NA,",,,",AVENIDA,AGUASCALIENTES ORIENTE,4,6,27,0,true,false,9,NA,NA,0,N,0,1 HOMBRES,N,0,N,N,0,0,false,,NO,N,N,39,0,0,false,1,2,1,889,-102.26195177,21.88768682
220767832,30421,ROBO TRANSEUNTE,6,2022-06-25,25,6,1,FRACCIONAMIENTO,VISTAS DE ORIENTE,353,CALLE,VISTAS DE ORIENTE 802,NA,NA,"163,,,",CALLE,VISTAS DE ORIENTE,4,19,48,0,false,true,1,NA,NA,0,NA,0,2 HOMBRES,N,0,N,N,0,0,false,,NO,MOTOCICLETA,MOTOCICLETA COLOR ROJO PLACAS 35CKJ3,3,0,0,false,1,1,1,890,-102.23178789,21.88262904
220770811,30422,ROBO TRANSEUNTE,6,2022-06-26,25,7,5,FRACCIONAMIENTO,AGUA CLARA,925,BOULEVARD,AGUA POTABLE,NA,NA,",,,",BOULEVARD,MANUEL J CLOUTIER,7,12,7,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,N,N,0,0,false,,NO,N,N,"3,26,28,29,40",300,2000,false,1,1,1,891,-102.33853693,21.95569027
220771390,30421,ROBO TRANSEUNTE,6,2022-06-26,25,7,1,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,175,CALLE,GENERAL JUVENTINO ESPINOZA,NA,NA,"409,,,",CALLE,SOBERANA CONVENCION MILITAR REVOLUCIONARIA,2,15,3,0,false,true,1,NA,NA,0,NA,0,2 HOMBRES,N,0,N,N,0,0,false,,NO,N,N,"3,14",0,11000,false,1,1,1,892,-102.32408644,21.85090510
220774399,30422,ROBO TRANSEUNTE,6,2022-06-27,26,1,1,FRACCIONAMIENTO,OJOCALIENTE III,191,CALLE,SAN PEDRO,NA,NA,",,,",CALLE,LA GLORIA,4,4,21,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,N,3,N,N,0,0,false,,NO,N,N,3,0,0,false,1,1,1,893,-102.24505052,21.87856108
