FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,HORA,MINUTOS,HORARIO,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,SEX_AGRE,SEX_AFECT,CAT_SOS,TRASL_HOSP,FALLECIDOS,DETENIDO,DET_SPM,LESIONADO,T_VEH_SOS,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,LON,CASIOPEA,OID,LONG,LAT
230294078,30411,AUTOPARTES,3,2023-03-08,10,3,20,39,23,1,FRACCIONAMIENTO,DEL VALLE 1A SECCION,147,CALLE,PARIS,0,NA,",,,",CALLE,LONDRES,6,false,false,9,ND,ND,ND,H,8,false,0,0,ND,0,N,N,11,0,6000,false,3,1,AUTOMOVIL,ND,ND,1,1,-102.31710000,0,916,-102.31714747,21.87650034
230296092,30411,AUTOPARTES,3,2023-03-09,10,4,8,17,19,1,FRACCIONAMIENTO,PILAR BLANCO,142,CALLE,GAVIOTAS,0,NA,",,,",AVENIDA,DEL FAISAN,2,false,false,9,ND,ND,ND,H,8,false,0,0,ND,0,N,N,24,0,0,false,1,2,CAMIONETA,NISSAN,DATSUN,1,2,-102.29750000,0,917,-102.29750303,21.84866851
230296366,30403,AUTOPARTES,3,2023-03-09,10,4,9,40,20,1,FRACCIONAMIENTO,PANORAMA,520,CALLE,ENCARNACION PAYEN,0,NA,",,,",CALLE,JARDINES ETERNOS,6,false,false,9,ND,ND,ND,H,8,false,0,0,ND,0,N,N,39,0,0,false,4,5,CAMIONETA,SILVERADO,ND,1,9,-102.31410000,0,918,-102.31418329,21.88997291
230265496,30904,AUTOPARTES,3,2023-03-02,9,4,17,49,22,1,FRACCIONAMIENTO,LOS LAURELES II,531,CALLE,EL LAUREL PONIENTE,0,NA,",,,",CALLE,DE LA DAMIANA,4,true,false,9,1 HOMBRE,ND,H,M,8,false,0,0,ND,0,N,N,5,0,0,false,5,2,AUTOMOVIL,ND,ND,1,2,-102.24120000,0,919,-102.24128535,21.90324099
230289470,30904,AUTOPARTES,3,2023-03-07,10,2,19,9,27,11,COLONIA,28 DE ABRIL,1352,CALLE,15 DE SEPTIEMBRE,0,NA,",,,",CALLE,20 DE NOVIEMBRE,7,false,false,9,1 HOMBRE,ND,H,H,8,false,0,0,ND,0,N,N,22,0,0,false,1,2,AUTOMOVIL,ND,ND,1,3,-102.26510000,0,920,-102.26513769,22.06634818
230224314,30404,AUTOPARTES,2,2023-02-21,8,2,10,50,1,1,CONJUNTO HABITACIONAL,VILLA TAURINA,390,CALLE,MARIANO SALAS 128,0,NA,",,,",CALLE,SILVERIO PEREZ,5,false,false,9,ND,ND,ND,M,8,false,0,0,ND,0,N,N,"11,22",0,0,false,1,2,AUTOMOVIL,ND,ND,1,1,-102.24830000,0,921,-102.24833348,21.86058093
230229927,30446,AUTOPARTES,2,2023-02-22,8,3,17,3,22,1,COLONIA,ALTAVISTA,234,AVENIDA,FUNDICION,0,NA,"503,,,",CALLE,SAN FELIPE,6,true,false,9,1 HOMBRE,FAMILIAR,ND,ND,3,false,0,0,ND,0,N,N,39,0,0,false,3,1,AUTOMOVIL,ND,ND,1,6,-102.30710000,0,922,-102.30719784,21.89119927
230232147,30403,AUTOPARTES,2,2023-02-23,8,4,6,17,16,1,FRACCIONAMIENTO,NATURA,371,CALLE,OSO NEGRO,0,NA,"111,,,",CALLE,GACELA,3,false,false,9,ND,ND,ND,H,8,false,0,0,ND,0,N,N,"24,11,22",0,0,false,4,2,AUTOMOVIL,VOLKSWAGEN,JETTA,1,1,-102.25510000,0,923,-102.25515779,21.93512194
230232511,30411,AUTOPARTES,2,2023-02-23,8,4,9,0,5,1,FRACCIONAMIENTO,VALLE DE LOS CACTUS,360,RECINTO,CARDON,0,NA,",,,",CALLE,LECHUGUILLA,4,false,false,9,ND,ND,ND,H,8,false,0,0,ND,0,N,N,11,0,0,false,4,1,CAMIONETA,ND,ND,1,1,-102.23030000,0,924,-102.23033934,21.87422833
230233126,30403,AUTOPARTES,2,2023-02-23,8,4,12,40,21,1,FRACCIONAMIENTO,EJIDO CUMBRES,210,AVENIDA,SIGLO XXI,0,NA,",,,",BOULEVARD,GUADALUPANO,3,false,false,9,ND,ND,ND,M,8,false,0,0,ND,0,N,N,"31,28",200,0,false,4,1,CAMIONETA,HONDA,ODYSSEY,1,1,-102.25700000,0,925,-102.25709353,21.90757991
230232796,30904,AUTOPARTES,2,2023-02-23,8,4,10,45,5,5,FRACCIONAMIENTO,ARBOLEDAS I y II,1061,CALLE,ADOLFO LOPEZ MATEOS,0,NA,",,,",PROLONGACION,AGUSTIN DE ITURBIDE,7,false,false,9,1 HOMBRE,VECINO,H,H,8,false,0,0,ND,0,N,N,11,0,0,false,1,1,CAMIONETA,DODGE,CARAVAN,1,1,-102.34670000,0,926,-102.34675228,21.95656638
230241685,30411,AUTOPARTES,2,2023-02-25,8,6,10,53,20,1,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,175,CALLE,GENERAL JOSE RINCON GALLARDO,0,NA,",,,",CALLE,MIGUEL APARICIO,2,false,false,9,1 HOMBRE,ND,ND,H,8,false,0,1,ND,0,N,N,11,0,0,false,3,1,CAMIONETA,FORD,LOBO,1,4,-102.32650000,0,927,-102.32651783,21.85391832
230244826,30411,AUTOPARTES,2,2023-02-26,9,7,1,2,21,1,FRACCIONAMIENTO,COLINAS DEL RIO,663,CALLE,RIO NILO,0,NA,"101,,,",CALLE,RIO BRAVO,6,false,false,9,ND,ND,ND,M,8,false,0,0,ND,0,N,N,"26,15,3",0,60000,false,1,1,CAMIONETA,FORD,EXPLORER,1,1,-102.31770000,0,928,-102.31774639,21.89737217
230245292,30403,AUTOPARTES,2,2023-02-26,9,7,3,21,26,1,COLONIA,SAN LUIS,615,AVENIDA,GENERAL MARIANO ESCOBEDO,0,NA,"215,,,",CALLE,TACUBA,5,false,false,9,ND,ND,ND,H,8,false,0,0,ND,0,N,N,39,0,0,false,4,5,AUTOMOVIL,CHRYSLER,STRATUS,1,6,-102.27670000,0,929,-102.27677603,21.87642356
