FOLIO,NUM_REP,NUM_OP,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,TIPO_ARMA,ARMA_2,CUENT_HAB,DINERO,CANTIDAD,BANCO,UBIC_BANC,BOLSO,CAR_MON,TECNOLOGIA,CELULAR,JOYERIA,ROPA,BICICLETA,OTROS,LESIONADO,VEH_SOSP,C_VIOL,MONTO,PROCESO,DETENIDO,FIL_SOSP,PR_FERIA,TRASL_HOSP,DESTAC_SEG,OID,INCIDENTE,LONG,LAT
1312,4,49,ENERO,2017-01-02,LUNES,5,10,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INSURGENTES,1046,AVENIDA,CONVENCION,NULO,1301,NULO,0,NULO,HERMANOS FLORES MAGON,BELISARIO DOMINGUEZ,ABRAHAM GONZALEZ,CONTUNDENTE,NULO,NULO,DINERO,3000,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,8000,NULO,0,PANDILLA LOS DRAGONES SUDADERA CON CAPUCHA ROJA,NULO,,,1,Robo a persona,-102.30727067,21.85095233
1583,6,59,ENERO,2017-01-02,LUNES,15,50,JESUS MARIA,RURAL,COMUNIDAD,LOS ARQUITOS,173-P,CARRETERA,52,NULO,0,NULO,0,NULO,NINGUNO,NINGUNO,NINGUNO,FUEGO,CONTUNDENTE,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,SIN DATOS,SI,CAMIONETA BLANCA,SI,2500,NULO,0,NULO,NULO,,,2,Robo a persona,-102.38431339,21.92238397
1777,,,ENERO,2017-01-02,LUNES,21,8,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,EMILIANO ZAPATA,585,CALLE,PLAN DE AYALA,NULO,0,NULO,0,NULO,PROFESOR OTILIO E MONTAðO,JOSE GONZALEZ CARRILLO,CARLOS MARIA DE BUSTAMANTE,CONTUNDENTE,NULO,NULO,DINERO,200,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,3,Robo a persona,-102.25545858,21.85179231
1820,,,ENERO,2017-01-02,LUNES,21,55,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,OJOCALIENTE I,741,AVENIDA,OJOCALIENTE,NULO,0,NULO,0,NULO,SAN FRANCISCO DE LOS VIVEROS,EL GUARDA,SAN FRANCISCO DE LOS VIVEROS,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,CACHUCHA,NO,NULO,NO,,,,,NULO,,,4,Robo a persona,-102.25171636,21.87981126
1966,,,ENERO,2017-01-03,MARTES,2,53,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,GRANJA CHELY,679,CARRETERA,34 ESTATAL,NULO,0,NULO,0,NULO,NINGUNO,NINGUNO,NINGUNO,FUEGO,CONTUNDENTE,NULO,DINERO,800,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,ESTEREO CARRO,NO,CAMIONETA FORD,SI,,,,,NULO,,,5,Robo a persona,-102.32551000,21.90003052
2196,,,ENERO,2017-01-03,MARTES,13,37,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LAS CUMBRES,441,CALLE,ERNESTINA MACIAS CHAVEZ,NULO,0,NULO,0,NULO,AMBROSIO VERASTEGUI,REFUGIO MIRANDA AGUAYO,MARIA GUADALUPE SERNA DIAZ,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,MOTOCICLETA NEGRA,NO,,,,,NULO,,,6,Robo a persona,-102.26298358,21.91333446
2253,,,ENERO,2017-01-03,MARTES,15,20,AGUASCALIENTES,URBANA,COLONIA,MACIAS ARELLANO,505,CALLE,CAMINO AL COBANO,NULO,0,NULO,0,NULO,C,A,SEGUNDA PRIVADA C,CONTUNDENTE,SIN DATOS,NULO,NULO,0,NULO,NULO,BOLSO,NULO,NULO,NULO,NULO,ROPA,NULO,NULO,SI,MOTO SUSKI BCA AE24,SI,,,,,NULO,,,7,Robo a persona,-102.28211925,21.90567387
2489,,,ENERO,2017-01-03,MARTES,19,56,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,BOULEVARES 1A SECCION,1047,PROLONGACION,PASEO DE LA ASUNCION,NULO,0,NULO,0,NULO,PROFESOR ENRIQUE OLIVARES SANTANA,LAURO AGUIRRE,EUGENIO ALCALA,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,8,Robo a persona,-102.30122630,21.85344895
2569,,,ENERO,2017-01-03,MARTES,21,12,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,OJO DE AGUA,1080,CALLE,PLAZA MICHOACAN,NULO,313,NULO,0,NULO,PLAZA FERNANDO AMILPA,PLAZA LUIS QUINTERO,TAMAULIPAS,CONTUNDENTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,BICICLETA,NULO,NO,NULO,SI,,,,,NULO,,,9,Robo a persona,-102.28050042,21.86357239
2599,,,ENERO,2017-01-03,MARTES,21,47,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,PRADOS DE VILLASUNCION,946,CALLE,PASEO DE TONATHIU,NULO,403,NULO,0,NULO,DEL CARPINTERO,PARQUE DE LOS EUCALIPTOS,ANDADOR DE LAS GAVIOTAS,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,10,Robo a persona,-102.29628336,21.84775326
3270,,,ENERO,2017-01-04,MIERCOLES,21,3,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INSURGENTES,1046,AVENIDA,DE LOS MAESTROS,NULO,0,NULO,0,NULO,CONVENCION,ABRAHAM GONZALEZ,INGENIERO CAMILO ARRIAGA,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,CARTERA,NULO,CELULAR,NULO,NULO,NULO,NULO,SI,NULO,SI,,,,,NULO,,,11,Robo a persona,-102.31724549,21.85374740
3641,,,ENERO,2017-01-05,JUEVES,11,52,AGUASCALIENTES,URBANA,COMUNIDAD,PLAZA BOREAL,3-P,CARRETERA,45,NULO,0,NULO,0,NULO,NINGUNO,NINGUNO,RAMAL A AEROPUERTO DE AGUASCALIENTES,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,12,Robo a persona,-102.28171006,21.72731297
4043,,,ENERO,2017-01-05,JUEVES,21,32,CALVILLO,URBANA,COLONIA,LOS ANGELES,287,CALLE,JESUS TERAN,NULO,0,NULO,0,NULO,GUANAJUATO,ABASOLO,5 DE MAYO,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,CARTERA,NULO,NULO,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,13,Robo a persona,-102.72215892,21.84440628
4754,,,ENERO,2017-01-06,VIERNES,20,15,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,DOCTOR FRANCISCO VAZQUEZ GOMEZ,NULO,0,NULO,0,NULO,GENERAL LUIS MOYA,ABRAHAM GONZALEZ,INGENIERO CAMILO ARRIAGA,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,BICICLETA,NULO,NO,NULO,SI,,,,,NULO,,,14,Robo a persona,-102.31551605,21.85034983
5200,,,ENERO,2017-01-07,SABADO,9,44,AGUASCALIENTES,URBANA,COLONIA,PRIMAVERA,914,CALLE,GRAN AVENIDA,NULO,0,NULO,0,NULO,GENERAL ENRIQUE ESTRADA,ESPERANZA,MELQUIADES MORENO,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,CARTERA,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,15,Robo a persona,-102.29338187,21.89225592
5261,,,ENERO,2017-01-07,SABADO,11,59,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MIRADOR DE LAS CULTURAS II,494,PRIVADA,CULTURA TOTONACA 104,NULO,5,NULO,0,NULO,CULTURA TOTONACA,CULTURA TARAHUMARA,CULTURA TOTONACA,PENETRANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,MONEDER,NULO,NULO,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,16,Robo a persona,-102.23874642,21.90821147
5271,,,ENERO,2017-01-07,SABADO,12,15,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,CAPITAN GUSTAVO CARMENDIA,NULO,0,NULO,0,NULO,GENERAL LUIS MOYA,GENERAL MACLOVIO HERRERA,GENERAL FRANCISCO CARRERA TORRES,PENETRANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,CARTERA,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,17,Robo a persona,-102.31388383,21.84912580
5597,,,ENERO,2017-01-07,SABADO,19,48,AGUASCALIENTES,RURAL,COMUNIDAD,LOS ARELLANO,1-P,CARRETERA,45,NULO,0,NULO,0,NULO,NINGUNO,77,NINGUNO,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,MOCHILA,NO,CAMIONETA CHEVROLET,SI,,,,,NULO,,,18,Robo a persona,-102.28299403,21.79899871
5660,,,ENERO,2017-01-07,SABADO,20,43,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LAS ARBOLEDAS,758,AVENIDA,CANAL INTERCEPTOR,NULO,0,NULO,0,NULO,LIBERTAD,ACACIA,ABEDUL,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,19,Robo a persona,-102.30233016,21.90288792
6309,,,ENERO,2017-01-08,DOMINGO,11,21,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MORELOS,616,CALLE,UXMAL,NULO,0,NULO,0,NULO,PRIMERA PLAZA UXMAL,SEGUNDO UXMAL,BONAMPAK,NULO,NULO,NULO,DINERO,2000,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,20,Robo a persona,-102.25724850,21.86511784
6750,,,ENERO,2017-01-08,DOMINGO,21,54,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,EMILIANO ZAPATA,585,CALLE,SIXTO VERDUZCO,NULO,0,NULO,0,NULO,ANTONIO DIAZ SOTO Y GAMA,PROFESOR OTILIO E MONTAðO,MARIANO JIMENEZ,FUEGO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,21,Robo a persona,-102.25370920,21.85491562
7253,,,ENERO,2017-01-09,LUNES,14,46,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,955,CALLE,GENERAL JUVENTINO ESPINOZA,NULO,0,NULO,0,NULO,RICARDO GARCIA MENDOZA,SOBERANA CONVENCION MILITAR REVOLUCIONARIA NORTE,GENERAL PASCUAL CORNEJO SILVA,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,TABLET,CELULAR,NULO,NULO,NULO,NULO,NO,MOTOCICLETA,NO,,,,,NULO,,,22,Robo a persona,-102.32222708,21.85541603
7877,,,ENERO,2017-01-10,MARTES,12,35,AGUASCALIENTES,URBANA,BARRIO,DE GUADALUPE,910,AVENIDA,GUADALUPE,NULO,0,NULO,0,NULO,JARDIN DE GUADALUPE ORIENTE,JUAN DIEGO,VALENTIN GOMEZ FARIAS,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,BICICLETA,NULO,NO,NULO,SI,,,,,NULO,,,23,Robo a persona,-102.30183759,21.88422184
8028,,,ENERO,2017-01-10,MARTES,16,28,AGUASCALIENTES,URBANA,SIN TIPO,UGASA,817,CALLE,BENJAMIN MENDEZ,NULO,0,NULO,0,NULO,MARIA DEL CARMEN MARTIN DEL CAMPO,UNIVERSIDAD,SILVESTRE GOMEZ,SIN DATOS,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,SIN DATOS,NO,NULO,SI,,,,,NULO,,,24,Robo a persona,-102.31196868,21.90567934
8162,,,ENERO,2017-01-10,MARTES,20,3,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VISTAS DE ORIENTE,489,CALLE,MACHUPICCHU 102,NULO,32,NULO,0,NULO,MACHUPICHU,PROCERES DE LA ENSEðANZA,VISTAS DE ORIENTE,CONTUNDENTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,MOCHILA,NO,NULO,SI,,,,,NULO,,,25,Robo a persona,-102.24099396,21.88017215
8264,,,ENERO,2017-01-10,MARTES,22,6,AGUASCALIENTES,RURAL,SIN TIPO,NORIAS DE OJOCALIENTE,353,CALLE,RUBI,NULO,0,NULO,0,NULO,DIAMANTES,OJO DE TIGRE,CORAL,FUEGO,NULO,NULO,DINERO,500,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,26,Robo a persona,-102.21562006,21.88929109
8748,,,ENERO,2017-01-11,MIERCOLES,17,5,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,HACIENDA EL COBANO,518,AVENIDA,MAPLE,NULO,0,NULO,0,NULO,OLMO,CAMINO AL COBANO,OLMO,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,RELOJ,NO,MOTOCICLETA AMARILLA,SI,,,,,NULO,,,27,Robo a persona,-102.27517940,21.90766611
8779,,,ENERO,2017-01-11,MIERCOLES,18,8,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOS PERICOS,770,CALLE,SANTA GABRIELA,NULO,0,NULO,0,NULO,POLIDUCTO,SANTA CECILIA,SANTA ANITA,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,BICICLETA,NULO,NO,NULO,NO,,,,,NULO,,,28,Robo a persona,-102.24848832,21.90526828
8906,,,ENERO,2017-01-11,MIERCOLES,20,54,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,JARDINES DE SANTA ELENA 2A SECCION,1106,AVENIDA,CONVENCION DE 1914 PONIENTE,NULO,0,NULO,0,NULO,REPUBLICA DE BELICE,SANTANDER,REPUBLICA DE PERU,NULO,NULO,NULO,DINERO,0,NULO,NULO,BOLSO,NULO,NULO,CELULAR,ARETES,NULO,NULO,TARJETAS CADENA,NO,NULO,NO,,,,,NULO,,,29,Robo a persona,-102.30713697,21.86755050
9654,,,ENERO,2017-01-12,JUEVES,21,33,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MUNICIPIO LIBRE,768,CALLE,LIBRE COMERCIO,NULO,220,NULO,0,NULO,Eð BAJIO,COLMENA,PROSPERIDAD,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,30,Robo a persona,-102.25559232,21.89573529
9737,,,ENERO,2017-01-12,JUEVES,23,19,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOMAS DE SANTA ANITA,478,CALLE,AVENIDA PARQUE VIA,NULO,124,NULO,0,NULO,HOMERO,SIGLO XIX,AGUASCALIENTES ORIENTE,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,BOLSO,NULO,NULO,NULO,NULO,NULO,NULO,PERTENENCIAS,NO,NULO,SI,,,,,NULO,,,31,Robo a persona,-102.27049720,21.89442945
9778,37,64,ENERO,2017-01-13,VIERNES,0,11,AGUASCALIENTES,URBANA,COLONIA,ZONA CENTRO,906,CALLE,DURANGO,NULO,302,NULO,0,NULO,VAZQUEZ DEL MERCADO,LICENCIADO FRANCISCO PRIMO VERDAD,GENERAL IGNACIO ZARAGOZA,CONTUNDENTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,0,NULO,0,NULO,NULO,,,32,Robo a persona,-102.28904675,21.88585962
9885,,,ENERO,2017-01-13,VIERNES,7,16,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,INGENIERO PASTOR ROUALX,NULO,307,NULO,0,NULO,ABRAHAM GONZALEZ,CONVENCION,ANTONIO DIAZ SOTO Y GAMA,CORTANTE,NULO,NULO,DINERO,200,NULO,NULO,NULO,CARTERA,NULO,NULO,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,33,Robo a persona,-102.30564153,21.85020711
10162,,,ENERO,2017-01-13,VIERNES,14,54,AGUASCALIENTES,URBANA,COLONIA,OLIVARES SANTANA,721,AVENIDA,CONVENCION DE 1914 PONIENTE,NULO,0,NULO,0,NULO,PEDRO GARCIA ROJAS,FUNDICION,BENJAMIN DE LA MORA,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,34,Robo a persona,-102.31140634,21.89495648
10302,,,ENERO,2017-01-13,VIERNES,19,53,AGUASCALIENTES,URBANA,BARRIO,DE GUADALUPE,910,CALLE,BENJAMIN DE LA MORA,NULO,308,NULO,0,NULO,PLAN DE AYUTLA,LA MORA,LARREATEGUI,CONTUNDENTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,SI,NULO,SI,,,,,NULO,,,35,Robo a persona,-102.30135387,21.88772506
10622,,,ENERO,2017-01-14,SABADO,2,43,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,SANTA ANITA (DELEGACION CENTRO),523,AVENIDA,GABRIELA MISTRAL,NULO,0,NULO,0,NULO,CONVENCION DE 1914 ORIENTE,FRANZ PETER SCHUBERT,NICOLO PAGANINI,NULO,NULO,NULO,DINERO,3100,NULO,NULO,NULO,CARTERA,NULO,CELULAR,NULO,CHAMARRA,NULO,TARJETA NOMINA,NO,NULO,NO,,,,,NULO,,,36,Robo a persona,-102.27973463,21.89731213
11675,,,ENERO,2017-01-15,DOMINGO,3,32,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,EJIDO LAS CUMBRES,403,AVENIDA,SIGLO XXI,NULO,0,NULO,0,NULO,GUADALUPANO,MANUEL GARCIA MARTINEZ,CUMBRES,CONTUNDENTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,SI,NULO,SI,,,,,NULO,,,37,Robo a persona,-102.25668160,21.90672706
11684,,,ENERO,2017-01-15,DOMINGO,3,42,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,955,CALLE,CORONEL VALENTE ARTEAGA,NULO,243,NULO,0,NULO,JOSE MARIA GONZALEZ BOCANEGRA,RICARDO GARCIA MENDOZA,CORONEL JOSE RINCON GALLARDO,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,CARTERA,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,38,Robo a persona,-102.32568434,21.85486301
12133,,,ENERO,2017-01-15,DOMINGO,16,57,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,PILAR BLANCO,981,CALLE,CANARIO,NULO,0,NULO,0,NULO,DE LA PALOMA,ANDADOR DE LAS GAVIOTAS,PASEO DE LA ASUNCION,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,HERRAMIENTA,NO,BICICLETA,NO,,,,,NULO,,,39,Robo a persona,-102.29961869,21.84761137
12308,0,0,ENERO,2017-01-15,DOMINGO,20,3,JESUS MARIA,URBANA,CONDOMINIO,RESIDENCIAL MARCELLANA,343-P,PROLONGACION,ZARAGOZA,NULO,0,NULO,0,NULO,MONZA,TURIN,MONZA,FUEGO,NULO,NULO,DINERO,700,NULO,NULO,BOLSO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NO,NULO,SI,0,,0,,NULO,,,40,Robo a persona,-102.30879309,21.95394130
12740,,,ENERO,2017-01-16,LUNES,3,44,JESUS MARIA,RURAL,COMUNIDAD,TEPETATES,191-P,CARRETERA,PASO BLANCO,NULO,0,NULO,0,NULO,JUAN DE LUNA MORENO,ESPARZA REYES,MEDELLIN,CORTANTE,CONTUNDENTE,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,41,Robo a persona,-102.32173556,21.95598971
12946,,,ENERO,2017-01-16,LUNES,12,45,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLA LOMA DORADA,500,CALLE,VILLA MONTE,NULO,216,NULO,0,NULO,VILLA CLARA,VILLA SERRADA,NINGUNO,CONTUNDENTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,42,Robo a persona,-102.24891220,21.92712872
13272,,,ENERO,2017-01-16,LUNES,21,33,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,OJOCALIENTE LAS TORRES,531,CALLE,PASEO DE LAS TORRES ORIENTE,NULO,0,NULO,0,NULO,PASEO DE OJOCALIENTE,PASEO DEL CEDAZO,PASEO DE LA PRESA,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,43,Robo a persona,-102.25572603,21.87148466
13273,,,ENERO,2017-01-16,LUNES,21,33,AGUASCALIENTES,URBANA,SIN TIPO,MUSEO DESCUBRE,1001,AVENIDA,DEL PARQUE,NULO,0,NULO,0,NULO,DEL PARQUE,AGUASCALIENTES SUR,JOSE MARIA CHAVEZ,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,CARTERA,NULO,CELULAR,ANILLOS,NULO,NULO,ESCLAVAS,NO,NULO,SI,,,,,NULO,,,44,Robo a persona,-102.28854669,21.85672266
13315,,,ENERO,2017-01-16,LUNES,22,33,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MORELOS,616,CALLE,MARIANO HIDALGO,NULO,0,NULO,0,NULO,DZILAM,AGUASCALIENTES ORIENTE,UXMAL,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,MOCHILA,NO,NULO,NO,,,,,NULO,,,45,Robo a persona,-102.25399204,21.86798978
13320,,,ENERO,2017-01-16,LUNES,22,40,AGUASCALIENTES,URBANA,SIN TIPO,PARQUE FUNERAL JARDINES ETERNOS 2A. SECCION,669,AVENIDA,AGUASCALIENTES PONIENTE,NULO,0,NULO,0,NULO,PASEO DEL RIO,RIO DUERO,NINGUNO,CORTANTE,NULO,NULO,DINERO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,46,Robo a persona,-102.31708378,21.88972725
13340,,,ENERO,2017-01-16,LUNES,23,16,AGUASCALIENTES,URBANA,COLONIA,SAN PEDRO,397,CALLE,ROSAURA ZAPATA,NULO,0,NULO,0,NULO,SIGLO XXI,DOMINGO DIEZ,MAHATMA GANDHI,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,BOLSO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,47,Robo a persona,-102.29517755,21.84438409
13514,,,ENERO,2017-01-17,MARTES,8,15,JESUS MARIA,URBANA,FRACCIONAMIENTO,ARBOLEDAS,221,CALLE,DEL ARBOL,NULO,0,NULO,0,NULO,ANDADOR DE LAS ZARZAMORAS,ADOLFO LOPEZ MATEOS,PROLONGACION ITURBIDE,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,48,Robo a persona,-102.34773525,21.95666047
13975,,,ENERO,2017-01-17,MARTES,20,45,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INSURGENTES,1046,AVENIDA,CONVENCION,NULO,0,NULO,0,NULO,INGENIERO CAMILO ARRIAGA,DOCTOR FRANCISCO VAZQUEZ GOMEZ,DE LA PAZ,NULO,NULO,NULO,DINERO,300,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,49,Robo a persona,-102.31445609,21.85304475
14048,,,ENERO,2017-01-17,MARTES,22,5,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,DOCTOR FRANCISCO VAZQUEZ GOMEZ,NULO,332,NULO,0,NULO,ABRAHAM GONZALEZ,GENERAL LUIS MOYA,GENERAL CESAREO CASTRO,NULO,NULO,NULO,DINERO,700,NULO,NULO,BOLSO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,50,Robo a persona,-102.31548949,21.85042037
14059,,,ENERO,2017-01-17,MARTES,22,24,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLAS DE NUESTRA SEÑORA DE LA ASUNCION (SECTOR ALAMEDA),516,AVENIDA,POLIDUCTO,NULO,429,NULO,0,NULO,GERONIMO DE LA CUEVA,JOSE G CRUZ,JOSE A PINEDO,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,MOTOCICLETA GRIS,NO,,,,,NULO,,,51,Robo a persona,-102.26459094,21.93060588
14136,,,ENERO,2017-01-18,MIERCOLES,0,16,ASIENTOS,RURAL,COMUNIDAD,CHARCO AZUL,90-P,CARRETERA,5 ESTATAL,NULO,0,NULO,0,NULO,NINGUNO,NINGUNO,NINGUNO,FUEGO,NULO,NULO,DINERO,100,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,CHAMARRA,MOTOCICLE,CUCHILLO BOTAS,NO,NULO,SI,,,,,NULO,,,52,Robo a persona,-102.01561049,22.04911489
14254,,,ENERO,2017-01-18,MIERCOLES,7,36,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,GOMEZ (DELEGACION POCITOS),663,AVENIDA,CONVENCION DE 1914 PONIENTE,NULO,0,NULO,0,NULO,25 DE ABRIL,PRIMAVERA,26 DE MARZO,FUEGO,NULO,RETIRO CAJERO,DINERO,5000,BANORTE,BANORTE FRACC GOMEZ MARISTA,BOLSO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NO,NUKI,SI,,,,,NULO,,,53,Robo a persona,-102.31244027,21.88228171
14473,,,ENERO,2017-01-18,MIERCOLES,14,19,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,SALTO DE OJOCALIENTE,580,CALLE,EMILIANO ZAPATA,NULO,0,NULO,0,NULO,TECNOLOGICO,MIGUEL HIDALGO,SIGLO XXI,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,MALLA CICLONICA,NO,NULO,NO,,,,,NULO,,,54,Robo a persona,-102.24568101,21.86700143
