FOLIO,NUM_REP,NUM_OP,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,TIPO_ARMA,ARMA_2,CUENT_HAB,DINERO,CANTIDAD,BANCO,UBIC_BANC,BOLSO,CAR_MON,TECNOLOGIA,CELULAR,JOYERIA,ROPA,BICICLETA,OTROS,LESIONADO,VEH_SOSP,C_VIOL,MONTO,PROCESO,DETENIDO,FIL_SOSP,PR_FERIA,TRASL_HOSP,DESTAC_SEG,OID,INCIDENTE,LONG,LAT
245029,807,80,SEPTIEMBRE,2017-09-26,MARTES,22,1,AGUASCALIENTES,URBANA,SIN TIPO,TEATRO AGUASCALIENTES,945,BOULEVARD,JOSE MARIA CHAVEZ,NULO,0,NULO,0,NULO,SIGLO XXI,AGUASCALIENTES SUR,DEL PARQUE,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,SI,BICICLETA,SI,0,NULO,0,NULO,NULO,SE NEGO,MORELOS,1318,Robo a persona,-102.29239375,21.85785789
245036,807,34,SEPTIEMBRE,2017-09-26,MARTES,21,50,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,SOLIDARIDAD I,431,AVENIDA,TECNOLOGICO,NULO,0,NULO,0,NULO,SOLIDARIDAD,SIGLO XXI,UNIDAD,CORTANTE,CONTUNDENTE,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,MOTOCICLETA,SI,4000,NULO,0,NULO,NULO,NULO,TERAN SUR,1319,Robo a persona,-102.24573314,21.86842363
245060,807,31,SEPTIEMBRE,2017-09-26,MARTES,22,39,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,BENITO JUAREZ,466,AVENIDA,NAZARIO ORTIZ GARZA,NULO,0,NULO,0,NULO,PARQUE VIA,J,K,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,SIN DATOS,NO,NULO,NO,0,NULO,0,NULO,NULO,NULO,TERAN SUR,1320,Robo a persona,-102.27379659,21.89966134
244457,806,38,SEPTIEMBRE,2017-09-26,MARTES,10,16,AGUASCALIENTES,URBANA,UNIDAD HABITACIONAL,POTRERO DEL OESTE,1098,ANDADOR,LAS NUBES,NULO,0,NULO,0,NULO,DE LA AURORA,LAS NUBES,NINGUNO,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,0,NULO,0,NULO,NULO,NULO,INSURGENTES,1321,Robo a persona,-102.30132878,21.84302021
244940,807,11,SEPTIEMBRE,2017-09-26,MARTES,20,39,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,BAJIO DE LAS PALMAS,533,CALLE,PALMA REAL,NULO,142,NULO,0,NULO,POLIDUCTO,PALMA MEXICANA,TECNOLOGICO,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,0,NULO,1,NULO,NULO,NULO,MORELOS,1322,Robo a persona,-102.24066706,21.86572757
245595,810,48,SEPTIEMBRE,2017-09-27,MIERCOLES,16,15,JESUS MARIA,URBANA,COLONIA,ZONA CENTRO,192,AVENIDA,SAN LORENZO,NULO,0,NULO,0,NULO,HERNANDEZ,FRANCISCO JAVIER MINA,ALFAREROS,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,BICICLETA,NULO,NO,NULO,NO,0,NULO,0,NULO,NULO,NULO,JM,1323,Robo a persona,-102.34592378,21.95982783
245623,810,78,SEPTIEMBRE,2017-09-27,MIERCOLES,16,49,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,GENERAL MATEO ALMANZA,NULO,0,NULO,0,NULO,GENERAL LUIS MOYA,ABRAHAM GONZALEZ,GENERAL UEGENIO AGUIRRE BENAVIDES,CONTUNDENTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,RELOJ,NO,NULO,SI,0,NULO,0,DOS SUJETOS,NULO,NULO,INSURGENTES,1324,Robo a persona,-102.31075230,21.84878514
245811,810,90,SEPTIEMBRE,2017-09-27,MIERCOLES,20,21,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,SAN CAYETANO,1118,AVENIDA,UNIVERSIDAD,NULO,0,NULO,0,NULO,SAN COSME,SAN JORGE,SAN CLEMENTE,FUEGO,NULO,NULO,NULO,0,NULO,NULO,BOLSO,CARTERA,NULO,CELULAR,NULO,NULO,NULO,CREDENCIALES,NO,BICICLETA,SI,0,NULO,0,NULO,NULO,NULO,POCITOS,1325,Robo a persona,-102.30722352,21.90185104
245913,810,91,SEPTIEMBRE,2017-09-27,MIERCOLES,21,39,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,955,CALLE,JOSE MARIA BOCANEGRA,NULO,801,NULO,0,NULO,PROFESOR JOSE RAMIREZ PALOS,ARQUITECTO CARLOS CONTRERAS,RICARDO GARCIA MENDOZA,FUEGO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,PERTENENCIAS,NO,NULO,SI,3000,NULO,0,EL PINOCHO PANTALON DE MEZCLILLA PLAYERA NEGRA CHAMARRA NEGRA CON GORRO,NULO,NULO,INSURGENTES,1326,Robo a persona,-102.32170588,21.85297274
245973,810,38,SEPTIEMBRE,2017-09-27,MIERCOLES,22,25,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,OJOCALIENTE III,525,AVENIDA,SIGLO XXI,NULO,219,NULO,0,NULO,LAS HORMIGAS,CAÐADA GRANDE,OCOTE,CORTANTE,NULO,NULO,DINERO,0,NULO,NULO,BOLSO,NULO,NUO,CELULAR,NULO,NULO,NULO,CELULAR,NO,NULO,SI,0,NULO,0,NULO,NULO,NULO,TERAN SUR,1327,Robo a persona,-102.24869683,21.88118593
245994,810,90,SEPTIEMBRE,2017-09-27,MIERCOLES,22,57,AGUASCALIENTES,URBANA,COLONIA,ZONA CENTRO,906,CALLE,LICENCIADO BENITO JUAREZ,NULO,0,NULO,0,NULO,UNION,ARTEAGA,5 DE MAYO,NULO,NULO,NULO,DINERO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,4000,NULO,0,UNA MUJER BLUSA NEGRA,NULO,NULO,CENTRO,1328,Robo a persona,-102.29658472,21.88455314
246201,811,61,SEPTIEMBRE,2017-09-28,JUEVES,6,59,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLAS DE LA LOMA,454,CALLE,LOMA DEL CARDENAL,NULO,0,NULO,0,NULO,CULTURA OTOMI,LOMA DEL CARPINTERO,LOMA DE LAS CALANDRIAS,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,CELULAR,NO,NULO,NO,3500,NULO,0,UN SUJETO PANTALON AZUL SUDADERA GRIS ALTO DELGADO,NULO,NULO,TERAN NORTE,1329,Robo a persona,-102.24553381,21.91263991
231571,772,84,SEPTIEMBRE,2017-09-14,JUEVES,21,30,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOMAS DEL AJEDREZ,1121,AVENIDA,POLIDUCTO,NULO,0,NULO,0,NULO,AJEDRECISTAS,VILLA DEL REY,DE LA ESTRATEGIA,CORTANTE,NULO,NULO,DINERO,20,NULO,NULO,NULO,CARTERA,NULO,CELULAR,NULO,NULO,NULO,IDENTIFICACIONES,NO,NULO,SI,3520,NULO,0,5 MENORES UNO CACHUCHA GRIS SUDADERA BLANCATEZ BLANCA RUBIO 1.60 ESTATURA,NULO,NULO,MORELOS,1330,Robo a persona,-102.25475025,21.84621441
