FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,PROCESO,VIOLENCIA,ARMA,CUENTA_HAB,NOM_SUCUR,SUC_CAJER,UBIC_SUCUR,FALLECIDOS,PER_SOSP,ALIAS,DETENIDO,LESIONADO,TRASL_HOSP,T_VEH_SOSP,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,ESPACIO,TIPO_ROBO,LON,OID,LONG,LAT
211078510,30422,ROBO TRANSEUNTE,9,2021-09-11,36,6,1,FRACCIONAMIENTO,LA ESTRELLA,483,AVENIDA,CONVENCION DE 1914 ORIENTE,0,NA,",,,",AVENIDA,GABRIELA MISTRAL,3,27,0,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE COMPLEXION DELGADA,ND,0,0,false,N,N,"3,28,29,40",8000,8000,false,1,1,1,TRANSEUNTE,-102.27990000,1305,-102.27992202,21.89809087
211079026,30421,ROBO TRANSEUNTE,9,2021-09-11,36,6,1,FRACCIONAMIENTO,PINTORES MEXICANOS,443,AVENIDA,SIGLO XXI,0,NA,",,,",CALLE,JOSE LUIS CUEVAS,3,16,2,0,false,true,1,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,MOTOCICLETA,MOTOCICLETA COLOR NARANJA CON NEGRO,3,0,0,false,1,1,1,TRANSEUNTE,-102.26140000,1306,-102.26147694,21.92069488
211080792,30422,ROBO TRANSEUNTE,9,2021-09-12,36,7,1,FRACCIONAMIENTO,RINCONADA SANTA MONICA,950,AVENIDA,SIGLO XXI,0,NA,",,,",AVENIDA,PASEO SANTA MONICA,2,0,45,0,false,false,9,NA,NA,0,NA,0,2 HOMBRES EDAD APROX 18 AÑOS,ND,0,0,false,N,N,"12,28,31",50,50,false,1,5,1,TRANSEUNTE,-102.32000000,1307,-102.32004853,21.84302786
211081211,30422,ROBO TRANSEUNTE,9,2021-09-12,36,7,1,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,955,CALLE,JOSE RINCON GALLARDO,0,NA,"237,,,",CALLE,JOSE MARIA GONZALEZ BOCANEGRA,2,3,2,0,false,false,9,NA,NA,0,NA,0,5 HOMBRES,ND,0,0,false,N,N,3,0,0,false,1,20,1,TRANSEUNTE,-102.32610000,1308,-102.32611601,21.85516114
211081368,30421,ROBO TRANSEUNTE,9,2021-09-12,36,7,1,FRACCIONAMIENTO,LOS PERICOS,770,AVENIDA,POLIDUCTO,0,NA,",,,",CALLE,SANTA GABRIELA,3,3,44,0,false,true,3,NA,NA,0,NA,0,3 HOMBRES DE 18 AÑOS DE EDAD APROX,ND,0,0,false,N,N,"3,12,15,",500,11800,false,1,2,1,TRANSEUNTE,-102.24870000,1309,-102.24878989,21.90533239
211081717,30421,ROBO TRANSEUNTE,9,2021-09-12,36,7,1,FRACCIONAMIENTO,J GUADALUPE PERALTA GAMEZ,411,AVENIDA,TECNOLOGICO,0,NA,",,,",AVENIDA,PROCERES DE LA ENSEÑANZA,4,5,55,0,false,true,3,NA,NA,0,NA,0,2 HOMBRES,ND,0,0,false,N,N,"28,31,40",400,400,false,1,20,1,TRANSEUNTE,-102.23600000,1310,-102.23604253,21.86510623
211081891,30422,ROBO TRANSEUNTE,9,2021-09-12,36,7,6,FRACCIONAMIENTO,PLUTARCO ELIAS CALLES,95,CALLE,ISIDRO CALERA,0,NA,",,,",CALLE,ALFONSO BERNAL SAHAGUN,7,7,21,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,12,0,0,false,1,1,1,TRANSEUNTE,-102.28590000,1311,-102.28599983,22.14366695
211082913,30421,ROBO TRANSEUNTE,9,2021-09-12,36,7,1,FRACCIONAMIENTO,LOS PERICOS,770,AVENIDA,POLIDUCTO,0,NA,",,,",CALLE,SANTA CATALINA,3,12,25,0,false,true,1,NA,NA,0,NA,0,2 HOMBRES,ND,0,0,false,N,N,6,0,1000,false,1,57,1,TRANSEUNTE,-102.24930000,1312,-102.24933767,21.90663068
211083220,30421,ROBO TRANSEUNTE,9,2021-09-12,36,7,1,FRACCIONAMIENTO,RODOLFO LANDEROS GALLEGOS,459,AVENIDA,RODOLFO LANDEROS GALLEGOS,0,NA,",,,",AVENIDA,POLIDUCTO,3,13,50,0,false,true,1,NA,NA,0,NA,0,1 HOMBRE ESTATURA BAJA TEZ MORENO COMPLEXION ROBUSTO,INTEGRANTE DE LA BANDA DE LOS PELONES,0,0,false,N,N,27,0,0,false,1,5,1,TRANSEUNTE,-102.24870000,1313,-102.24874934,21.90364193
211083535,30422,ROBO TRANSEUNTE,9,2021-09-12,36,7,11,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,RIVERA DE CHAPALA,0,NA,",,,",CALLE,AJIJIC,7,15,2,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,BICICLETA,BICICLETA,14,0,0,false,1,2,1,MARIPOSA,-102.25670000,1314,-102.25678008,21.95893535
