FOLIO,MES,FECHA,DIA_SEM,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,DESTACAMEN,HORA,MINUTOS,H_DIAS_S,H_MR_0_6,H_M_6_12,H_T_12_19,H_N_19_24,H_MR_MA,H_MR_TAR,H_MR_NO,H_MAN_TAR,H_MAN_NOC,H_MAN_MR,H_TAR_MR,H_TAR_MA,H_TAR_NOC,H_NOC_MR,H_NOC_MA,H_NOC_TA,H_DIA_SOLA,H_MED_MA_A,H_MED_MA_B,H_MED_TA_A,H_MED_TA_B,H_MED_NO_A,H_MED_NO_B,H_MED_MR_A,H_MED_MR_B,SIN_DAT,EN_PROCESO,C_VIOLENC,TIPO_ARMA,DETENIDO,SOSPECHOSO,RECUPERADO,I_AZOTEA,I_DOMO,I_PAR_TRAS,I_PAR_DELA,I_VENTANA,I_BOQUETE,SIN_INF,DINERO,CANTIDAD,PANTALLA,COMPUTO,CELULAR,DVD_BLU,EST_TEA_BO,TECNOLOG,SE_TV_PAGA,ELECTRODOM,MOBILIARIO,ACABADOS,HERRAM,ROPA,JUGUETERIA,BICI_TRIC,JOYERIA,UTENS_COC,CAJAFUERTE,ACC_VEHIC,TANQUE_GAS,MAT_CONSTR,MASCOTAS,VEHICULO,OTROS,SIN_DATOS,MONTO_APRO,OID,FERIA,INCIDENTE,LONG,LAT
339681,DICIEMBRE,2017-12-25,LUNES,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,SANTA ANITA,482,CALLE,LUIS COLOMA,0,601,NULO,0,NULO,ANTONIO MACHADO,GABRIELA MISTRAL,FRAY LUIS DE LEON,TERAN SUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,0,0,0,1,0,0,0,1,10000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40000,4352,,Robo a casa habitación,-102.27709766,21.89910386
339692,DICIEMBRE,2017-12-25,LUNES,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,HACIENDAS DE AGUASCALIENTES,410,CALLE,HACIENDA JALTOMATE,0,146,NULO,0,NULO,HACIENDA EL TORIL,HACIENDA DE OJOCALIENTE,SIGLO XXI,TERAN SUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,4353,,Robo a casa habitación,-102.24959554,21.88914393
339747,DICIEMBRE,2017-12-25,LUNES,AGUASCALIENTES,URBANA,CONDOMINO,FOVISSSTE OJOCALIENTE I,739,ANDADOR,UNO ORIENTE,E34,0,NULO,203,NULO,ANTARES,NINGUNO,PASEO DE LA CRUZ,MORELOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3500,4354,,Robo a casa habitación,-102.25962414,21.87382401
339755,DICIEMBRE,2017-12-25,LUNES,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLAS DE NUESTRA SEÑORA DE LA ASUNCION SECTOR GUADALUPE,402,CALLE,MACEDONIO RODRIGUEZ,0,108,NULO,0,NULO,GERONIMO DE LA CUEVA,FRANCISCO TISCAREÑO,MARIA DE JESUS GONZALEZ,TERAN NORTE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4355,,Robo a casa habitación,-102.25723735,21.93388773
339837,DICIEMBRE,2017-12-25,LUNES,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,BOULEVARES 1A SECCION,1047,CALLE,MARIANO ABAD MIRAMONTES,0,221,NULO,0,NULO,ENRIQUE C REBSAMEN,AGUASCALIENTES SUR,LAURO AGUIRRE,INSURGENTES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,4356,,Robo a casa habitación,-102.30402138,21.85795380
340118,DICIEMBRE,2017-12-26,MARTES,JESUS MARIA,URBANA,COLONIA,EJIDAL,196,CALLE,PRIMERO DE MARZO,0,113,NULO,0,NULO,VICENTE GUERRERO,5 DE MAYO,FRANCISCO I MADERO,JESUS MARIA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20000,4357,,Robo a casa habitación,-102.35356761,21.96638567
340135,DICIEMBRE,2017-12-26,MARTES,AGUASCALIENTES,RURAL,FRACCIONAMIENTO,REAL DEL SOL,492R,CALLE,ARPA,0,0,SD,0,NULO,NEBULOSA,NINGUNO,NEGULOSA,TERAN SUR,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,SI,NO,NO,NO,HOMBRE,NO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4358,,Robo a casa habitación,-102.23838754,21.88950920
329508,DICIEMBRE,2017-12-16,SABADO,AGUASCALIENTES,RURAL,COMUNIDAD,MONTORO (MESA DEL SALTO),54P,CALLE,RIO BRAVO,0,109,NULO,0,NULO,OLIVO,NINGUNO,SIN NOMBRE,INSURGENTES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,4359,,Robo a casa habitación,-102.29988457,21.75531996
340147,DICIEMBRE,2017-12-26,MARTES,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLA LAS PALMAS III,564,CALLE,PALMA BRAVA,0,230,NULO,0,NULO,NINGUNO,MARIANO HIDALGO,PALMA RIZADA,MORELOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO,NO,NO,NO,NO,NO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4360,,Robo a casa habitación,-102.23433084,21.85264786
340176,DICIEMBRE,2017-12-26,MARTES,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MUNICIPIO LIBRE,768,CALLE,ALTAMIRA,0,104,NULO,0,NULO,MIGUEL ANGEL BARBERENA VEGA,HEROE MILITAR,LA QUEBRADA,TERAN SUR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,1,0,0,0,0,0,0,1,1000,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,4361,,Robo a casa habitación,-102.25841596,21.89761774
