FOLIO,ID_INC,INCIDENTE,MES,FECHA,DIA_SEM,HORA,MINUTOS,HORARIO,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,TIPO_VIAL2,NOM_VIAL2,TIPO_VIALP,NOM_VIALP,DESTACAMEN,SEC_EST,PROCESO,VIOLENCIA,ARMA,CUENTA_HAB,NOM_SUCUR,SUC_CAJER,UBIC_SUCUR,FALLECIDOS,PER_SOSP,ALIAS,DETENIDO,LESIONADO,TRASL_HOSP,T_VEH_SOSP,DESCRIP,RECUP_ART,OBJ_ROBADO,CANTIDAD,MONTO,CORP_ACUD,ESPACIO,CIERRE_COR,OID,TIPO_ROBO,DET_SPM,MOT_DET,NOM_DET,ORI_DET,LONG,LAT
200965697,30422,ROBO TRANSEUNTE,9,2020-09-19,6,19,16,0,6,BARRIO,INDUSTRIAL,102,AVENIDA,PINO SUAREZ,0,NA,"24,,,",AVENIDA,HEROICO LOLEGIO MILITAR,CALLE,VALENTIN GOMEZ FARIAS,CALLE,ABRAHAM GONZALEZ,7,7,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,ND,ND,false,3,0,4000,1,1,1,1505,OPORTUNISTA,,,,,-102.27662403,22.14960142
200966127,30422,ROBO TRANSEUNTE,9,2020-09-19,6,21,11,0,1,COLONIA,ZONA CENTRO,906,CALLE,COSIO NORTE,0,NA,",,,",CALLE,GONZALEZ SARACHO,CALLE,LICENCIADO FRANCISCO PRIMO VERDAD,CALLE,AGUSTIN R GONZALEZ,1,5,false,false,9,NA,NA,0,NA,0,1 HOMBRE EDAD APROX 28 AÑOS,ND,0,0,false,MOTOCICLETA,COMO DE REPARTIDOR,false,3,0,5000,1,1,1,1506,OPORTUNISTA,0,N,N,0,-102.28875556,21.88478543
200966493,30422,ROBO TRANSEUNTE,9,2020-09-19,6,22,34,0,1,FRACCIONAMIENTO,SANA ANITA,523,AVENIDA,CONVENCION DE 1914 ORIENTE,0,NA,",,,",CALLE,FLORENCIA,CALLE,GUISEPPE VERDI,CALLE,FRANZ PETER SCHUBERT,4,2,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,ND,ND,false,14,0,0,1,1,2,1507,MARIPOSA,,,,,-102.27698549,21.89416244
200967543,30422,ROBO TRANSEUNTE,9,2020-09-20,7,3,34,0,1,FRACCIONAMIENTO,MUNICIPIO LIBRE,768,CALLE,TORCAZAS,0,NA,"220,,,",CALLE,EL BAJIO,CALLE,LAS AVES,CALLE,JABONERA,4,2,false,false,9,NA,NA,0,NA,0,1 HOMBRE CONOCIDO,ND,0,0,false,ND,ND,false,"30,40",0,0,1,1,14,1508,,,,,,-102.25625883,21.89673784
200967732,30422,ROBO TRANSEUNTE,9,2020-09-20,7,5,13,0,1,FRACCIONAMIENTO,LOS PIRULES,1053,CALLE,AMAPOLA,0,NA,",,,",CALLE,GERANIOS,CALLE,MANZANILLA,CALLE,MAGNOLIA,2,4,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,ND,ND,false,6,0,0,1,1,2,1509,TRANSEUNTE,,,,,-102.32110737,21.86725585
200968062,30422,ROBO TRANSEUNTE,9,2020-09-18,5,27,0,0,1,FRACCIONAMIENTO,LOMAS DEL AJEDREZ,1121,CALLE,DEL ENROQUE,0,NA,"136,,,",CALLE,DE LA VICTORIA,AVENIDA,DEL REY,CALLE,DEL JAQUE,3,3,false,false,9,NA,NA,0,NA,0,1 HOMBRE CUÑADO,CUÑADO,0,0,false,ND,ND,false,3,0,3000,1,1,1,1510,OPORTUNISTA,,,,,-102.25447467,21.84282097
200969648,30422,ROBO TRANSEUNTE,9,2020-09-20,7,19,56,0,1,BARRIO,DE GUADALUPE,910,CALLE,ARELLANO,0,NA,"102,,,",AVENIDA,GUADALUPE,CALLE,VALENTIN GOMEZ FARIAS,CALLE,JUVENTINO ROSAS,1,5,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,BICICLETA,COLOR ROJA,false,3,0,12000,1,1,1,1511,TRANSEUNTE,0,N,N,0,-102.30379549,21.88472512
200972003,30422,ROBO TRANSEUNTE,9,2020-09-21,1,14,1,0,6,COLONIA,ZONA CENTRO,94,AVENIDA,JOSE MARIA CHAVEZ,0,NA,"20,,,",AVENIDA,AQUILES SERDAN,AVENIDA,PLUTARCO ELIAS CALLES,AVENIDA,LEANDRO VALLE,7,7,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,ND,ND,false,28,0,0,1,1,2,1512,OPORTUNISTA,,,,,-102.28030484,22.14846005
200971965,30422,ROBO TRANSEUNTE,9,2020-09-21,1,13,54,0,1,FRACCIONAMIENTO,NATURA,699,CALLE,CAÑADA,0,NA,",,,",CALLE,AILE,CALLE,TRUENO,CALLE,AILE,5,2,false,false,9,NA,NA,0,NA,0,2 HOMBRES,ND,0,0,false,ND,ND,false,3,0,900,1,1,2,1513,OPORTUNISTA,,,,,-102.24763067,21.93229681
200972406,30422,ROBO TRANSEUNTE,9,2020-09-21,1,16,8,0,1,CC,CENTRO COMERCIAL GALERIAS,357,BOULEVARD,A ZACATECAS,0,NA,",,,",CALLE,N,CALLE,MONTES HIMALAYA,CALLE,N,6,1,false,false,9,NA,NA,0,NA,0,1 HOMBRE CON UN TATUAJE EN EL BRAZO IZQUIERDO,ND,0,0,false,ND,ND,false,"28,29,40",3000,36304,1,2,1,1514,OPORTUNISTA,,,,,-102.29529186,21.92184595
200974831,30422,ROBO TRANSEUNTE,9,2020-09-22,2,10,40,0,1,FRACCIONAMIENTO,VILLA LOMA DORADA,500,CALLE,ELIAS DE LARA,0,NA,",,,",CALLE,VILLA CONSTITUCION,CALLE,VILLA DE ALVAREZ,CALLE,VILLA DE BILBAO,5,2,false,false,9,NA,NA,0,NA,0,5 HOMBRES,ND,0,0,false,ND,ND,false,"3,38",0,0,1,1,13,1515,,,,,,-102.25073920,21.92640278
200940307,30422,ROBO TRANSEUNTE,9,2020-09-12,6,17,41,0,5,COLONIA,CHICAHUALES I,155,AVENIDA,ROMAN LOERA,0,NA,",,,",CALLE,DOMINGO GOMEZ,CALLE,JESUS LOPEZ MARTINEZ,CALLE,SANTIAGO APOSTOL,7,7,false,false,9,NA,NA,0,NA,0,1 HOMBRE CUÑADO,ND,0,0,false,NA,NA,false,2,0,0,1,1,1,1516,,,,,,-102.35204140,21.94652680
200953773,30421,ROBO TRANSEUNTE,9,2020-09-16,3,5,0,0,1,COLONIA,CURTIDORES,748,CALLE,DELFINO ARAUJO,0,NA,",,,",CALLE,PASEO DEL RIO,PROLONGACION,DOCTOR SALVADOR QUESADA LIMON,CALLE,MANUEL A MEDINA,6,1,false,true,3,NA,NA,0,NA,0,ND,ND,0,2,true,ND,ND,false,"3,12,31,38",0,0,1,1,1,1517,TRANSEUNTE,,,,,-102.32147107,21.88748373
200959384,30422,ROBO TRANSEUNTE,9,2020-09-17,4,21,18,0,1,FRACCIONAMIENTO,FRACC OJO DE AGUA,1080,AVENIDA,HEROE DE NACOZARI SUR,0,NA,",,,",CALLE,JESUS YUREM,CALLE,CASA BLANCA,CALLE,SINALOA,3,3,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,ND,ND,false,28,500,500,1,1,1,1518,,,,,,-102.28243146,21.86437596
200937535,30422,ROBO TRANSEUNTE,9,2020-09-11,5,21,3,0,1,EJIDO,LOS POCITOS,326,CALLE,BENITO JUAREZ,0,NA,",,,",CALLE,ANTONIO DE LUNA,AVENIDA,EUGENIO GARZA SADA,CALLE,EULOGIO RAMIREZ,6,1,false,false,9,NA,NA,0,NA,0,1 HOMBRE DE 30 AÑOS APROX ESTATURA 180 CABELLO CASTAÑO OSCURO,EL RAFA,0,0,false,NA,NA,false,"14,31",0,0,1,1,17,1519,,,,,,-102.33528317,21.92270989
200938079,30421,ROBO TRANSEUNTE,9,2020-09-11,5,23,31,0,1,UNIDAD HABITACIONAL,IV CENTENARIO,1065,AVENIDA,PASEO DE LA CRUZ,0,NA,",,,",PASAJE,ANTONIO DIAZ SOTO Y GAMA,AVENIDA,HEROE DE NACOZARI,PASAJE,ANTONIO DIAZ SOTO Y GAMA,3,3,false,true,1,NA,NA,0,NA,0,2 HOMBRES,ND,0,0,false,MOTOCICLETA,ND,false,3,0,7000,1,1,2,1520,TRANSEUNTE,,,,,-102.27947499,21.87347219
200941899,30422,ROBO TRANSEUNTE,9,2020-09-12,6,23,19,0,1,FRACCIONAMIENTO,MODERNO,664,CALLE,FEDERICO GARCIA LORCA,0,NA,",,,",CALLE,JUAN DE DIOS PESA,CALLE,SALVADOR DIAZ MIRON,CALLE,FRAY SERVANDO TERESA DE MIER,6,1,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,ND,ND,false,"26,31",0,0,1,1,2,1521,,,,,,-102.31552758,21.88303266
200947411,30422,ROBO TRANSEUNTE,9,2020-09-14,1,15,31,0,1,FRACCIONAMIENTO,RODOLFO LANDEROS GALLEGOS,459,CALLE,ESCARAMUZA,0,NA,",,,",CALLE,AMPARO DE LA TORRE,CALLE,ALTAGRACIA REYES A,CALLE,VERBENA POPULAR,4,2,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,ND,ND,true,"3,28",0,0,1,1,13,1522,,,,,,-102.25478130,21.90031067
200965118,30422,ROBO TRANSEUNTE,9,2020-09-19,6,15,24,0,1,FRACCIONAMIENTO,LOS PERICOS,770,CALLE,SAN BERNARDO,0,NA,",,,",AVENIDA,CULTURA OTOMI SUR,CALLE,SAN RAFAEL,CALLE,SAN PABLO,4,2,false,false,9,NA,NA,0,NA,0,3 PERSONAS,ND,0,0,false,ND,ND,false,14,0,0,1,1,2,1523,MARIPOSA,,,,,-102.24430442,21.90054627
200975585,30422,ROBO TRANSEUNTE,9,2020-09-22,2,14,31,0,1,COLONIA,ZONA CENTRO,906,CALLE,5 DE MAYO,0,NA,",,,",CALLE,MOCTEZUMA,CALLE,GENERAL IGNACIO ALLENDE,CALLE,MARIANO MATAMOROS,1,5,false,false,9,TIMO,BANCOMER,0,5 DE MAYO,0,1 HOMBRE 2 MUJERES DE COMPLEXION ROBUSTA,ND,0,0,false,ND,ND,false,28,40000,40000,1,1,1,1524,TIMO,0,N,N,0,-102.29696533,21.88176681
200975716,30422,ROBO TRANSEUNTE,9,2020-09-22,2,15,8,0,1,FRACCIONAMIENTO,LOS PERICOS,770,CALLE,SANTA RITA,0,NA,",,,",CALLE,SANTA CECILIA,AVENIDA,SAN FEDERICO,CALLE,SANTA LUCIA,5,1,false,false,9,NA,NA,0,NA,0,2 HOMBRES,ND,0,0,false,ND,ND,false,3,0,0,1,1,1,1525,TRANSEUNTE,,N,N,,-102.24890482,21.90867969
200979434,30422,ROBO TRANSEUNTE,9,2020-09-23,3,15,15,0,1,COLONIA,ZONA CENTRO,906,CALLE,VENUSTIANO CARRANZA,0,NA,"124,A,,",CALLE,GENERAL VICENTE GUERRERO NORTE,CALLE,MARIANO MATAMOROS,CALLE,NIETO,1,5,false,false,9,NA,NA,0,NA,0,4 MUJERES COMPLEXION ROBUSTA,N,0,0,false,ND,ND,false,3,0,3500,1,2,1,1526,OPORTUNISTA,0,N,N,0,-102.29981576,21.88021457
