FOLIO,ID_INC,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,TIPO_VIAL2,NOM_VIAL2,TIPO_VIALP,NOM_VIALP,DESTACAMEN,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,LESIONADO,T_VEH_SOS,DESCRIP,HORARIO,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,OID,INCIDENTE,LONG,LAT
92140,30411,4,2019-04-06,6,4,34,1,CONDOMINIO,SAN GERARDO,315P,CALLE,PASEO SAN GERARDO,NA,",,,",CALLE,COTO 205,CALLE,COTO 205,CALLE,COTO 205,2,false,true,3,"H,H,H",ND,0,0,N,N,27,24,0,0,false,1,2,CAMION,INTERNATIONAL,ND,1,6,536,Robo de autopartes y cristalazo,-102.29315848,21.80608731
90108,30411,4,2019-04-03,3,3,38,1,FRACCIONAMIENTO,REAL DE HACIENDAS,492,CALLE,HACIENDA HUAXTLA,NA,"131,,,",ANDADOR,HACIENDA CHENKU,CALLE,HAICENDA VENTA DEL ASTILLERO,CIRCUITO,HACIENDA COPALA,4,true,false,9,H,ND,1,0,N,N,26,23,0,0,false,1,2,AUTOMOVIL,ND,ND,1,1,537,Robo de autopartes y cristalazo,-102.24182557,21.88658116
92170,30411,4,2019-04-06,6,6,23,1,FRACCIONAMIENTO,LOMAS DEL MIRADOR IV,619,CALLE,LOMA DE MARFIL,NA,",,,",CALLE,30 DE SEPTIEMBRE,PROLONGACION,C DE LA ALIANZA,CALLE,LOMA DEL ORIENTE,3,false,false,9,ND,ND,0,0,TAXI,TAXI 1599,19,39,0,0,false,2,2,AUTOMOVIL,ND,ND,1,2,538,Robo de autopartes y cristalazo,-102.26117046,21.84860508
190404088,30411,4,2019-04-04,4,3,56,11,FRACCIONAMIENTO,SANTA BARBARA,2,CALLE,PRIVADA SAN AGUSTIN PONIENTE,NA,"106,,,",CALLE,SANTA BARBARA,N,N,CALLE,NINGUNO,7,true,false,9,H,ND,0,0,N,N,26,23,0,350,false,1,2,CAMIONETA,NISSAN,ND,1,1,539,Robo de autopartes y cristalazo,-102.26283689,22.06348417
190407498,30403,4,2019-04-07,7,17,22,7,SIN TIPO,ZONA PONIENTE,47,CALLE,LIBERTAD,NA,",,,",N,N,CALLE,CALVILLO,CALLE,EMILIANO ZAPATA,7,false,false,9,ND,ND,0,0,N,N,3,"26,38",0,0,false,4,1,AUTOMOVIL,NISSAN,TSURU,1,2,540,Robo de autopartes y cristalazo,-102.34759872,22.17776738
190407271,30411,4,2019-04-07,7,10,54,11,FRACCIONAMIENTO,PASEOS DE LA PROVIDENCIA,349P,CALLE,PASEOS DE SANTA BEATRIZ,NA,"430,,,",CALLE,PASEOS DE SAN JOSE,AVENIDA,PASEOS DE LA PROVIDENCIA,CALLE,PASEOS DE SANTA CLARA,7,false,false,9,ND,ND,0,0,N,N,27,38,0,8000,false,1,1,TRAILER,ND,ND,1,2,541,Robo de autopartes y cristalazo,-102.27208223,22.02514543
190406422,30403,4,2019-04-06,6,19,21,3,SIN TIPO,POTRERO DE LOS LOPEZ (LOS LOPEZ),246,AVENIDA,INSURGENTES,NA,"110,,,",CALLE,LAUREL,CALLE,NINGUNO,CALLE,SAUZ,7,true,false,9,H,ND,0,0,N,N,23,41,0,0,false,4,4,CAMIONETA,ND,ND,1,2,542,Robo de autopartes y cristalazo,-102.67629789,21.86867618
93700,30403,4,2019-04-08,1,1,52,1,COLONIA,MIRAVALLE,750,AVENIDA,FUNDICION,NA,"402,,,",CALLE,ARQUITECTO ANTONIO AVILA CASTAÑEDA,AVENIDA,FUNDICION,CALLE,GUILLERMO PRIETO,6,true,false,9,"H,H",ND,0,0,N,N,25,38,0,500,false,4,4,AUTOMOVIL,VOLKSWAGEN,JETTA,1,2,543,Robo de autopartes y cristalazo,-102.30731647,21.89039908
93808,30411,4,2019-04-08,1,7,48,1,FRACCIONAMIENTO,LAS CUMBRES,441,CALLE,MARIA BERTHA LARA GUERRERO,NA,",,,",CALLE,REFUGIO MIRANDA AGUAYO,CALLE,EL PICACHO,CALLE,MARCELINA CERVANTES SANCHEZ,5,false,false,9,ND,ND,0,0,N,N,16,"22,11",0,3000,false,1,2,CAMIONETA,CHEVROLET,CARAVAN,1,1,544,Robo de autopartes y cristalazo,-102.26515365,21.91094455
93821,30403,4,2019-04-08,5,9,25,1,COLONIA,DEL CARMEN,911,CALLE,JESUS TERAN,NA,",,,",CALLE,LIBERTAD,CALLE,VALLADOLID,CALLE,JESUS MARIA,1,false,false,9,ND,ND,0,0,N,N,6,41,0,0,false,4,4,AUTOMOVIL,CHEVROLET,CORSA,1,1,545,Robo de autopartes y cristalazo,-102.29925113,21.88921135
93733,30411,4,2019-04-08,1,2,40,1,FRACCIONAMIENTO,PENSADORES MEXICANOS,774,CALLE,OCTAVIO PAZ,NA,",,,",CALLE,JUAN RULFO,CALLE,LUIS ESPOTA,CALLE,SALVADOR NOVO,5,false,false,9,H,ND,0,0,N,N,25,"22,11",0,5000,true,1,2,CAMIONETA,ND,ND,1,1,546,Robo de autopartes y cristalazo,-102.25837648,21.91467557
190410504,30403,4,2019-04-08,1,21,24,1,FRACCIONAMIENTO,LA FUENTE,1061,CALLE,BAHIA,NA,",,,",AVENIDA,LAS AMERICAS,CALLE,REPUBLICA DE URUGUAY,CALLE,QUITO,2,false,false,9,ND,ND,0,0,N,N,27,26,0,0,false,4,1,CAMIONETA,NISSAN,XTRAIL,1,1,547,Robo de autopartes y cristalazo,-102.30116021,21.87222739
190410825,30403,4,2019-04-08,1,23,24,1,FRACCIONAMIENTO,LOMAS DE VISTABELLA I,604,CALLE,VERDE,NA,"101,,,",N,N,CALLE,VISTA DE LA LUNA,CALLE,DIAGONAL ALFIL,3,false,false,9,ND,ND,0,0,N,N,24,41,0,0,false,4,4,AUTOMOVIL,RENAULT,ND,1,2,548,Robo de autopartes y cristalazo,-102.25796238,21.84344643
190409195,30411,4,2019-04-08,5,15,19,1,SIN TIPO,DESARROLLO 55 (BODEGA AURRERA PINTORES),802,AVENIDA,SIGLO XXI,NA,",,,",CALLE,JOSE LUIS CUEVAS,CALLE,NINGUNO,CALLE,NINGUNO,5,false,false,9,ND,ND,0,0,N,N,21,"22,6",0,2500,false,1,3,CAMIONETA,FORD,EXPEDITION,1,1,549,Robo de autopartes y cristalazo,-102.26135827,21.91945807
190408944,30411,4,2019-04-08,1,14,14,1,FRACCIONAMIENTO,LAS CUMBRES,441,AVENIDA,SIGLO XXI,NA,",,,",CALLE,EL PICACHO,CALLE,MARIA GUADALUPE RUIZ DE CHAVEZ PINALES,CALLE,LA UNION,5,false,false,9,ND,ND,0,0,N,N,21,26,0,0,false,3,1,AUTOMOVIL,ND,ND,1,1,550,Robo de autopartes y cristalazo,-102.25965372,21.90968293
190412254,30411,4,2019-04-09,2,15,0,1,OTRO,BALNEARIO OJOCALIENTE,737,AVENIDA,TECNOLOGICO,NA,",,,",AVENIDA,TECNOLOGICO,AVENIDA,AGUASCALIENTES ORIENTE,AVENIDA,AGUASCALIENTES ORIENTE,4,false,false,9,ND,ND,0,0,N,N,22,22,0,5000,false,1,2,AUTOMOVIL,FORD,FIESTA,1,1,551,Robo de autopartes y cristalazo,-102.26171133,21.87960312
190414281,30403,4,2019-04-10,3,9,53,11,COMUNIDAD,LA PROVIDENCIA,305P,CALLE,BENITO JUAREZ,NA,"8,,,",CALLE,MIGUEL HIDALGO,CALLE,MORELOS,CALLE,GUADALUPE VICTORIA,7,false,false,9,ND,ND,0,0,N,N,20,41,0,0,false,4,4,AUTOMOVIL,ND,ND,1,1,552,Robo de autopartes y cristalazo,-102.27668785,22.05978977
190413885,30411,4,2019-04-10,3,4,39,1,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,ABRAHAM GONZALEZ,NA,"1404,,,",CALLE,SERAPIO RENDON,CALLE,ANTONIO DIAZ SOTO Y GAMA,AVENIDA,CONVENCION,2,false,false,9,ND,ND,0,0,N,N,27,22,0,1000,false,1,2,AUTOMOVIL,NISSAN,TSURU,1,1,553,Robo de autopartes y cristalazo,-102.30654455,21.84922322
190414359,30411,4,2019-04-10,3,10,39,1,COLONIA,INDUSTRIAL,919,CALLE,ALFREDO LEWIS,NA,",,,",CALLE,PETROLEOS MEXICANOS,CALLE,MELQUIADES MORENO,CALLE,MANUEL AVILA CAMACHO,6,false,false,9,ND,ND,0,0,N,N,27,"22,11,23,38",0,10000,false,1,2,AUTOMOVIL,ND,ND,1,1,554,Robo de autopartes y cristalazo,-102.29308521,21.89932382
190414593,30411,4,2019-04-10,3,12,15,1,BARRIO,SAN MARCOS,735,CALLE,RINCON,NA,",,,",CALLE,IGNACIO LOMAS,CALLE,TALAMANTES,CALLE,DOCTOR PEDRO DE ALBA,1,false,false,9,ND,ND,0,0,N,N,20,"22,26",0,0,false,3,3,AUTOMOVIL,CHEVROLET,CHEVY,1,1,555,Robo de autopartes y cristalazo,-102.30741979,21.87983021
190414600,30411,4,2019-04-10,3,12,17,1,FRACCIONAMIENTO,LAS AMERICAS (DELEGACION INSURGENTES),406,CALLE,REPUBLICA DE GUATEMALA,NA,"210,,,",CALLE,REPUBLICA DE BRASIL,CALLE,REPUBLICA DE CHILE,CALLE,REPUBLICA DE PARAGUAY,2,false,false,9,ND,ND,0,0,N,N,21,24,0,4200,false,1,2,CAMION,ND,ND,1,1,556,Robo de autopartes y cristalazo,-102.30048732,21.86563220
190414603,30411,4,2019-04-10,3,12,18,1,COLONIA,LAS FLORES,1072,CALLE,GERANIOS,NA,",,,",AVENIDA,DE LAS ORQUIDEAS,AVENIDA,IGNACIO T CHAVEZ,CALLE,CLAVELES,2,false,false,9,H,ND,0,0,N,N,21,"26,27,6,28",4000,15000,false,1,1,AUTOMOVIL,NISSAN,TSURU,1,1,557,Robo de autopartes y cristalazo,-102.30535819,21.87323773
190414933,30403,4,2019-04-10,3,13,55,1,SIN TIPO,DESARROLLO 45 (VILLAS DEL RIO),698,CALLE,RIO DAYMAN,NA,"305,,,",CALLE,RIO CAZONES,CALLE,RIO IGUAZU,CALLE,RIO AGUA NAVAL,5,false,false,9,ND,ND,0,0,N,N,21,22,0,2500,false,4,2,AUTOMOVIL,DODGE,MAGNUM,1,2,558,Robo de autopartes y cristalazo,-102.24383397,21.93761125
190417461,30411,4,2019-04-11,4,6,25,1,FRACCIONAMIENTO,VILLAS DE NUESTRA SEÑORA DE LA ASUNCION (SECTOR ALAMEDA),516,CALLE,JOSE A PINEDO,NA,",,,",CALLE,ALFREDO MUÑOZ,CALLE,ISAAC DE LA PEÑA,CALLE,IGNACIO ORTIZ,5,false,false,9,ND,ND,0,0,N,N,27,11,0,22000,false,1,2,CAMIONETA,ND,ND,1,1,559,Robo de autopartes y cristalazo,-102.26691721,21.93336386
190417758,30411,4,2019-04-11,4,9,27,9,COLONIA,ZONA CENTRO,41,CALLE,FILOMENO MALDONADO,NA,",,,",CALLE,EMILIANO ZAPATA,CALLE,SAN ANGEL,CALLE,JOSE MARIA ELIZALDE,7,false,false,9,ND,ND,0,0,N,N,16,22,0,0,false,1,2,AUTOMOVIL,VOLKSWAGEN,JETTA,1,1,560,Robo de autopartes y cristalazo,-102.16962905,22.22421104
190422486,30411,4,2019-04-12,5,16,33,1,COLONIA,ZONA CENTRO,906,CALLE,JESUS TERAN,NA,"123,,,",CALLE,VALLADOLID,CALLE,5 D EMAYO,CALLE,JESUS MARIA,1,false,false,9,"H,H",ND,0,0,N,N,22,37,0,0,false,5,2,AUTOMOVIL,NISSAN,SENTRA,1,6,561,Robo de autopartes y cristalazo,-102.29666189,21.88861847
190420707,30411,4,2019-04-12,5,6,45,1,CONDOMINIO,OJOCALIENTE FOVISSSTE I,739,AVENIDA,ANTARES,28,",,204,",ANDADOR,NINGUNO,ANDADOR,NINGUNO,CIRCUITO,TRES,3,false,false,9,ND,ND,0,0,N,N,16,"24,23,11",0,30000,false,1,2,CAMIONETA,FORD,EXPLORER,1,1,562,Robo de autopartes y cristalazo,-102.25974313,21.87311997
190421070,30411,4,2019-04-12,5,9,49,1,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,955,CALLE,JOSE MARIA GONZALEZ BOCANEGRA,NA,"305,,,",CALLE,CASIMIRA ARTEAGA,CALLE,ANTONIO HERNANDEZ GALLEGOS,CALLE,RICARDO GARCIA MENDOZA,2,false,false,9,ND,ND,0,0,N,N,27,"26,38",0,3000,false,1,1,AUTOMOVIL,CHEVROLET,SPARK,1,1,563,Robo de autopartes y cristalazo,-102.31951136,21.85217816
190421085,30411,4,2019-04-12,5,9,53,1,FRACCIONAMIENTO,LAS ARBOLEDAS,758,CALLE,JACARANDAS,MA,"313,,,",CALLE,MARGIL DE JESUS,AVENIDA,CONVENCION DE 1914 NORTE,CALLE,EUCALIPTO,6,false,false,9,ND,ND,0,0,N,N,27,38,0,2000,false,2,2,CAMIONETA,ND,ND,1,1,564,Robo de autopartes y cristalazo,-102.30337786,21.89867653
190421371,30411,4,2019-04-13,6,2,38,11,SIN TIPO,EX VIÑEDOS GUADALUPE,1,CALLE,VIÑEDOS SAN MARCOS,NA,",,,",CALLE,VIÑEDOS SANTA TERESA,CALLE,VIEÑDOS GUADALUPE,CALLE,VIÑEDOS RIVIER,7,false,false,9,ND,ND,0,0,N,N,25,38,0,0,false,2,2,AUTOMOVIL,VOLKSWAGEN,BEETLE,1,1,565,Robo de autopartes y cristalazo,-102.27364008,21.95960327
190427270,30411,4,2019-04-13,6,20,25,1,RESIDENCIAL,LOS FRESNOS (RESIDENCIAL CAMPESTRE),313P,AVENIDA,GUADALUPE GONZALEZ,NA,",,,",NA,NA,NA,NA,NA,NA,6,false,false,9,ND,ND,0,0,N,N,14,26,0,12000,false,1,1,CAMIONETA,HONDA,ND,1,1,566,Robo de autopartes y cristalazo,-102.33568611,21.90994685
190429562,30411,4,2019-04-14,7,13,22,1,COLONIA,SAN PABLO,921,CALLE,LIBERTAD,NA,"1106,,,",CALLE,RIO VERDE,CALLE,RIO PAPALOAPAN,CALLE,RIO VERDE,6,false,false,9,ND,ND,0,0,N,N,21,24,0,0,false,1,2,AUTOMOVIL,CHRYSLER,SPIRIT,1,1,567,Robo de autopartes y cristalazo,-102.29922446,21.89308349
190430232,30411,4,2019-04-14,7,16,15,2,COMUNIDAD,SAN GIL,331P,CALLE,20 DE NOVIEMBRE,NA,",,,",CALLE,NETZAHUALCOYOTL,CALLE,SAN MANUEL,N,N,7,true,false,9,"H,H",ND,2,0,N,N,22,25,0,0,false,2,2,CAMIONETA,TOYOTA,ND,1,4,568,Robo de autopartes y cristalazo,-102.02065565,22.20809632
190423623,30403,4,2019-04-12,5,21,38,1,COLONIA,SAN LUIS (II),743,CALLE,NUEVA DE LA PAZ,NA,"217,,,",CALLE,28 DE AGOSTO,CALLE,PROFESORA ZOILA CARDENAS,PRIVADA,JOSE FLORES VACA,1,false,false,9,ND,ND,0,0,N,N,24,39,0,18000,false,4,4,CAMIONETA,FORD,ECOSPORT,1,1,569,Robo de autopartes y cristalazo,-102.28012679,21.88146540
190418953,30411,4,2019-04-11,4,16,9,1,SIN ASIGNACION,SIN NOMBRE DE COLONIA 1 (CALVILLITO),339,AVENIDA,REVOLUCION,NA,",,,",CARRETERA,70 OJUELOS-AGUASCALIENTES,CALLE,LUCIO BLANCO,N,N,3,false,false,9,H,ND,0,0,N,N,22,38,0,0,true,2,1,CAMIONETA,CHEVROLET,TORNADO,1,2,570,Robo de autopartes y cristalazo,-102.18778055,21.84888055
190431878,30411,4,2019-04-15,1,0,29,1,FRACCIONAMIENTO,OJOCALIENTE III,525,CALLE,BETULIA,NA,"416,,,",CALLE,EL MOCHO,CALLE,LA GLORIA,CALLE,CHURUBUSCO,4,false,false,9,ND,ND,0,0,N,N,25,"11,24",0,5000,false,1,2,AUTOMOVIL,ND,ND,1,1,571,Robo de autopartes y cristalazo,-102.24345427,21.87831265
190432310,30411,4,2019-04-15,1,5,38,1,FRACCIONAMIENTO,VILLAS DE NUESTRA SEÑORA DE LA ASUNCION (SECTOR ESTACION),502,CALLE,SALVADOR PATILLO DOMINGUEZ,NA,"211,,,",CALLE,FRANCISCO ARMENGOL,CALLE,DOMINGO VELASCO,AVENIDA,FERNANDO MENDEZ,5,false,false,9,ND,ND,0,0,N,N,27,22,0,0,false,1,2,CAMIONETA,FORD,RANGER,1,1,572,Robo de autopartes y cristalazo,-102.25959889,21.93759309
190432196,30403,4,2019-04-15,1,3,13,1,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,INGENIERO PASTOR ROUALX,NA,"227,,,",AVENIDA,CONVENCION,AVENIDA,MARIANO AZUELA,CALLE,ANTONIO DIAZ SOTO Y GAMA,2,false,false,9,ND,ND,0,0,N,N,26,41,0,0,false,4,4,AUTOMOVIL,SEAT,ND,1,1,573,Robo de autopartes y cristalazo,-102.30545126,21.85104919
190432383,30411,4,2019-04-15,1,6,55,1,FRACCIONAMIENTO,MIRADOR DE LAS CULTURAS,442,CALLE,CULTURA OTOMI 432,NA,",,,",CALLE,CULTURA CHICHIMECA,AVENIDA,CULTURA OTOMI,CALLE,CULTURA GUAYCURAS,5,false,false,9,ND,ND,0,0,N,N,16,24,0,0,false,1,2,CAMION,ND,ND,1,6,574,Robo de autopartes y cristalazo,-102.24664192,21.91040421
190432411,30403,4,2019-04-15,1,7,29,1,FRACCIONAMIENTO,BOULEVARES 2A SECCION,1103,CALLE,JOSE ISABEL ROBLES,NA,"211,,,",CALLE,ENRIQUE C REBSAMEN,PROLONGACION,DIEGO FERNANDEZ VILLA,CALLE,PROFESOR ENRIQUE OLIVARES SANTANA,2,false,false,9,ND,ND,0,0,N,N,19,22,0,2800,false,4,2,AUTOMOVIL,SEAT,IBIZA,1,1,575,Robo de autopartes y cristalazo,-102.30532589,21.85626271
190435957,30411,4,2019-04-16,2,2,58,1,FRACCIONAMIENTO,NAZARIO ORTIZ GARZA,452,AVENIDA,SIGLO XXI,NA,",,,",CALLE,MANUEL GARCIA MARTINEZ,BOULEVARD,GUADALUPANO,PRIVADA,GUADALUPE ALVARADO,5,false,false,9,ND,ND,0,0,N,N,27,3,0,0,false,1,1,AUTOMOVIL,NISSAN,TSURU,1,1,576,Robo de autopartes y cristalazo,-102.25710863,21.90671791
190428730,30403,4,2019-04-16,2,20,40,1,FRACCIONAMIENTO,BOSQUES DEL PRADO,847,PROLONGACION,GENERAL IGNACIO ZARAGOZA,NA,",,,",CALLE,SIERRA DE LA CANELA,CALLE,SIERRA FRIA,CALLE,VALLE DE GUADALUPE,6,false,false,9,ND,ND,0,0,N,N,10,6,0,40000,false,4,1,CAMIONETA,TOYOTA,ND,1,1,577,Robo de autopartes y cristalazo,-102.30424277,21.91829711
190438954,30403,4,2019-04-16,2,21,46,1,FRACCIONAMIENTO,GAMEZ,690,PROLONGACION,SAN MIGUEL,NA,",,,",AVENIDA,HEROE DE NACOZARI SUR,CALLE,PODER LEGISLATIVO,CALLE,9 DE JULIO,1,false,false,9,ND,ND,0,0,N,N,27,"26,27",0,1500,false,4,1,CAMIONETA,DODGE,CALIVER,1,2,578,Robo de autopartes y cristalazo,-102.28166363,21.87704135
190439773,30411,4,2019-04-17,3,5,48,1,COLONIA,EL LLANITO,988,CALLE,EULALIO GUTIERREZ,NA,"103,,,",CALLE,2 DE ABRIL,CALLE,NEVEROS,CALLE,5 DE FEBRERO,1,false,false,9,H,ND,0,0,N,N,26,22,0,0,false,1,2,CAMIONETA,ND,ND,1,1,579,Robo de autopartes y cristalazo,-102.28800676,21.87829240
190440509,30411,4,2019-04-17,3,11,3,1,COLONIA,GREMIAL,917,CALLE,DOCTOR GERONIMO DE OROZCO,NA,",,,",AVENIDA,HEROE DE NACOZARI NORTE,CALLE,20 DE NOVIEMBRE,CALLE,CORONEL JESUS R MACIAS,6,false,false,9,H,ND,0,0,BICICLETA,"BICICLETA, CAJA AZUL",20,22,0,0,false,1,2,AUTOMOVIL,CHEVROLET,CHEVY,1,2,580,Robo de autopartes y cristalazo,-102.28664700,21.89348566
190447488,30411,4,2019-04-19,5,0,44,1,FRACCIONAMIENTO,LAS CUMBRES,441,CALLE,EL TILDIO,NA,"237,,,",CALLE,MARIA GUADALUPE RUIZ DE CHAVEZ PINALES,CALLE,EL PICACHO,CALLE,LA UNION,5,false,false,9,ND,ND,0,0,N,N,25,11,0,15000,false,1,2,CAMIONETA,NISSAN,ND,1,1,581,Robo de autopartes y cristalazo,-102.26079108,21.91067981
190448034,30411,4,2019-04-19,5,8,20,1,CONDOMINIO,VALLE DEL CEDAZO,572,RETORNO,22 DE DICIEMBRE,NA,"119,A,,",RETORNO,22 DE DICIEMBRE,CALLE,RETORNO 22 DE DICIEMBRE,CALLE,ALBINO GARCIA,3,false,false,9,ND,ND,0,0,N,N,16,26,0,0,false,1,1,AUTOMOVIL,NISSAN,MARCH,1,1,582,Robo de autopartes y cristalazo,-102.25922365,21.85845248
190450862,30403,4,2019-04-19,5,23,28,1,FRACCIONAMIENTO,BOSQUES DEL PRADO,847,CALLE,SIERRA DEL LAUREL,NA,",,,",CALLE,SAN JULIAN,CALLE,VALLE DE GUADALUPE,CALLE,SIERRA MORENA,6,false,false,9,ND,ND,0,0,N,N,27,6,0,0,false,4,1,AUTOMOVIL,NISSAN,MARCH,1,6,583,Robo de autopartes y cristalazo,-102.30783585,21.91657283
190451825,30403,4,2019-04-20,6,9,11,1,FRACCIONAMIENTO,OJOCALIENTE FOVISSSTE II,395,AVENIDA,PASEO DE OJOCALIENTE,NA,"722,,,",CALLE,CERRO AYUTLA,AVENIDA,PASEO DE LA CRUZ,CALLE,CERRO CAPIRE,3,false,false,9,ND,ND,0,0,N,N,6,38,0,0,false,4,1,AUTOMOVIL,VOLKSWAGEN,JETTA,1,1,584,Robo de autopartes y cristalazo,-102.25793339,21.86966592
190452029,30411,4,2019-04-20,6,10,47,5,SIN TIPO,CORRAL DE BARRANCOS,142,CALLE,JOSE LOPEZ PORTILLO,NA,"108,,,",PRIVADA,DEL MOTOR,CALLE,LAS FLORES,PRIVADA,NINGUNO,7,false,false,9,ND,ND,0,0,N,N,6,"38,22,23",0,6000,false,1,3,CAMIONETA,CHEVROLET,SILVERADO,1,1,585,Robo de autopartes y cristalazo,-102.32583158,21.94751726
190452699,30411,4,2019-04-20,6,13,55,1,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,GENERAL FRANCISCO MURGUIA,NA,",,,",CALLE,GENERAL LUIS MOYA,CALLE,ABRAHAM GONZALEZ,CALLE,GENERAL JOSE ISABEL ROBLES,2,true,false,9,H,ND,0,0,N,N,21,37,0,0,false,2,2,CAMIONETA,CHEVROLET,S10,1,13,586,Robo de autopartes y cristalazo,-102.30484371,21.84719449
190453480,30411,4,2019-04-20,6,17,25,1,OTRO,BALNEARIO OJOCALIENTE,737,AVENIDA,TECNOLOGICO,NA,",,,",AVENIDA,TECNOLOGICO,AVENIDA,TECNOLOGICO,CALLE,PUENTE DE ALVARADO,4,false,false,9,ND,ND,0,0,N,N,9,24,0,0,false,1,2,CAMIONETA,ND,ND,1,1,587,Robo de autopartes y cristalazo,-102.26291575,21.87988785
190454692,30411,4,2019-04-20,6,23,33,1,COLONIA,FRANCISCO GUEL JIMENEZ,526,CALLE,FLORENCIA,NA,"705,,,",CALLE,ALFREDO LEWIS,CALLE,FRANCISCO GULE JIMENEZ,AVENIDA,CONVENCION DE 1914 ORIENTE,4,false,false,9,ND,ND,0,0,N,N,27,24,0,2000,false,1,2,AUTOMOVIL,NISSAN,TSURU,1,1,588,Robo de autopartes y cristalazo,-102.28502872,21.90165848
190456230,30411,4,2019-04-21,7,10,50,1,FRACCIONAMIENTO,PROGRESO,450,CALLE,PASCUAL CORNEJO,NA,",,,",CALLE,J ANTONIO VELARDE,CALLE,JOSE CLAVILLO,CALLE,AGUSTIN MEJIA,5,false,false,9,ND,ND,0,0,N,N,6,"23,24,38",0,12000,false,1,2,CAMION,ND,ND,1,2,589,Robo de autopartes y cristalazo,-102.26787797,21.90476273
190439394,30403,4,2019-04-17,3,0,0,1,FRACCIONAMIENTO,LA FUENTE,1061,CALLE,BOGOTA,NA,"403,,,",CALLE,REPUBLICA DE NICARAGUA,AVENIDA,LAS AMERICAS,CALLE,VALPARAISO,2,false,false,9,ND,ND,0,0,N,N,27,38,0,4000,false,4,1,CAMIONETA,HONDA,ND,1,2,590,Robo de autopartes y cristalazo,-102.30211265,21.87150665
190440111,30403,4,2019-04-17,3,9,2,1,FRACCIONAMIENTO,AGUA CLARA,576,CALLE,CERRO DE LOS GALLOS,NA,"411,,,",CALLE,AJONJOLI,CALLE,GARBANZO,CALLE,CHILE,3,false,false,9,ND,ND,0,0,N,N,27,41,0,0,false,4,4,AUTOMOVIL,TOYOTA,TUNDRA,1,2,591,Robo de autopartes y cristalazo,-102.25199524,21.86340990
190441817,30403,4,2019-04-17,3,16,17,1,FRACCIONAMIENTO,CUMBRES III,320P,CALLE,GEREMIAS,NA,"109,,,",CALLE,MIGUEL ALEMAN,CALLE,NINGUNO,CALLE,NINGUNO,5,true,false,9,H,LUIS FERNANDO GUEVARA,1,0,N,N,22,"22,6",0,0,false,4,3,AUTOMOVIL,ND,ND,1,4,592,Robo de autopartes y cristalazo,-102.23252602,21.92421219
190441888,30403,4,2019-04-17,3,16,35,1,FRACCIONAMIENTO,INSURGENTES,1046,AVENIDA,PASEO DE LA ASUNCION,NA,"221,,,",AVENIDA,CONVENCION,AVENIDA,DOCTOR MARIANO AZUELA,CALLE,JOSE MARIA MAYTORENA,2,false,false,9,ND,ND,0,0,N,N,22,26,0,0,false,4,1,AUTOMOVIL,VOLKSWAGEN,JETTA,1,2,593,Robo de autopartes y cristalazo,-102.30123880,21.85021396
190442979,30411,4,2019-04-17,3,21,50,1,FRACCIONAMIENTO,BONA GENS,527,AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS ORIENTE,NA,",,,",CALLE,TANYVETH,CALLE,IZTACCIHUATL,CALLE,TAYDE,3,false,false,9,ND,ND,0,0,N,N,27,26,0,0,false,1,1,AUTOMOVIL,CHEVROLET,MONZA,1,2,594,Robo de autopartes y cristalazo,-102.26841548,21.87780137
190443865,30403,4,2019-04-18,4,3,59,1,FRACCIONAMIENTO,LAS CUMBRES,441,CALLE,LA PROVIDENCIA,NA,",,,",CALLE,EFUGIO MIRANDA AGUAYO,CALLE,MARIA GUADALUPE RUIZ DE CHAVEZ PINALES,CALLE,EL TILDIO,5,false,false,9,H,ND,0,0,N,N,26,41,0,0,false,4,4,CAMIONETA,ND,ND,1,2,595,Robo de autopartes y cristalazo,-102.26166183,21.91196576
190450954,30403,4,2019-04-19,5,23,59,1,FRACCIONAMIENTO,SAN SEBASTIAN,321P,PRIVADA,SAN VALENTIN,ND,"101,,,",AVENIDA,SAN SEBASTIAN,PRIVADA,SAN BENJAMIN,PRIVADA,SAN BENJAMIN,3,false,false,9,ND,ND,0,0,N,N,27,41,0,0,false,4,4,CAMIONETA,CHRYSLER,TOWN COUNTRY,1,6,596,Robo de autopartes y cristalazo,-102.27007080,21.82063575
