FOLIO,ID_INC,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,TIPO_VIAL2,NOM_VIAL2,TIPO_VIALP,NOM_VIALP,DESTACAMEN,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,LESIONADO,T_VEH_SOS,DESCRIP,HORARIO,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,OID,INCIDENTE,LONG,LAT
3354,30411,1,2019-01-04,5,7,32,5,COMUNIDAD,MIRAVALLE,179P,PRIVADA,DEL ROSARIO,NA,"2,,,",AVENIDA,DEL ROSARIO,PRIVADA,NINGUNO,CALLE,NINGUNO,7,false,false,9,ND,ND,0,0,N,N,27,24,0,0,false,1,2,CAMIONETA,FORD,ND,1,1,28,Robo de autopartes y cristalazo,-102.31409709,21.97090473
3386,30411,1,2019-01-04,5,7,3,1,FRACCIONAMIENTO,VALLE DE LOS CACTUS,725,ANDADOR,RECINTO CHAVEÑO 504,NA,"7,,,",ANDADOR,RECICNTO CHAVEÐO 504,ANDADOR,RECINTO CHAVEÐO 504,ANDADOR,RECINTO CHAVEÐO 504,4,false,false,9,ND,ND,0,0,N,N,27,"22,38",0,0,false,1,3,AUTOMOVIL,CHEVROLET,AVEO,1,2,29,Robo de autopartes y cristalazo,-102.23206885,21.86819228
3686,30411,1,2019-01-04,5,17,5,1,DESARROLLO ESPECIAL,PARQUE ECOLOGICO DE MEXICO,438,AVENIDA,PENSADORES MEXICANOS,NA,",,,",AVENIDA,AGUASCALIENTES ORIENTE,AVENIDA,OJOCALIENTE,AVENIDA,ALCALDES,5,false,false,9,ND,ND,0,0,N,N,22,26,0,0,false,1,1,AUTOMOVIL,CHEVROLET,CHEVY,1,6,30,Robo de autopartes y cristalazo,-102.27073679,21.90986015
3904,30411,1,2019-01-04,5,21,0,5,RESIDENCIAL,ALCAZAR,353P,CALLE,CALZADA NAVARRA,NA,"415,,,",CALLE,CALZADA VILLA PLATA,N,NINGUNO,CALLE,COTO ALCAZAR CASTILLA,7,false,false,9,H,ND,0,0,N,N,23,24,0,0,true,1,2,AUTOMOVIL,ND,ND,1,1,31,Robo de autopartes y cristalazo,-102.31672234,21.95799474
4314,30411,1,2019-01-05,6,9,38,5,COLONIA,EL TORITO,199,CALLE,LAZARO CARDENAS,NA,"112,,,",CALLE,CHUCATA,CALLE,NINGUNO,CALLE,ORQUIDEA,7,false,false,9,ND,ND,0,0,N,N,16,"11,22",0,3000,false,1,2,AUTOMOVIL,FORD,ND,1,1,32,Robo de autopartes y cristalazo,-102.35656716,21.96927363
4498,30411,1,2019-01-05,6,14,22,3,COMUNIDAD,LA TERESA,150P,AVENIDA,5 DE MAYO,NA,",,,",CALLE,1RO DE MAYO,CALLE,NINGUNO,N,NINGUNO,7,false,false,9,ND,ND,0,0,N,N,1,"24,38",0,0,false,1,2,CAMIONETA,NISSAN,PICK UP,1,1,33,Robo de autopartes y cristalazo,-102.70609225,21.91988220
4500,30411,1,2019-01-05,6,14,25,1,FRACCIONAMIENTO,CLAUSTROS LOMA DORADA,696,BOULEVARD,GUADALUPANO,NA,"1536,,,",AVENIDA,LOMA DORADA,N,N,CALLE,PRIMERA CERRADA EL LAUREL,5,true,false,9,ND,ND,0,0,N,N,22,37,0,0,false,5,2,CAMIONETA,ND,ND,1,2,34,Robo de autopartes y cristalazo,-102.24333314,21.92023048
4713,30411,1,2019-01-05,6,18,49,1,UNIDAD HABITACIONAL,POTRERO DEL OESTE,1098,ANDADOR,DE LAS NUBES,NA,"118,,,",ANDADOR,NINGUNO,PROLONGACION,PASEO DE LA ASUNCION,ANDADOR,LAS NUBES,2,false,false,9,ND,ND,0,0,N,N,22,"22,23",0,0,false,1,2,AUTOMOVIL,NISSAN,TSURU,1,2,35,Robo de autopartes y cristalazo,-102.30085510,21.84315750
5474,30411,1,2019-01-06,7,10,8,1,SIN TIPO,RODOLFO LANDEROS GALLEGOS,1002,BOULEVARD,JOSE MARIA CHAVEZ,NA,",,,",AVENIDA,AGUASCALIENTES SUR,AVENIDA,SIGLO XXI,AVENIDA,DEL PARQUE,3,false,false,9,H,ND,0,0,BICICLETA,BICICLETA,20,"3,27,38,26,11,38",0,1000,false,1,3,AUTOMOVIL,CHEVROLET,SONIC,1,1,36,Robo de autopartes y cristalazo,-102.29147719,21.85069656
6105,30411,1,2019-01-06,7,22,20,5,COLONIA,LUIS DONALDO COLOSIO,201,AVENIDA,SOLIDARIDAD,NA,"503,,,",CALLE,DIEGO FLORES,CALLE,LUIS DONALDO COLOSIO,PRIVADA,16 DE SEPTIEMBRE,7,false,false,9,ND,ND,0,0,N,N,24,24,0,1500,false,1,2,AUTOMOVIL,HONDA,ND,1,1,37,Robo de autopartes y cristalazo,-102.35371206,21.97173028
