FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,INGRESO,DESHABITAD,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,CAT_SOS,DETENIDO,MOT_DET,DET_SPM,LESIONADO,FALLECIDOS,TRASL_HOSP,T_VEH_SOS,DESCRIP,REROBADO,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,LON,OID,LONG,LAT
221285184,30414,ROBO A CASA,10,2022-10-26,43,3,7,COLONIA,INDEPENDENCIA,1203,CALLE,EMILIANO ZAPATA,NA,NA,"318,,,",CALLE,JOSEFA ORTIZ DE DOMINGUEZ,7,5,0,26,1,NO,false,false,9,2 HOMBRES,ND,8,0,N,N,0,0,false,N,N,NO,20,0,8000,false,1,1,-102.31730000,2136,-102.31736028,22.22472052
221285606,30414,ROBO A CASA,10,2022-10-26,43,3,1,FRACCIONAMIENTO,LOS PERICOS,287,CALLE,SAN IGNACIO,NA,NA,"101,A,,",AVENIDA,POLIDUCTO,4,0,0,19,4,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"8,14,18,45",0,0,false,1,1,-102.24710000,2137,-102.24714073,21.90029764
221277720,50102,ROBO A CASA,10,2022-10-21,42,5,1,FRACCIONAMIENTO,LAS HADAS,594,CALLE,AGLAYA,NA,NA,"104,,,",AVENIDA,HEROE DE NACOZARI NORTE,3,0,0,27,9,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,39,0,0,false,20,13,-102.29130000,2138,-102.29133145,21.90766714
221286048,30414,ROBO A CASA,10,2022-10-26,43,3,5,COLONIA,EJIDAL,1071,CLLE,VICENTE GUERRERO,NA,NA,"112,,,",CALLE,FRANCISCO I MADERO,7,0,0,5,4,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"11,14,18",0,3000,false,1,1,-102.35320000,2139,-102.35326200,21.96854023
221286296,30414,ROBO A CASA,10,2022-10-26,43,3,1,FRACCIONAMIENTO,MUJERES ILUSTRES,457,CALLE,30 DE SEPTIEMBRE,NA,NA,"319,,,",CALLE,CATO HANRATH,5,0,0,27,7,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"1,3",0,0,false,1,11,-102.25530000,2140,-102.25530191,21.84998677
221286428,30414,ROBO A CASA,10,2022-10-26,43,3,1,CONDOMINIO,SAN GERARDO,391,CALLE,SAN GERARDO 220,NA,NA,"74,,,",CALLE,SAN GERARDO 220,2,0,0,9,3,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"6,28",10000,10000,false,1,1,-102.29530000,2141,-102.29531885,21.80393538
221287379,30413,ROBO A CASA,10,2022-10-26,43,3,2,RANCHO,VALLADO BLANCO,739,CALLE,5 DE MAYO,NA,NA,"33,,,",CALLE,FRANCISCO VILLA,7,0,0,22,4,NO,false,true,4,2 HOMBRES,ND,8,0,N,N,0,0,false,MOTO,ITALIKA AMARILLA,NO,"3,21",0,0,false,1,1,-102.01910000,2142,-102.01915274,22.23312400
221288058,30414,ROBO A CASA,10,2022-10-26,43,3,1,FRACCIONAMIENTO,CIRCUNVALACION NORTE,243,CALLE,PALMA,NA,NA,"704,,,",CALLE,ALFREDO LEWIS,6,0,0,27,4,NO,false,false,9,1 HOMBRE,ND,8,0,N,N,0,0,false,N,N,NO,14,0,0,false,1,1,-102.29930000,2143,-102.29931558,21.89782780
221288096,30414,ROBO A CASA,10,2022-10-26,43,3,1,FRACCIONAMIENTO,COLINAS DE SAN PATRICIO,372,CALLE,COLINAS DE SAN PATRICIO 402,NA,NA,"35,,,",AVENIDA,COLINAS DE SAN PATRICIO,4,0,0,10,9,NO,false,false,9,HIJA,ND,5,0,N,N,0,0,false,N,N,NO,"1,5,9,28",15000,15000,false,1,1,-102.24010000,2144,-102.24015444,21.88506475
221288162,50102,CONSUMADO CASA,10,2022-10-26,43,3,1,CONDOMINIO HORIZONTAL,LA HOJARASCA,431,BOULEVARD,GUADALUPANO,NA,NA,",,,",CIRCUITO,DE LOS ENCINOS,3,17,0,22,9,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,15,0,0,false,1,28,-102.25060000,2145,-102.25069492,21.91284119
221288190,30414,ROBO A CASA,10,2022-10-26,43,8,1,FRACCIONAMIENTO,VILLA MONTAÑA,601,CALLE,MONTE GESSI,NA,NA,"313,D,,",CALLE,MONTE OKU,3,0,0,1,9,DESHABITADA,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,10,0,15000,false,1,1,-102.26320000,2146,-102.26329103,21.94166920
